cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
6,1780243266.715200,1,0,1.020000,835.374862,1
6,1780243266.715200,2,1,1.009642,402.927628,1
6,1780243266.715200,3,2,1.007124,149.699553,1
6,1780243266.715200,4,3,1.010000,501.836870,1
6,1780243266.715200,5,,1.008127,0.000000,1
7,1780243267.718152,1,0,1.020000,839.908680,1
7,1780243267.718152,2,1,1.010750,444.463701,1
7,1780243267.718152,3,2,1.008221,94.190792,1
7,1780243267.718152,4,3,1.010000,476.283797,1
7,1780243267.718152,5,,1.008199,0.000000,1
8,1780243268.730645,1,0,1.020000,913.572842,1
8,1780243268.730645,2,1,1.009699,512.508433,1
8,1780243268.730645,3,2,1.006686,154.662776,1
8,1780243268.730645,4,3,1.010000,502.052779,1
8,1780243268.730645,5,,1.007898,0.000000,1
9,1780243269.826530,1,0,1.020000,682.365474,1
9,1780243269.826530,2,1,1.010960,365.528445,1
9,1780243269.826530,3,2,1.008147,82.912973,1
9,1780243269.826530,4,3,1.010000,463.942989,1
9,1780243269.826530,5,,1.008137,0.000000,1
10,1780243270.854176,1,0,1.020000,791.437413,1
10,1780243270.854176,2,1,1.009996,412.703717,1
10,1780243270.854176,3,2,1.007133,122.936018,1
10,1780243270.854176,4,3,1.010000,460.324823,1
10,1780243270.854176,5,,1.008466,0.000000,1
11,1780243271.871812,1,0,1.020000,748.543344,1
11,1780243271.871812,2,1,1.011000,377.917952,1
11,1780243271.871812,3,2,1.008491,77.130254,1
11,1780243271.871812,4,3,1.010000,468.923084,1
11,1780243271.871812,5,,1.008155,0.000000,1
12,1780243272.872177,1,0,1.020000,903.467320,1
12,1780243272.872177,2,1,1.009918,473.758550,1
12,1780243272.872177,3,2,1.007280,144.219327,1
12,1780243272.872177,4,3,1.010000,497.443537,1
12,1780243272.872177,5,,1.008236,0.000000,1
13,1780243273.933998,1,0,1.020000,725.893350,1
13,1780243273.933998,2,1,1.010466,407.039138,1
13,1780243273.933998,3,2,1.007552,108.416391,1
13,1780243273.933998,4,3,1.010000,459.440349,1
13,1780243273.933998,5,,1.008472,0.000000,1
14,1780243274.936675,1,0,1.020000,907.643805,1
14,1780243274.936675,2,1,1.009257,489.348095,1
14,1780243274.936675,3,2,1.006442,172.185390,1
14,1780243274.936675,4,3,1.010000,506.161571,1
14,1780243274.936675,5,,1.008043,0.000000,1
15,1780243275.939484,1,0,1.020000,780.455882,1
15,1780243275.939484,2,1,1.010269,461.037745,1
15,1780243275.939484,3,2,1.007128,136.114814,1
15,1780243275.939484,4,3,1.010000,478.903249,1
15,1780243275.939484,5,,1.008376,0.000000,1
16,1780243276.939991,1,0,1.020000,848.313227,1
16,1780243276.939991,2,1,1.009676,503.959420,1
16,1780243276.939991,3,2,1.006454,141.195104,1
16,1780243276.939991,4,3,1.010000,469.916754,1
16,1780243276.939991,5,,1.008034,0.000000,1
17,1780243278.082543,1,0,1.020000,768.476230,1
17,1780243278.082543,2,1,1.010709,477.529283,1
17,1780243278.082543,3,2,1.007290,112.203786,1
17,1780243278.082543,4,3,1.010000,462.730250,1
17,1780243278.082543,5,,1.008181,0.000000,1
18,1780243279.084735,1,0,1.020000,919.179687,1
18,1780243279.084735,2,1,1.009587,490.453141,1
18,1780243279.084735,3,2,1.006870,124.256162,1
18,1780243279.084735,4,3,1.010000,452.517362,1
18,1780243279.084735,5,,1.008367,0.000000,1
19,1780243280.085584,1,0,1.020000,771.441113,1
19,1780243280.085584,2,1,1.010580,384.126160,1
19,1780243280.085584,3,2,1.008021,85.452916,1
19,1780243280.085584,4,3,1.010000,458.505661,1
19,1780243280.085584,5,,1.008218,0.000000,1
20,1780243281.088706,1,0,1.020000,851.496634,1
20,1780243281.088706,2,1,1.010351,512.164232,1
20,1780243281.088706,3,2,1.006778,144.755764,1
20,1780243281.088706,4,3,1.010000,489.706862,1
20,1780243281.088706,5,,1.007996,0.000000,1
21,1780243282.146224,1,0,1.020000,829.421708,1
21,1780243282.146224,2,1,1.010726,417.999635,1
21,1780243282.146224,3,2,1.008088,107.823590,1
21,1780243282.146224,4,3,1.010000,495.999803,1
