timestamp,run,fase,layer,source,destination,latency_ms
2026-06-01 00:39:16.582858,1,normal,field,h2,h3,4.75
2026-06-01 00:39:16.582878,1,normal,field,h2,h3,0.839
2026-06-01 00:39:16.582883,1,normal,field,h2,h3,0.125
2026-06-01 00:39:16.582887,1,normal,field,h2,h3,0.169
2026-06-01 00:39:16.582890,1,normal,field,h2,h3,0.154
2026-06-01 00:39:16.582893,1,normal,field,h2,h3,0.478
2026-06-01 00:39:16.582896,1,normal,field,h2,h3,0.265
2026-06-01 00:39:16.582899,1,normal,field,h2,h3,0.152
2026-06-01 00:39:16.582902,1,normal,field,h2,h3,0.119
2026-06-01 00:39:16.582905,1,normal,field,h2,h3,0.051
2026-06-01 00:39:16.582909,1,normal,field,h2,h3,0.136
2026-06-01 00:39:16.582912,1,normal,field,h2,h3,0.139
2026-06-01 00:39:16.582914,1,normal,field,h2,h3,0.06
2026-06-01 00:39:16.582917,1,normal,field,h2,h3,0.063
2026-06-01 00:39:16.582920,1,normal,field,h2,h3,0.05
2026-06-01 00:39:16.582923,1,normal,field,h2,h3,0.049
2026-06-01 00:39:16.582926,1,normal,field,h2,h3,0.088
2026-06-01 00:39:16.582929,1,normal,field,h2,h3,0.05
2026-06-01 00:39:16.582931,1,normal,field,h2,h3,0.057
2026-06-01 00:39:16.582934,1,normal,field,h2,h3,0.07
2026-06-01 00:39:37.409577,1,normal,system,h3,h4,5.66
2026-06-01 00:39:37.409610,1,normal,system,h3,h4,2.73
2026-06-01 00:39:37.409616,1,normal,system,h3,h4,0.163
2026-06-01 00:39:37.409622,1,normal,system,h3,h4,0.052
2026-06-01 00:39:37.409626,1,normal,system,h3,h4,0.051
2026-06-01 00:39:37.409631,1,normal,system,h3,h4,0.052
2026-06-01 00:39:37.409635,1,normal,system,h3,h4,0.152
2026-06-01 00:39:37.409639,1,normal,system,h3,h4,0.063
2026-06-01 00:39:37.409643,1,normal,system,h3,h4,0.05
2026-06-01 00:39:37.409648,1,normal,system,h3,h4,0.06
2026-06-01 00:39:37.409651,1,normal,system,h3,h4,0.061
2026-06-01 00:39:37.409655,1,normal,system,h3,h4,0.099
2026-06-01 00:39:37.409659,1,normal,system,h3,h4,0.16
2026-06-01 00:39:37.409663,1,normal,system,h3,h4,0.137
2026-06-01 00:39:37.409667,1,normal,system,h3,h4,0.109
2026-06-01 00:39:37.409671,1,normal,system,h3,h4,0.139
2026-06-01 00:39:37.409675,1,normal,system,h3,h4,0.398
2026-06-01 00:39:37.409680,1,normal,system,h3,h4,0.112
2026-06-01 00:39:37.409683,1,normal,system,h3,h4,0.124
2026-06-01 00:39:37.409687,1,normal,system,h3,h4,0.124
