cmd_id,origin_cycle,ts_received,ts_sent,breaker_DT
0,0,1780250111.455806,1780250111.464724,1:1;2:1;3:1;4:1;5:1
0,0,1780250112.456959,1780250112.464079,1:1;2:1;3:1;4:1;5:1
0,0,1780250113.457925,1780250113.462454,1:1;2:1;3:1;4:1;5:1
0,0,1780250114.579396,1780250114.592083,1:1;2:1;3:1;4:1;5:1
0,0,1780250115.594305,1780250115.610072,1:1;2:1;3:1;4:1;5:1
1,6,1780250116.600735,1780250116.614628,1:1;2:1;3:1;4:1;5:1
2,7,1780250117.609344,1780250117.627274,1:1;2:1;3:1;4:1;5:1
4,9,1780250118.612052,1780250118.622098,1:1;2:1;3:1;4:1;5:1
4,9,1780250119.811384,1780250119.890224,1:1;2:1;3:1;4:1;5:1
245,252,1780250366.067999,1780250366.083838,1:0;2:0;3:0;4:1;5:1
246,253,1780250367.069283,1780250367.079862,1:1;2:0;3:0;4:1;5:1
247,254,1780250368.083473,1780250368.105521,1:1;2:0;3:0;4:1;5:1
248,255,1780250369.090493,1780250369.104943,1:1;2:1;3:0;4:1;5:1
249,256,1780250370.108819,1780250370.124033,1:1;2:1;3:0;4:1;5:1
250,257,1780250371.111496,1780250371.125427,1:1;2:1;3:1;4:1;5:1
251,258,1780250372.117930,1780250372.134850,1:1;2:1;3:1;4:1;5:1
252,259,1780250373.126154,1780250373.142276,1:0;2:0;3:0;4:1;5:1
253,260,1780250374.128102,1780250374.140315,1:0;2:0;3:0;4:1;5:1
254,261,1780250375.191613,1780250375.204708,1:1;2:0;3:0;4:1;5:1
255,262,1780250376.204317,1780250376.221512,1:1;2:0;3:0;4:1;5:1
256,263,1780250377.276639,1780250377.291827,1:1;2:1;3:0;4:1;5:1
257,264,1780250378.280245,1780250378.289657,1:1;2:1;3:0;4:1;5:1
258,265,1780250379.294199,1780250379.307485,1:1;2:1;3:1;4:1;5:1
259,266,1780250380.294948,1780250380.303812,1:1;2:1;3:1;4:1;5:1
