cycle_id,ts_sent,bus,V_sent,I_sent,P_bus,Q_bus,power_factor,breaker_actual
175,1780250285.025095,1,1.020000,799.302860,-151.240083,-35.424606,0.973648,1
175,1780250285.025095,2,1.010516,317.246947,55.227386,26.088571,0.904192,1
175,1780250285.025095,3,1.008680,461.524318,82.251542,33.189918,0.927348,1
175,1780250285.025095,4,1.010000,491.919074,-80.000000,-50.602291,0.845126,1
175,1780250285.025095,5,1.006932,497.323059,92.456653,23.553306,0.969050,1
176,1780250286.049175,1,1.020000,803.447568,-152.342059,-34.223426,0.975683,1
176,1780250286.049175,2,1.010590,404.761095,73.340511,26.360585,0.941059,1
176,1780250286.049175,3,1.009092,355.648503,63.271620,25.923130,0.925345,1
176,1780250286.049175,4,1.010000,494.837672,-80.000000,-51.645283,0.840142,1
176,1780250286.049175,5,1.006529,517.518392,94.454156,30.460256,0.951735,1
177,1780250287.052828,1,1.020000,863.089659,-165.245522,-28.759267,0.985191,1
177,1780250287.052828,2,1.010619,393.770542,73.496810,18.625231,0.969358,1
177,1780250287.052828,3,1.008839,427.200428,75.643536,31.944279,0.921224,1
177,1780250287.052828,4,1.010000,506.500665,-80.000000,-55.674856,0.820796,1
177,1780250287.052828,5,1.006534,518.154911,94.640262,30.281848,0.952433,1
178,1780250288.074138,1,1.020000,843.086009,-160.477597,-33.032672,0.979465,1
178,1780250288.074138,2,1.010388,358.725535,64.369457,25.007061,0.932129,1
178,1780250288.074138,3,1.008616,453.767426,80.582925,33.318151,0.924124,1
178,1780250288.074138,4,1.010000,515.714306,-80.000000,-58.723475,0.806132,1
178,1780250288.074138,5,1.006563,514.891822,94.097008,29.935224,0.952940,1
179,1780250289.101390,1,1.020000,677.880727,-126.686035,-36.127633,0.961661,1
179,1780250289.101390,2,1.011413,286.769858,52.423714,17.478164,0.948664,1
179,1780250289.101390,3,1.009520,356.112437,61.970467,29.174529,0.904751,1
179,1780250289.101390,4,1.010000,453.767099,-80.000000,-34.993863,0.916183,1
179,1780250289.101390,5,1.007031,489.761033,91.330767,22.106231,0.971934,1
180,1780250290.095071,1,1.020000,776.177663,-147.945823,-29.403062,0.980817,1
180,1780250290.095071,2,1.011234,316.619709,59.755563,12.267613,0.979570,1
180,1780250290.095071,3,1.009201,428.770523,75.916705,32.149119,0.920834,1
180,1780250290.095071,4,1.010000,481.193090,-80.000000,-46.627159,0.863965,1
180,1780250290.095071,5,1.006693,497.641370,91.054268,28.625924,0.953967,1
181,1780250291.093678,1,1.020000,856.618398,-164.222727,-27.272375,0.986489,1
181,1780250291.093678,2,1.010805,381.055866,71.053383,18.352700,0.968223,1
181,1780250291.093678,3,1.009049,435.803750,79.527500,26.362643,0.949207,1
181,1780250291.093678,4,1.010000,485.728748,-80.000000,-48.337254,0.855897,1
181,1780250291.093678,5,1.006735,501.492139,92.208399,27.390562,0.958601,1
182,1780250292.075722,1,1.020000,766.527683,-144.044004,-37.968389,0.966972,1
182,1780250292.075722,2,1.010550,359.423730,63.546647,27.399286,0.918279,1
182,1780250292.075722,3,1.008907,396.426009,70.167949,29.718777,0.920815,1
182,1780250292.075722,4,1.010000,490.522127,-80.000000,-50.097622,0.847533,1
182,1780250292.075722,5,1.006760,487.339507,89.159897,28.083806,0.953803,1
183,1780250293.080246,1,1.020000,788.923350,-149.527746,-33.872365,0.975289,1
183,1780250293.080246,2,1.010735,342.138056,62.802920,19.918153,0.953209,1
183,1780250293.080246,3,1.008858,414.632724,71.229031,35.751721,0.893738,1
