cmd_id,origin_cycle,ts_sent,bus,breaker_DT
1,6,1780253811.707800,1,1
1,6,1780253811.707800,2,1
1,6,1780253811.707800,3,1
1,6,1780253811.707800,4,1
1,6,1780253811.707800,5,1
2,7,1780253812.716317,1,1
2,7,1780253812.716317,2,1
2,7,1780253812.716317,3,1
2,7,1780253812.716317,4,1
2,7,1780253812.716317,5,1
3,8,1780253813.709732,1,1
3,8,1780253813.709732,2,1
3,8,1780253813.709732,3,1
3,8,1780253813.709732,4,1
3,8,1780253813.709732,5,1
4,9,1780253814.716788,1,1
4,9,1780253814.716788,2,1
4,9,1780253814.716788,3,1
4,9,1780253814.716788,4,1
4,9,1780253814.716788,5,1
5,10,1780253815.727021,1,1
5,10,1780253815.727021,2,1
5,10,1780253815.727021,3,1
5,10,1780253815.727021,4,1
5,10,1780253815.727021,5,1
6,11,1780253816.726693,1,1
6,11,1780253816.726693,2,1
6,11,1780253816.726693,3,1
6,11,1780253816.726693,4,1
6,11,1780253816.726693,5,1
82,88,1780254091.390431,1,1
82,88,1780254091.390431,2,1
82,88,1780254091.390431,3,1
82,88,1780254091.390431,4,1
82,88,1780254091.390431,5,1
83,89,1780254092.389124,1,1
83,89,1780254092.389124,2,1
83,89,1780254092.389124,3,1
83,89,1780254092.389124,4,1
83,89,1780254092.389124,5,1
84,90,1780254093.390323,1,1
84,90,1780254093.390323,2,1
84,90,1780254093.390323,3,1
84,90,1780254093.390323,4,1
84,90,1780254093.390323,5,1
85,91,1780254094.393701,1,1
85,91,1780254094.393701,2,1
85,91,1780254094.393701,3,1
85,91,1780254094.393701,4,1
85,91,1780254094.393701,5,1
86,92,1780254095.396727,1,1
86,92,1780254095.396727,2,1
86,92,1780254095.396727,3,1
86,92,1780254095.396727,4,1
86,92,1780254095.396727,5,1
87,93,1780254096.415726,1,1
87,93,1780254096.415726,2,1
87,93,1780254096.415726,3,1
87,93,1780254096.415726,4,1
87,93,1780254096.415726,5,1
88,94,1780254097.411749,1,1
88,94,1780254097.411749,2,1
88,94,1780254097.411749,3,1
88,94,1780254097.411749,4,1
88,94,1780254097.411749,5,1
89,95,1780254098.407126,1,1
89,95,1780254098.407126,2,1
89,95,1780254098.407126,3,1
89,95,1780254098.407126,4,1
89,95,1780254098.407126,5,1
90,96,1780254099.412390,1,1
90,96,1780254099.412390,2,1
90,96,1780254099.412390,3,1
90,96,1780254099.412390,4,1
90,96,1780254099.412390,5,1
91,97,1780254100.474623,1,1
91,97,1780254100.474623,2,1
91,97,1780254100.474623,3,1
91,97,1780254100.474623,4,1
91,97,1780254100.474623,5,1
92,98,1780254101.505567,1,1
92,98,1780254101.505567,2,1
92,98,1780254101.505567,3,1
92,98,1780254101.505567,4,1
92,98,1780254101.505567,5,1
93,99,1780254102.505837,1,1
93,99,1780254102.505837,2,1
93,99,1780254102.505837,3,1
93,99,1780254102.505837,4,1
93,99,1780254102.505837,5,1
94,100,1780254103.604716,1,1
94,100,1780254103.604716,2,1
94,100,1780254103.604716,3,1
94,100,1780254103.604716,4,1
94,100,1780254103.604716,5,1
95,101,1780254104.617956,1,1
95,101,1780254104.617956,2,1
95,101,1780254104.617956,3,1
95,101,1780254104.617956,4,1
95,101,1780254104.617956,5,1
96,102,1780254105.647583,1,1
96,102,1780254105.647583,2,1
96,102,1780254105.647583,3,1
96,102,1780254105.647583,4,1
96,102,1780254105.647583,5,1
97,103,1780254106.648922,1,1
97,103,1780254106.648922,2,1
97,103,1780254106.648922,3,1
97,103,1780254106.648922,4,1
97,103,1780254106.648922,5,1
98,104,1780254107.706620,1,1
98,104,1780254107.706620,2,1
98,104,1780254107.706620,3,1
98,104,1780254107.706620,4,1
98,104,1780254107.706620,5,1
99,105,1780254108.712075,1,1
99,105,1780254108.712075,2,1
99,105,1780254108.712075,3,1
99,105,1780254108.712075,4,1
99,105,1780254108.712075,5,1
100,106,1780254109.708866,1,1
100,106,1780254109.708866,2,1
100,106,1780254109.708866,3,1
100,106,1780254109.708866,4,1
100,106,1780254109.708866,5,1
101,107,1780254110.709538,1,1
101,107,1780254110.709538,2,1
101,107,1780254110.709538,3,1
101,107,1780254110.709538,4,1
101,107,1780254110.709538,5,1
102,108,1780254111.719790,1,1
102,108,1780254111.719790,2,1
102,108,1780254111.719790,3,1
102,108,1780254111.719790,4,1
102,108,1780254111.719790,5,1
103,109,1780254112.726610,1,1
103,109,1780254112.726610,2,1
103,109,1780254112.726610,3,1
103,109,1780254112.726610,4,1
103,109,1780254112.726610,5,1
