cmd_id,origin_cycle,ts_received,bus,breaker_DT
5,10,1780253817.670217,1,1
5,10,1780253817.670217,2,1
5,10,1780253817.670217,3,1
5,10,1780253817.670217,4,1
5,10,1780253817.670217,5,1
0,0,1780253819.970678,1,1
0,0,1780253819.970678,2,1
0,0,1780253819.970678,3,1
0,0,1780253819.970678,4,1
0,0,1780253819.970678,5,1
0,0,1780253821.101405,1,1
0,0,1780253821.101405,2,1
0,0,1780253821.101405,3,1
0,0,1780253821.101405,4,1
0,0,1780253821.101405,5,1
0,0,1780253822.102444,1,1
0,0,1780253822.102444,2,1
0,0,1780253822.102444,3,1
0,0,1780253822.102444,4,1
0,0,1780253822.102444,5,1
0,0,1780253823.269334,1,1
0,0,1780253823.269334,2,1
0,0,1780253823.269334,3,1
0,0,1780253823.269334,4,1
0,0,1780253823.269334,5,1
0,0,1780253824.271668,1,1
0,0,1780253824.271668,2,1
0,0,1780253824.271668,3,1
0,0,1780253824.271668,4,1
0,0,1780253824.271668,5,1
0,0,1780253825.273542,1,1
0,0,1780253825.273542,2,1
0,0,1780253825.273542,3,1
0,0,1780253825.273542,4,1
0,0,1780253825.273542,5,1
0,0,1780253826.338600,1,1
0,0,1780253826.338600,2,1
0,0,1780253826.338600,3,1
0,0,1780253826.338600,4,1
0,0,1780253826.338600,5,1
0,0,1780253827.338926,1,1
0,0,1780253827.338926,2,1
0,0,1780253827.338926,3,1
0,0,1780253827.338926,4,1
0,0,1780253827.338926,5,1
1,6,1780253828.422483,1,1
1,6,1780253828.422483,2,1
1,6,1780253828.422483,3,1
1,6,1780253828.422483,4,1
1,6,1780253828.422483,5,1
2,7,1780253829.429418,1,1
2,7,1780253829.429418,2,1
2,7,1780253829.429418,3,1
2,7,1780253829.429418,4,1
2,7,1780253829.429418,5,1
3,8,1780253830.442780,1,1
3,8,1780253830.442780,2,1
3,8,1780253830.442780,3,1
3,8,1780253830.442780,4,1
3,8,1780253830.442780,5,1
4,8,1780253831.478608,1,1
4,8,1780253831.478608,2,1
4,8,1780253831.478608,3,1
4,8,1780253831.478608,4,1
4,8,1780253831.478608,5,1
5,9,1780253832.490774,1,1
5,9,1780253832.490774,2,1
5,9,1780253832.490774,3,1
5,9,1780253832.490774,4,1
5,9,1780253832.490774,5,1
6,11,1780253833.497683,1,1
6,11,1780253833.497683,2,1
6,11,1780253833.497683,3,1
6,11,1780253833.497683,4,1
6,11,1780253833.497683,5,1
7,12,1780253834.531941,1,1
7,12,1780253834.531941,2,1
7,12,1780253834.531941,3,1
7,12,1780253834.531941,4,1
7,12,1780253834.531941,5,1
9,14,1780253835.534575,1,1
9,14,1780253835.534575,2,1
9,14,1780253835.534575,3,1
9,14,1780253835.534575,4,1
9,14,1780253835.534575,5,1
9,14,1780253836.553367,1,1
9,14,1780253836.553367,2,1
9,14,1780253836.553367,3,1
9,14,1780253836.553367,4,1
9,14,1780253836.553367,5,1
11,15,1780253837.562231,1,1
11,15,1780253837.562231,2,1
11,15,1780253837.562231,3,1
11,15,1780253837.562231,4,1
11,15,1780253837.562231,5,1
11,17,1780253838.562943,1,1
11,17,1780253838.562943,2,1
11,17,1780253838.562943,3,1
