cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
12,1780253817.672533,1,1,1.020000,900.386837,1
12,1780253817.672533,2,2,1.010221,472.972835,1
12,1780253817.672533,3,3,1.008695,157.167901,1
12,1780253817.672533,4,4,1.010000,497.969795,1
12,1780253817.672533,5,,1.007170,0.000000,1
6,1780253825.621040,1,1,1.020000,830.442576,1
6,1780253825.621040,2,2,1.010010,401.223943,1
6,1780253825.621040,3,3,1.008586,166.043884,1
6,1780253825.621040,4,4,1.010000,502.400532,1
6,1780253825.621040,5,,1.006996,0.000000,1
7,1780253826.623498,1,1,1.020000,839.313751,1
7,1780253826.623498,2,2,1.010802,444.192838,1
7,1780253826.623498,3,3,1.009240,95.788033,1
7,1780253826.623498,4,4,1.010000,476.797802,1
7,1780253826.623498,5,,1.007112,0.000000,1
8,1780253827.624753,1,1,1.020000,909.353434,1
8,1780253827.624753,2,2,1.010105,510.968160,1
8,1780253827.624753,3,3,1.008387,173.053584,1
8,1780253827.624753,4,4,1.010000,502.685575,1
8,1780253827.624753,5,,1.006629,0.000000,1
8,1780253828.629323,1,1,1.020000,682.070896,1
8,1780253828.629323,2,2,1.010979,365.314707,1
8,1780253828.629323,3,3,1.009226,83.242377,1
8,1780253828.629323,4,4,1.010000,464.460983,1
8,1780253828.629323,5,,1.007012,0.000000,1
9,1780253829.640417,1,1,1.020000,787.105581,1
9,1780253829.640417,2,2,1.010297,410.271809,1
9,1780253829.640417,3,3,1.008631,137.171269,1
9,1780253829.640417,4,4,1.010000,460.748004,1
9,1780253829.640417,5,,1.007540,0.000000,1
11,1780253830.961074,1,1,1.020000,748.845706,1
11,1780253830.961074,2,2,1.010977,378.097674,1
11,1780253830.961074,3,3,1.009396,75.512852,1
11,1780253830.961074,4,4,1.010000,469.441420,1
11,1780253830.961074,5,,1.007042,0.000000,1
12,1780253831.973536,1,1,1.020000,900.386837,1
12,1780253831.973536,2,2,1.010221,472.972835,1
