cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
0,1780259480.172410,1780259480.172504,1,0.000000,0.000000,0.000000,0.000000,0
0,1780259480.173065,1780259480.173151,2,0.000000,0.000000,0.000000,0.000000,0
0,1780259480.173390,1780259480.173470,3,0.000000,0.000000,0.000000,0.000000,0
0,1780259480.173602,1780259480.173672,4,0.000000,0.000000,0.000000,0.000000,0
0,1780259480.173791,1780259480.173865,5,0.000000,0.000000,0.000000,0.000000,0
0,1780259481.191686,1780259481.192034,1,0.000000,0.000000,0.000000,0.000000,0
0,1780259481.192498,1780259481.192637,2,0.000000,0.000000,0.000000,0.000000,0
0,1780259481.193042,1780259481.193530,3,0.000000,0.000000,0.000000,0.000000,0
0,1780259481.194175,1780259481.194317,4,0.000000,0.000000,0.000000,0.000000,0
0,1780259481.195018,1780259481.195159,5,0.000000,0.000000,0.000000,0.000000,0
4,1780259482.199569,1780259482.199737,1,1.019000,738.433333,138.618230,36.580019,1
4,1780259482.200522,1780259482.201921,2,1.010000,287.466667,50.665256,22.204786,1
4,1780259482.202215,1780259482.202341,3,1.006000,444.800000,79.201204,31.550872,1
4,1780259482.202518,1780259482.202641,4,1.013000,466.633333,80.352748,40.675361,1
4,1780259482.202806,1780259482.202949,5,1.010000,467.133333,87.517743,20.518569,1
5,1780259483.203045,1780259483.203306,1,1.021000,887.300000,168.581814,37.042294,1
5,1780259483.203670,1780259483.203794,2,1.005000,430.066667,74.154733,35.809696,1
5,1780259483.203946,1780259483.204075,3,1.009000,465.500000,84.369162,29.831578,1
5,1780259483.204224,1780259483.204309,4,1.004000,515.200000,79.117079,58.761126,1
5,1780259483.204432,1780259483.204545,5,1.004000,481.200000,88.015950,26.943644,1
6,1780259484.511682,1780259484.511783,1,1.020000,828.300000,156.284406,38.549605,1
6,1780259484.512040,1780259484.512134,2,1.011000,440.333333,78.617443,31.832761,1
6,1780259484.512263,1780259484.512386,3,1.009000,368.200000,62.904750,32.453186,1
6,1780259484.512684,1780259484.512903,4,1.008000,494.533333,80.253896,50.789443,1
6,1780259484.513169,1780259484.513632,5,1.008000,501.900000,93.893296,21.795433,1
7,1780259485.513984,1780259485.514406,1,1.018000,837.633333,159.896296,28.765790,1
7,1780259485.515404,1780259485.515528,2,1.009000,401.933333,74.053452,22.054432,1
7,1780259485.520636,1780259485.520775,3,1.010000,409.333333,76.216264,19.888073,1
7,1780259485.520989,1780259485.521091,4,1.008000,458.400000,79.584205,37.638087,1
7,1780259485.521459,1780259485.521558,5,1.005000,477.800000,88.935769,21.460117,1
8,1780259486.514638,1780259486.514785,1,1.017000,911.300000,173.946604,30.368264,1
8,1780259486.516088,1780259486.516237,2,1.011000,407.533333,74.535398,24.630596,1
8,1780259486.518124,1780259486.518288,3,1.008000,481.400000,86.165982,33.510272,1
8,1780259486.518583,1780259486.518711,4,1.003000,523.266667,79.365854,60.827761,1
8,1780259486.520241,1780259486.520394,5,1.006000,503.000000,91.762445,29.570622,1
9,1780259487.516336,1780259487.516508,1,1.021000,682.166667,126.290190,40.742685,1
9,1780259487.516844,1780259487.516947,2,1.006000,320.866667,56.776902,23.635714,1
9,1780259487.518269,1780259487.518423,3,1.011000,361.566667,62.750566,30.213533,1
9,1780259487.518574,1780259487.518668,4,1.014000,465.400000,80.408299,40.232732,1
9,1780259487.519540,1780259487.519653,5,1.007000,464.466667,85.645769,24.612856,1
10,1780259488.517014,1780259488.517190,1,1.021000,791.733333,149.038587,38.827434,1
10,1780259488.517654,1780259488.517779,2,1.008000,384.300000,68.579360,27.276553,1
10,1780259488.517956,1780259488.518065,3,1.006000,410.866667,70.788642,34.504745,1
10,1780259488.518228,1780259488.518429,4,1.013000,462.400000,79.713026,40.129566,1
10,1780259488.518612,1780259488.518718,5,1.003000,462.833333,87.340561,13.940792,1
11,1780259489.528226,1780259489.528399,1,1.024000,754.700000,143.029532,34.962140,1
11,1780259489.528708,1780259489.528801,2,1.005000,376.200000,68.338756,22.775575,1
11,1780259489.528925,1780259489.529008,3,1.010000,357.033333,64.966716,22.351655,1
11,1780259489.529128,1780259489.529210,4,1.006000,459.366667,79.928369,36.926883,1
11,1780259489.529374,1780259489.529457,5,1.010000,468.066667,86.936012,23.554582,1
0,1780259493.943956,1780259493.944046,1,0.000000,0.000000,0.000000,0.000000,0
0,1780259493.944509,1780259493.944604,2,0.000000,0.000000,0.000000,0.000000,0
0,1780259493.944748,1780259493.944816,3,0.000000,0.000000,0.000000,0.000000,0
0,1780259493.944963,1780259493.945027,4,0.000000,0.000000,0.000000,0.000000,0
0,1780259493.945141,1780259493.945204,5,0.000000,0.000000,0.000000,0.000000,0
0,1780259494.964552,1780259494.964671,1,0.000000,0.000000,0.000000,0.000000,0
0,1780259494.964994,1780259494.965106,2,0.000000,0.000000,0.000000,0.000000,0
0,1780259494.965300,1780259494.965412,3,0.000000,0.000000,0.000000,0.000000,0
0,1780259494.965725,1780259494.965850,4,0.000000,0.000000,0.000000,0.000000,0
0,1780259494.966038,1780259494.966142,5,0.000000,0.000000,0.000000,0.000000,0
4,1780259495.983872,1780259495.984006,1,1.019000,738.433333,138.618230,36.580019,1
4,1780259495.984356,1780259495.984471,2,1.010000,287.466667,50.665256,22.204786,1
4,1780259495.984640,1780259495.984747,3,1.006000,444.800000,79.201204,31.550872,1
4,1780259495.984955,1780259495.985147,4,1.013000,466.633333,80.352748,40.675361,1
4,1780259495.985436,1780259495.985571,5,1.010000,467.133333,87.517743,20.518569,1
5,1780259496.987335,1780259496.987482,1,1.021000,887.300000,168.581814,37.042294,1
5,1780259496.987883,1780259496.987999,2,1.005000,430.066667,74.154733,35.809696,1
5,1780259496.988224,1780259496.988338,3,1.009000,465.500000,84.369162,29.831578,1
5,1780259496.988529,1780259496.988672,4,1.004000,515.200000,79.117079,58.761126,1
5,1780259496.988849,1780259496.988974,5,1.004000,481.200000,88.015950,26.943644,1
6,1780259497.996152,1780259497.996269,1,1.020000,828.300000,156.284406,38.549605,1
6,1780259497.996712,1780259497.996812,2,1.011000,440.333333,78.617443,31.832761,1
6,1780259497.996938,1780259497.997022,3,1.009000,368.200000,62.904750,32.453186,1
6,1780259497.997143,1780259497.997223,4,1.008000,494.533333,80.253896,50.789443,1
6,1780259497.997341,1780259497.997417,5,1.008000,501.900000,93.893296,21.795433,1
7,1780259499.002493,1780259499.002790,1,1.018000,837.633333,159.896296,28.765790,1
7,1780259499.003175,1780259499.003295,2,1.009000,401.933333,74.053452,22.054432,1
7,1780259499.003507,1780259499.003621,3,1.010000,409.333333,76.216264,19.888073,1
7,1780259499.003795,1780259499.003907,4,1.008000,458.400000,79.584205,37.638087,1
7,1780259499.004071,1780259499.004170,5,1.005000,477.800000,88.935769,21.460117,1
8,1780259500.018986,1780259500.019113,1,1.017000,911.300000,173.946604,30.368264,1
8,1780259500.019484,1780259500.019606,2,1.011000,407.533333,74.535398,24.630596,1
8,1780259500.019816,1780259500.019928,3,1.008000,481.400000,86.165982,33.510272,1
8,1780259500.020094,1780259500.020201,4,1.003000,523.266667,79.365854,60.827761,1
8,1780259500.020364,1780259500.020464,5,1.006000,503.000000,91.762445,29.570622,1
9,1780259501.021132,1780259501.021295,1,1.021000,910.833333,174.541333,30.472094,1
9,1780259501.021724,1780259501.021858,2,1.006000,320.866667,56.776902,23.635714,1
9,1780259501.022031,1780259501.022155,3,1.011000,361.566667,62.750566,30.213533,1
9,1780259501.022326,1780259501.022433,4,1.014000,465.400000,80.408299,40.232732,1
9,1780259501.022593,1780259501.022716,5,1.007000,464.466667,85.645769,24.612856,1
10,1780259502.022179,1780259502.022305,1,1.021000,681.333333,126.135915,40.692914,1
10,1780259502.022646,1780259502.022803,2,1.009000,317.733333,56.390125,23.474702,1
10,1780259502.022986,1780259502.023094,3,1.006000,359.366667,62.060301,29.881180,1
10,1780259502.023257,1780259502.023361,4,1.013000,462.400000,79.713026,40.129566,1
10,1780259502.023540,1780259502.023641,5,1.003000,462.833333,87.340561,13.940792,1
11,1780259503.025219,1780259503.025360,1,1.024000,793.533333,149.816341,39.030054,1
11,1780259503.026895,1780259503.027087,2,1.005000,376.200000,68.338756,22.775575,1
11,1780259503.027407,1780259503.027553,3,1.010000,357.033333,64.966716,22.351655,1
11,1780259503.027725,1780259503.027833,4,1.006000,459.366667,79.928369,36.926883,1
11,1780259503.028009,1780259503.028116,5,1.010000,468.066667,86.936012,23.554582,1
12,1780259504.026884,1780259504.027014,1,1.020000,895.933333,171.483096,30.143034,1
12,1780259504.027393,1780259504.027515,2,1.014000,436.133333,80.146099,25.999881,1
12,1780259504.027697,1780259504.027874,3,1.010000,424.700000,76.952618,27.519672,1
12,1780259504.028069,1780259504.028178,4,1.005000,479.766667,79.922433,45.294130,1
12,1780259504.028447,1780259504.028557,5,1.009000,497.066667,93.740686,18.538652,1
92,1780259585.177068,1780259585.177173,1,1.016000,775.333333,146.302247,33.480914,1
92,1780259585.177435,1780259585.177549,2,1.011000,397.666667,74.852639,16.263589,1
92,1780259585.177684,1780259585.177771,3,1.010000,373.600000,63.430456,33.838742,1
