cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
13,1780259598.864672,1780259598.865147,1,1.014078,722.582813,0.956500,1
13,1780259598.875734,1780259598.876268,2,1.013527,324.516512,0.902600,1
13,1780259598.881386,1780259598.882147,3,1.008448,401.229292,0.904100,1
13,1780259598.887913,1780259598.888683,4,1.006066,456.781826,0.915000,1
13,1780259598.895728,1780259598.896285,5,1.009656,459.208125,0.987700,1
14,1780259599.864651,1780259599.865179,1,1.020975,902.374746,0.980000,1
14,1780259599.870227,1780259599.870743,2,1.010361,430.351824,0.925200,1
14,1780259599.875780,1780259599.876266,3,1.006015,452.311229,0.915600,1
14,1780259599.880980,1780259599.881476,4,1.013125,518.406865,0.802000,1
14,1780259599.886315,1780259599.886868,5,1.004359,508.219683,0.968400,1
15,1780259600.863265,1780259600.864048,1,1.024396,778.999428,0.969300,1
15,1780259600.869230,1780259600.870342,2,1.006860,327.031211,0.919700,1
15,1780259600.875669,1780259600.876168,3,1.008553,442.053001,0.903600,1
15,1780259600.880850,1780259600.881377,4,1.014214,468.692929,0.884100,1
15,1780259600.886544,1780259600.887102,5,1.010782,478.164184,0.985900,1
16,1780259601.866945,1780259601.867469,1,1.017639,841.080615,0.975100,1
16,1780259601.872823,1780259601.873355,2,1.013386,352.288504,0.917500,1
16,1780259601.878035,1780259601.878484,3,1.009036,505.813535,0.925900,1
16,1780259601.883518,1780259601.884028,4,1.010457,515.729587,0.807500,1
16,1780259601.889287,1780259601.889941,5,1.006471,470.882821,0.951900,1
17,1780259602.865311,1780259602.865921,1,1.021718,761.301259,0.972400,1
17,1780259602.872020,1780259602.872587,2,1.013292,292.048817,0.950200,1
17,1780259602.878876,1780259602.879521,3,1.015032,475.220747,0.918000,1
17,1780259602.885472,1780259602.886248,4,1.008717,476.841173,0.870800,1
17,1780259602.891479,1780259602.891969,5,1.006961,463.752344,0.965300,1
18,1780259604.007894,1780259604.008250,1,1.018990,918.845406,0.984600,1
18,1780259604.013430,1780259604.013877,2,1.015512,436.686314,0.942300,1
18,1780259604.020108,1780259604.020598,3,1.004628,484.865846,0.957500,1
18,1780259604.025530,1780259604.026006,4,1.011195,479.091193,0.868400,1
18,1780259604.030742,1780259604.031292,5,1.005707,454.049386,0.978800,1
19,1780259604.996113,1780259604.996695,1,1.020846,771.316923,0.971200,1
19,1780259605.013734,1780259605.014315,2,1.018290,388.532699,0.943000,1
19,1780259605.019259,1780259605.019716,3,1.007337,377.050827,0.937700,1
19,1780259605.026588,1780259605.027121,4,1.009323,463.939221,0.895900,1
19,1780259605.032143,1780259605.032668,5,0.998816,463.202985,0.967400,1
20,1780259605.993900,1780259605.994241,1,1.023026,842.547157,0.983100,1
20,1780259605.999544,1780259605.999861,2,1.010800,339.796925,0.976300,1
20,1780259606.003738,1780259606.004239,3,1.011569,499.069911,0.903700,1
20,1780259606.008013,1780259606.008307,4,1.004896,505.969936,0.820800,1
20,1780259606.012529,1780259606.012842,5,1.005977,491.168268,0.957100,1
21,1780259606.994165,1780259606.994685,1,1.023275,827.009089,0.983000,1
21,1780259606.999605,1780259607.000086,2,1.014266,412.195352,0.969600,1
21,1780259607.004810,1780259607.005399,3,1.011049,380.295126,0.937500,1
21,1780259607.010854,1780259607.011324,4,1.010528,482.891982,0.864100,1
21,1780259607.016017,1780259607.016338,5,1.006552,496.986655,0.956100,1
22,1780259607.996905,1780259607.997394,1,1.022391,855.912066,0.978000,1
22,1780259608.002157,1780259608.002693,2,1.009735,403.766551,0.943200,1
22,1780259608.007061,1780259608.007499,3,1.011145,467.225944,0.927700,1
22,1780259608.012302,1780259608.012780,4,1.018236,493.413075,0.839700,1
22,1780259608.017550,1780259608.018039,5,1.009744,459.668095,0.963000,1
23,1780259609.042700,1780259609.043198,1,1.020397,766.724175,0.982700,1
23,1780259609.047851,1780259609.048349,2,1.011667,270.357968,0.974300,1
23,1780259609.052860,1780259609.053317,3,1.004418,468.035733,0.954800,1
23,1780259609.058194,1780259609.058697,4,1.011845,468.455262,0.884700,1
23,1780259609.063667,1780259609.064203,5,1.003920,479.961458,0.952300,1
24,1780259610.044326,1780259610.044811,1,1.023799,769.419837,0.976000,1
24,1780259610.049413,1780259610.049960,2,1.015419,404.760060,0.975800,1
24,1780259610.054914,1780259610.055434,3,1.009003,350.522873,0.923700,1
24,1780259610.060781,1780259610.061277,4,1.012298,447.250801,0.934500,1
24,1780259610.066233,1780259610.066645,5,1.004329,457.707164,0.980400,1
25,1780259611.054106,1780259611.054624,1,1.022964,827.699915,0.970700,1
25,1780259611.059211,1780259611.059697,2,1.004084,418.709948,0.910300,1
25,1780259611.064328,1780259611.064700,3,1.008711,414.862424,0.929500,1
25,1780259611.069434,1780259611.070052,4,1.011199,471.714947,0.882500,1
25,1780259611.074891,1780259611.075376,5,1.011494,462.103122,0.984900,1
26,1780259612.065480,1780259612.065888,1,1.023409,781.664374,0.971000,1
26,1780259612.070791,1780259612.071257,2,1.015357,354.829063,0.916900,1
26,1780259612.076033,1780259612.076498,3,1.006768,420.561192,0.945700,1
26,1780259612.081313,1780259612.081848,4,1.010346,476.419618,0.873000,1
26,1780259612.087052,1780259612.087532,5,1.011273,470.804845,0.962500,1
27,1780259613.074727,1780259613.075204,1,1.013110,844.385880,0.977800,1
27,1780259613.079879,1780259613.080413,2,1.004438,437.028175,0.952000,1
27,1780259613.085289,1780259613.085771,3,1.009951,409.816523,0.926600,1
