probe,t_h2_unix,t_h4_unix,delta_ms,status
85,1778956134.695379,1778956138.409823,3714.4439,OK
86,1778956142.799271,1778956146.803212,4003.9408,OK
87,1778956148.490985,1778956152.489082,3998.0972,OK
88,1778956153.220389,1778956157.288648,4068.2590,OK
89,1778956158.187408,1778956162.259595,4072.1869,OK
90,1778956163.044128,1778956167.230525,4186.3971,OK
91,1778956167.878326,1778956172.231400,4353.0741,OK
92,1778956172.861776,1778956177.324673,4462.8968,OK
93,1778956177.003201,1778956181.606448,4603.2469,OK
94,1778956181.100538,1778956185.923451,4822.9129,OK
95,1778956185.132945,1778956190.195211,5062.2659,OK
96,1778956189.173567,,,MISSING_H4
