probe,t_h2_unix,t_h4_unix,delta_ms,status
40,,1778957215.571591,,MISSING_H2
41,1778957215.474264,1778957219.628473,4154.2091,OK
42,1778957219.508050,1778957223.683235,4175.1850,OK
43,1778957223.540681,1778957227.741193,4200.5122,OK
44,1778957227.574565,1778957231.795302,4220.7370,OK
45,1778957231.607841,1778957235.863162,4255.3210,OK
46,1778957235.638267,1778957239.919786,4281.5189,OK
47,1778957239.670735,1778957243.986095,4315.3601,OK
48,1778957243.701822,1778957248.039667,4337.8448,OK
49,1778957247.734468,1778957252.092152,4357.6841,OK
50,1778957251.765239,1778957256.147290,4382.0510,OK
51,1778957255.795039,1778957260.206937,4411.8981,OK
52,1778957259.832407,1778957264.307782,4475.3749,OK
53,1778957263.862746,1778957268.359832,4497.0860,OK
54,1778957267.895064,1778957272.415888,4520.8240,OK
55,1778957271.946205,,,MISSING_H4
