cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
4,1780250435.188254,1780250435.188850,1,1.019232,738.433814,0.966900,1
4,1780250435.193387,1780250435.193859,2,1.010322,287.494064,0.915900,1
4,1780250435.198084,1780250435.198507,3,1.006210,444.813380,0.929000,1
4,1780250435.203320,1780250435.203787,4,1.013336,466.636220,0.892200,1
4,1780250435.208130,1780250435.208574,5,1.010111,467.140021,0.973600,1
5,1780250436.192390,1780250436.192841,1,1.021184,887.311323,0.976700,1
5,1780250436.197394,1780250436.197942,2,1.005002,430.082876,0.900500,1
5,1780250436.202506,1780250436.202959,3,1.009519,465.514894,0.942800,1
5,1780250436.207523,1780250436.207995,4,1.004926,515.217501,0.802800,1
5,1780250436.212352,1780250436.212791,5,1.004331,481.231049,0.956200,1
6,1780250437.191866,1780250437.192136,1,1.020916,828.331132,0.970900,1
6,1780250437.195710,1780250437.195966,2,1.011563,440.336648,0.926900,1
6,1780250437.199839,1780250437.200113,3,1.009926,368.224565,0.888700,1
6,1780250437.204582,1780250437.204851,4,1.008017,494.542962,0.845000,1
6,1780250437.208385,1780250437.208664,5,1.008670,501.928841,0.974100,1
7,1780250438.203406,1780250438.204673,1,1.018139,837.657393,0.984200,1
7,1780250438.210221,1780250438.210803,2,1.009968,401.940368,0.958400,1
7,1780250438.216990,1780250438.217476,3,1.010896,409.339308,0.967600,1
7,1780250438.223193,1780250438.223728,4,1.008658,458.431298,0.904000,1
7,1780250438.229128,1780250438.229624,5,1.005438,477.831382,0.972100,1
8,1780250439.203539,1780250439.204095,1,1.017576,911.300471,0.985100,1
8,1780250439.209911,1780250439.210444,2,1.011280,407.565385,0.949500,1
8,1780250439.215218,1780250439.215674,3,1.008145,481.426032,0.932000,1
8,1780250439.219853,1780250439.220302,4,1.003957,523.284276,0.793700,1
8,1780250439.226776,1780250439.227508,5,1.006682,503.007443,0.951800,1
110,1780250541.805292,1780250541.806233,1,1.021557,770.613032,0.969200,1
110,1780250541.814375,1780250541.815204,2,1.012655,352.502201,0.935200,1
110,1780250541.829005,1780250541.829635,3,1.011556,385.957987,0.884600,1
110,1780250541.839683,1780250541.841638,4,1.010068,486.218626,0.853500,1
110,1780250541.853698,1780250541.855254,5,1.008915,507.105254,0.969100,1
