cmd_id,origin_cycle,ts_received,ts_sent,breaker_DT
78,88,1780250521.280567,1780250521.282518,1:1;2:1;3:1;4:1;5:1
79,89,1780250522.280728,1780250522.282391,1:1;2:1;3:1;4:1;5:1
80,90,1780250523.285105,1780250523.288363,1:1;2:1;3:1;4:1;5:1
81,91,1780250524.286048,1780250524.287605,1:1;2:1;3:1;4:1;5:1
82,92,1780250525.286947,1780250525.288794,1:1;2:1;3:1;4:1;5:1
83,93,1780250526.288000,1780250526.289866,1:1;2:1;3:1;4:1;5:1
84,94,1780250527.289694,1780250527.291848,1:1;2:1;3:1;4:1;5:1
85,95,1780250528.290273,1780250528.291919,1:1;2:1;3:1;4:1;5:1
86,96,1780250529.291099,1780250529.293164,1:1;2:1;3:1;4:1;5:1
87,97,1780250530.293631,1780250530.295684,1:1;2:1;3:1;4:1;5:1
88,98,1780250531.347105,1780250531.348577,1:1;2:1;3:1;4:1;5:1
89,99,1780250532.347229,1780250532.348747,1:1;2:1;3:1;4:1;5:1
90,100,1780250533.348158,1780250533.350162,1:1;2:1;3:1;4:1;5:1
91,101,1780250534.348921,1780250534.351608,1:1;2:1;3:1;4:1;5:1
92,102,1780250535.368337,1780250535.370306,1:1;2:1;3:1;4:1;5:1
93,103,1780250536.370463,1780250536.371988,1:1;2:1;3:1;4:1;5:1
94,104,1780250537.372773,1780250537.375076,1:1;2:1;3:1;4:1;5:1
95,105,1780250538.372994,1780250538.375133,1:1;2:1;3:1;4:1;5:1
96,106,1780250539.376512,1780250539.379089,1:1;2:1;3:1;4:1;5:1
97,107,1780250540.377613,1780250540.379985,1:1;2:1;3:1;4:1;5:1
98,108,1780250541.379321,1780250541.380735,1:1;2:1;3:1;4:1;5:1
