cycle_id,ts_sent,bus,V_sent,I_sent,P_bus,Q_bus,power_factor,breaker_actual
90,1780250521.209945,1,1.020000,675.827572,-125.996121,-37.075162,0.959329,1
90,1780250521.209945,2,1.011348,287.944539,50.611401,22.735206,0.912191,1
90,1780250521.209945,3,1.009612,352.677475,63.786629,23.098243,0.940251,1
90,1780250521.209945,4,1.010000,460.247457,-80.000000,-37.998713,0.903283,1
90,1780250521.209945,5,1.006793,492.871555,90.639696,26.883798,0.958719,1
91,1780250522.204994,1,1.020000,787.288682,-149.719696,-31.505366,0.978569,1
91,1780250522.204994,2,1.010959,383.346172,70.983949,20.329182,0.961352,1
91,1780250522.204994,3,1.009325,361.829287,65.033674,24.740298,0.934652,1
91,1780250522.204994,4,1.010000,478.075348,-80.000000,-45.424063,0.869599,1
91,1780250522.204994,5,1.006652,505.124821,92.479257,28.865265,0.954581,1
92,1780250523.208531,1,1.020000,776.525512,-147.101975,-33.673633,0.974786,1
92,1780250523.208531,2,1.010849,396.281212,74.579035,16.212357,0.977178,1
92,1780250523.208531,3,1.009057,372.839201,63.242962,33.736809,0.882311,1
92,1780250523.208531,4,1.010000,460.932209,-80.000000,-38.304826,0.901941,1
92,1780250523.208531,5,1.007248,469.944273,88.119572,19.192228,0.977094,1
93,1780250524.214456,1,1.020000,913.670976,-173.712416,-36.759835,0.978335,1
93,1780250524.214456,2,1.009506,439.410726,78.745185,30.691193,0.931732,1
93,1780250524.214456,3,1.007853,478.297080,81.450441,42.438781,0.886840,1
93,1780250524.214456,4,1.010000,523.454898,-80.000000,-61.207066,0.794211,1
93,1780250524.214456,5,1.007082,491.226448,91.906144,20.906576,0.975090,1
94,1780250525.207085,1,1.020000,768.485657,-145.960292,-31.612884,0.977340,1
94,1780250525.207085,2,1.011096,286.360689,53.057039,15.101723,0.961798,1
94,1780250525.207085,3,1.009010,476.209538,85.508797,32.698599,0.934037,1
94,1780250525.207085,4,1.010000,447.306101,-80.000000,-31.764605,0.929417,1
94,1780250525.207085,5,1.007628,453.894740,86.210551,12.681267,0.989354,1
95,1780250526.208804,1,1.020000,833.743875,-157.737530,-37.033352,0.973529,1
95,1780250526.208804,2,1.010104,411.529536,73.479060,29.552110,0.927776,1
95,1780250526.208804,3,1.008544,415.098871,72.851340,32.477146,0.913351,1
95,1780250526.208804,4,1.010000,499.432281,-80.000000,-53.257835,0.832413,1
95,1780250526.208804,5,1.006905,487.157135,90.059608,24.968918,0.963649,1
96,1780250527.212554,1,1.020000,792.429779,-151.216991,-29.132755,0.981943,1
96,1780250527.212554,2,1.011132,405.724775,75.487269,20.270277,0.965786,1
96,1780250527.212554,3,1.009644,339.761594,63.166166,16.782265,0.966471,1
96,1780250527.212554,4,1.010000,440.222219,-80.000000,-27.859997,0.944373,1
96,1780250527.212554,5,1.007299,484.178502,91.355851,16.987008,0.983148,1
97,1780250528.214453,1,1.020000,850.670027,-162.317926,-31.340650,0.981865,1
97,1780250528.214453,2,1.010481,395.711899,71.219259,27.050607,0.934839,1
97,1780250528.214453,3,1.008946,441.252879,82.013859,21.645201,0.966893,1
97,1780250528.214453,4,1.010000,459.014970,-80.000000,-37.442601,0.905709,1
97,1780250528.214453,5,1.007387,465.154883,87.700824,16.710066,0.982328,1
98,1780250529.212025,1,1.020000,782.160521,-148.085411,-34.283039,0.974233,1
98,1780250529.212025,2,1.010751,365.917526,66.145187,24.296046,0.938680,1
98,1780250529.212025,3,1.009113,401.822054,73.067235,25.090272,0.945792,1
98,1780250529.212025,4,1.010000,451.421030,-80.000000,-33.851633,0.920945,1
98,1780250529.212025,5,1.007433,464.221649,87.683955,15.841675,0.984069,1
99,1780250530.214115,1,1.020000,910.425736,-172.620648,-38.805115,0.975652,1
99,1780250530.214115,2,1.009348,429.575313,74.921931,34.801603,0.906933,1
99,1780250530.214115,3,1.007735,499.204752,86.448936,41.391050,0.901948,1
99,1780250530.214115,4,1.010000,525.892719,-80.000000,-61.976053,0.790530,1
99,1780250530.214115,5,1.007139,479.457493,89.647085,20.678519,0.974413,1
100,1780250531.215352,1,1.020000,825.502825,-155.366964,-39.966073,0.968471,1
100,1780250531.215352,2,1.009910,353.483259,61.369679,29.322436,0.902296,1
100,1780250531.215352,3,1.008060,496.805614,85.528585,42.299881,0.896366,1
100,1780250531.215352,4,1.010000,495.124588,-80.000000,-51.747009,0.839655,1
100,1780250531.215352,5,1.007394,462.272585,87.121199,16.798587,0.981913,1
101,1780250532.216613,1,1.020000,778.532014,-147.539014,-33.510953,0.975162,1
