cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
6,1780251549.587639,1,1,1.020000,830.442576,1
6,1780251549.587639,2,2,1.010010,401.223943,1
6,1780251549.587639,3,3,1.008586,166.043884,1
6,1780251549.587639,4,4,1.010000,502.400532,1
6,1780251549.587639,5,,1.006996,0.000000,1
7,1780251550.588110,1,1,1.020000,839.313751,1
7,1780251550.588110,2,2,1.010802,444.192838,1
7,1780251550.588110,3,3,1.009240,95.788033,1
7,1780251550.588110,4,4,1.010000,476.797802,1
7,1780251550.588110,5,,1.007112,0.000000,1
8,1780251551.588598,1,1,1.020000,909.353434,1
8,1780251551.588598,2,2,1.010105,510.968160,1
8,1780251551.588598,3,3,1.008387,173.053584,1
8,1780251551.588598,4,4,1.010000,502.685575,1
8,1780251551.588598,5,,1.006629,0.000000,1
9,1780251552.588750,1,1,1.020000,682.070896,1
9,1780251552.588750,2,2,1.010979,365.314707,1
9,1780251552.588750,3,3,1.009226,83.242377,1
9,1780251552.588750,4,4,1.010000,464.460983,1
9,1780251552.588750,5,,1.007012,0.000000,1
10,1780251553.589546,1,1,1.020000,787.105581,1
10,1780251553.589546,2,2,1.010297,410.271809,1
10,1780251553.589546,3,3,1.008631,137.171269,1
10,1780251553.589546,4,4,1.010000,460.748004,1
10,1780251553.589546,5,,1.007540,0.000000,1
11,1780251554.590011,1,1,1.020000,748.845706,1
11,1780251554.590011,2,2,1.010977,378.097674,1
11,1780251554.590011,3,3,1.009396,75.512852,1
11,1780251554.590011,4,4,1.010000,469.441420,1
11,1780251554.590011,5,,1.007042,0.000000,1
12,1780251555.591356,1,1,1.020000,900.386837,1
12,1780251555.591356,2,2,1.010221,472.972835,1
12,1780251555.591356,3,3,1.008695,157.167901,1
12,1780251555.591356,4,4,1.010000,497.969795,1
12,1780251555.591356,5,,1.007170,0.000000,1
13,1780251556.592121,1,1,1.020000,723.107467,1
13,1780251556.592121,2,2,1.010637,405.390787,1
13,1780251556.592121,3,3,1.008886,116.103820,1
13,1780251556.592121,4,4,1.010000,459.860957,1
13,1780251556.592121,5,,1.007550,0.000000,1
14,1780251557.593926,1,1,1.020000,901.616930,1
14,1780251557.593926,2,2,1.009769,487.970302,1
14,1780251557.593926,3,3,1.008218,195.489661,1
14,1780251557.593926,4,4,1.010000,506.755467,1
14,1780251557.593926,5,,1.006862,0.000000,1
15,1780251558.594438,1,1,1.020000,776.849508,1
15,1780251558.594438,2,2,1.010523,458.961178,1
15,1780251558.594438,3,3,1.008662,147.263558,1
15,1780251558.594438,4,4,1.010000,479.369353,1
15,1780251558.594438,5,,1.007396,0.000000,1
16,1780251559.596654,1,1,1.020000,842.684655,1
16,1780251559.596654,2,2,1.010110,501.413618,1
16,1780251559.596654,3,3,1.008272,162.051498,1
16,1780251559.596654,4,4,1.010000,470.470515,1
16,1780251559.596654,5,,1.006847,0.000000,1
17,1780251560.596935,1,1,1.020000,766.332713,1
17,1780251560.596935,2,2,1.010865,475.876321,1
17,1780251560.596935,3,3,1.008790,118.933416,1
17,1780251560.596935,4,4,1.010000,463.234648,1
17,1780251560.596935,5,,1.007083,0.000000,1
18,1780251561.598423,1,1,1.020000,914.913063,1
18,1780251561.598423,2,2,1.009994,489.559113,1
18,1780251561.598423,3,3,1.008461,143.896661,1
18,1780251561.598423,4,4,1.010000,452.960099,1
18,1780251561.598423,5,,1.007381,0.000000,1
19,1780251562.598639,1,1,1.020000,770.091673,1
19,1780251562.598639,2,2,1.010682,383.377088,1
19,1780251562.598639,3,3,1.009123,89.872818,1
19,1780251562.598639,4,4,1.010000,458.995219,1
19,1780251562.598639,5,,1.007143,0.000000,1
20,1780251563.599031,1,1,1.020000,848.453502,1
20,1780251563.599031,2,2,1.010628,509.608681,1
20,1780251563.599031,3,3,1.008506,156.966387,1
20,1780251563.599031,4,4,1.010000,490.295215,1
20,1780251563.599031,5,,1.006786,0.000000,1
21,1780251564.600635,1,1,1.020000,828.679936,1
21,1780251564.600635,2,2,1.010795,417.547707,1
21,1780251564.600635,3,3,1.009173,110.245986,1
21,1780251564.600635,4,4,1.010000,496.606156,1
21,1780251564.600635,5,,1.006730,0.000000,1
22,1780251565.600869,1,1,1.020000,858.446859,1
22,1780251565.600869,2,2,1.010126,462.960001,1
22,1780251565.600869,3,3,1.008424,146.922921,1
22,1780251565.600869,4,4,1.010000,460.549766,1
22,1780251565.600869,5,,1.007065,0.000000,1
23,1780251566.602072,1,1,1.020000,758.564962,1
23,1780251566.602072,2,2,1.011496,488.864610,1
23,1780251566.602072,3,3,1.009400,77.006609,1
23,1780251566.602072,4,4,1.010000,478.121456,1
23,1780251566.602072,5,,1.006801,0.000000,1
24,1780251567.602763,1,1,1.020000,767.512965,1
24,1780251567.602763,2,2,1.011022,361.263955,1
24,1780251567.602763,3,3,1.009366,73.127296,1
24,1780251567.602763,4,4,1.010000,456.157198,1
24,1780251567.602763,5,,1.007396,0.000000,1
25,1780251568.604287,1,1,1.020000,826.671079,1
25,1780251568.604287,2,2,1.010017,426.416838,1
25,1780251568.604287,3,3,1.008556,144.428962,1
25,1780251568.604287,4,4,1.010000,463.725632,1
25,1780251568.604287,5,,1.007456,0.000000,1
26,1780251569.604558,1,1,1.020000,782.052477,1
26,1780251569.604558,2,2,1.010590,436.538193,1
26,1780251569.604558,3,3,1.008957,110.794689,1
26,1780251569.604558,4,4,1.010000,472.679412,1
26,1780251569.604558,5,,1.006980,0.000000,1
27,1780251570.607463,1,1,1.020000,844.560238,1
27,1780251570.607463,2,2,1.010261,416.083487,1
27,1780251570.607463,3,3,1.008708,128.336761,1
27,1780251570.607463,4,4,1.010000,470.560136,1
