cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
0,1780254600.834830,1780254600.834948,1,0.000000,0.000000,0.000000,0.000000,0
0,1780254600.836400,1780254600.836629,2,0.000000,0.000000,0.000000,0.000000,0
0,1780254600.836933,1780254600.837215,3,0.000000,0.000000,0.000000,0.000000,0
0,1780254600.837565,1780254600.838043,4,0.000000,0.000000,0.000000,0.000000,0
0,1780254600.838348,1780254600.838448,5,0.000000,0.000000,0.000000,0.000000,0
0,1780254601.835425,1780254601.835534,1,0.000000,0.000000,0.000000,0.000000,0
0,1780254601.836083,1780254601.836183,2,0.000000,0.000000,0.000000,0.000000,0
0,1780254601.838177,1780254601.838304,3,0.000000,0.000000,0.000000,0.000000,0
0,1780254601.838503,1780254601.838612,4,0.000000,0.000000,0.000000,0.000000,0
0,1780254601.838835,1780254601.838921,5,0.000000,0.000000,0.000000,0.000000,0
0,1780254602.836825,1780254602.836923,1,0.000000,0.000000,0.000000,0.000000,0
0,1780254602.837739,1780254602.837841,2,0.000000,0.000000,0.000000,0.000000,0
0,1780254602.838035,1780254602.838122,3,0.000000,0.000000,0.000000,0.000000,0
0,1780254602.838403,1780254602.838499,4,0.000000,0.000000,0.000000,0.000000,0
0,1780254602.838917,1780254602.839005,5,0.000000,0.000000,0.000000,0.000000,0
0,1780254603.837269,1780254603.837372,1,0.000000,0.000000,0.000000,0.000000,0
0,1780254603.837837,1780254603.837949,2,0.000000,0.000000,0.000000,0.000000,0
0,1780254603.838155,1780254603.838444,3,0.000000,0.000000,0.000000,0.000000,0
0,1780254603.838659,1780254603.838754,4,0.000000,0.000000,0.000000,0.000000,0
0,1780254603.839056,1780254603.839160,5,0.000000,0.000000,0.000000,0.000000,0
0,1780254604.842071,1780254604.842175,1,0.000000,0.000000,0.000000,0.000000,0
0,1780254604.842688,1780254604.842809,2,0.000000,0.000000,0.000000,0.000000,0
0,1780254604.843273,1780254604.843366,3,0.000000,0.000000,0.000000,0.000000,0
0,1780254604.843659,1780254604.843763,4,0.000000,0.000000,0.000000,0.000000,0
0,1780254604.844257,1780254604.844360,5,0.000000,0.000000,0.000000,0.000000,0
6,1780254605.844219,1780254605.844518,1,1.019000,829.166667,156.294549,38.552107,1
6,1780254605.846134,1780254605.846383,2,0.000000,0.000000,0.000000,0.000000,0
6,1780254605.846653,1780254605.846768,3,0.000000,0.000000,0.000000,0.000000,0
6,1780254605.846997,1780254605.847107,4,0.000000,0.000000,0.000000,0.000000,0
6,1780254605.847304,1780254605.847393,5,0.000000,0.000000,0.000000,0.000000,0
8,1780254606.850417,1780254606.850855,1,1.019000,829.166667,156.294549,38.552107,1
8,1780254606.851968,1780254606.852148,2,1.009000,409.300000,0.000079,78.683963,0
