cmd_id,origin_cycle,ts_received,bus,breaker_DT
0,0,1780254147.341332,1,1
0,0,1780254147.341332,2,1
0,0,1780254147.341332,3,1
0,0,1780254147.341332,4,1
0,0,1780254147.341332,5,1
0,0,1780254148.342058,1,1
0,0,1780254148.342058,2,1
0,0,1780254148.342058,3,1
0,0,1780254148.342058,4,1
0,0,1780254148.342058,5,1
0,0,1780254149.342494,1,1
0,0,1780254149.342494,2,1
0,0,1780254149.342494,3,1
0,0,1780254149.342494,4,1
0,0,1780254149.342494,5,1
0,0,1780254150.343930,1,1
0,0,1780254150.343930,2,1
0,0,1780254150.343930,3,1
0,0,1780254150.343930,4,1
0,0,1780254150.343930,5,1
0,0,1780254151.344573,1,1
0,0,1780254151.344573,2,1
0,0,1780254151.344573,3,1
0,0,1780254151.344573,4,1
0,0,1780254151.344573,5,1
0,0,1780254152.344857,1,1
0,0,1780254152.344857,2,1
0,0,1780254152.344857,3,1
0,0,1780254152.344857,4,1
0,0,1780254152.344857,5,1
0,0,1780254153.346922,1,1
0,0,1780254153.346922,2,1
0,0,1780254153.346922,3,1
0,0,1780254153.346922,4,1
0,0,1780254153.346922,5,1
0,0,1780254154.347266,1,1
0,0,1780254154.347266,2,1
0,0,1780254154.347266,3,1
0,0,1780254154.347266,4,1
0,0,1780254154.347266,5,1
1,7,1780254155.348096,1,1
1,7,1780254155.348096,2,1
1,7,1780254155.348096,3,1
1,7,1780254155.348096,4,1
1,7,1780254155.348096,5,1
2,8,1780254156.348512,1,1
2,8,1780254156.348512,2,1
2,8,1780254156.348512,3,1
2,8,1780254156.348512,4,1
2,8,1780254156.348512,5,1
3,9,1780254157.349095,1,1
3,9,1780254157.349095,2,1
3,9,1780254157.349095,3,1
3,9,1780254157.349095,4,1
3,9,1780254157.349095,5,1
4,10,1780254158.350888,1,1
4,10,1780254158.350888,2,1
4,10,1780254158.350888,3,1
4,10,1780254158.350888,4,1
4,10,1780254158.350888,5,1
5,11,1780254159.354297,1,1
5,11,1780254159.354297,2,1
5,11,1780254159.354297,3,1
5,11,1780254159.354297,4,1
5,11,1780254159.354297,5,1
6,12,1780254160.356601,1,1
6,12,1780254160.356601,2,1
6,12,1780254160.356601,3,1
6,12,1780254160.356601,4,1
6,12,1780254160.356601,5,1
7,13,1780254161.357019,1,1
7,13,1780254161.357019,2,1
7,13,1780254161.357019,3,1
7,13,1780254161.357019,4,1
7,13,1780254161.357019,5,1
8,14,1780254162.357911,1,1
8,14,1780254162.357911,2,1
8,14,1780254162.357911,3,1
8,14,1780254162.357911,4,1
8,14,1780254162.357911,5,1
9,15,1780254163.358107,1,1
9,15,1780254163.358107,2,1
9,15,1780254163.358107,3,1
9,15,1780254163.358107,4,1
9,15,1780254163.358107,5,1
10,16,1780254164.358253,1,1
10,16,1780254164.358253,2,1
10,16,1780254164.358253,3,1
10,16,1780254164.358253,4,1
10,16,1780254164.358253,5,1
11,17,1780254165.359454,1,1
11,17,1780254165.359454,2,1
11,17,1780254165.359454,3,1
11,17,1780254165.359454,4,1
11,17,1780254165.359454,5,1
12,18,1780254166.360310,1,1
12,18,1780254166.360310,2,1
12,18,1780254166.360310,3,1
12,18,1780254166.360310,4,1
12,18,1780254166.360310,5,1
13,19,1780254167.360606,1,1
13,19,1780254167.360606,2,1
13,19,1780254167.360606,3,1
13,19,1780254167.360606,4,1
13,19,1780254167.360606,5,1
14,20,1780254168.362589,1,1
14,20,1780254168.362589,2,1
14,20,1780254168.362589,3,1
14,20,1780254168.362589,4,1
14,20,1780254168.362589,5,1
15,21,1780254169.363956,1,1
15,21,1780254169.363956,2,1
15,21,1780254169.363956,3,1
15,21,1780254169.363956,4,1
15,21,1780254169.363956,5,1
16,22,1780254170.364033,1,1
16,22,1780254170.364033,2,1
16,22,1780254170.364033,3,1
16,22,1780254170.364033,4,1
16,22,1780254170.364033,5,1
17,23,1780254171.364891,1,1
17,23,1780254171.364891,2,1
17,23,1780254171.364891,3,1
17,23,1780254171.364891,4,1
17,23,1780254171.364891,5,1
18,24,1780254172.365956,1,1
18,24,1780254172.365956,2,1
18,24,1780254172.365956,3,1
18,24,1780254172.365956,4,1
18,24,1780254172.365956,5,1
19,25,1780254173.368828,1,1
19,25,1780254173.368828,2,1
19,25,1780254173.368828,3,1
19,25,1780254173.368828,4,1
19,25,1780254173.368828,5,1
20,26,1780254174.369013,1,1
20,26,1780254174.369013,2,1
20,26,1780254174.369013,3,1
20,26,1780254174.369013,4,1
20,26,1780254174.369013,5,1
21,27,1780254175.370028,1,1
21,27,1780254175.370028,2,1
21,27,1780254175.370028,3,1
21,27,1780254175.370028,4,1
21,27,1780254175.370028,5,1
22,28,1780254176.371701,1,1
22,28,1780254176.371701,2,1
22,28,1780254176.371701,3,1
22,28,1780254176.371701,4,1
22,28,1780254176.371701,5,1
23,29,1780254177.376122,1,1
23,29,1780254177.376122,2,1
23,29,1780254177.376122,3,1
23,29,1780254177.376122,4,1
23,29,1780254177.376122,5,1
24,30,1780254178.377849,1,1
24,30,1780254178.377849,2,1
24,30,1780254178.377849,3,1
24,30,1780254178.377849,4,1
24,30,1780254178.377849,5,1
25,31,1780254179.378095,1,1
25,31,1780254179.378095,2,1
25,31,1780254179.378095,3,1
25,31,1780254179.378095,4,1
25,31,1780254179.378095,5,1
26,32,1780254180.378245,1,1
26,32,1780254180.378245,2,1
26,32,1780254180.378245,3,1
26,32,1780254180.378245,4,1
26,32,1780254180.378245,5,1
27,33,1780254181.378517,1,1
27,33,1780254181.378517,2,1
27,33,1780254181.378517,3,1
27,33,1780254181.378517,4,1
27,33,1780254181.378517,5,1
28,34,1780254182.379828,1,1
28,34,1780254182.379828,2,1
28,34,1780254182.379828,3,1
28,34,1780254182.379828,4,1
28,34,1780254182.379828,5,1
29,35,1780254183.381171,1,1
29,35,1780254183.381171,2,1
29,35,1780254183.381171,3,1
29,35,1780254183.381171,4,1
29,35,1780254183.381171,5,1
30,36,1780254184.387293,1,1
30,36,1780254184.387293,2,1
30,36,1780254184.387293,3,1
30,36,1780254184.387293,4,1
30,36,1780254184.387293,5,1
31,37,1780254185.388281,1,1
31,37,1780254185.388281,2,1
31,37,1780254185.388281,3,1
31,37,1780254185.388281,4,1
31,37,1780254185.388281,5,1
32,38,1780254186.389032,1,1
32,38,1780254186.389032,2,1
32,38,1780254186.389032,3,1
32,38,1780254186.389032,4,1
32,38,1780254186.389032,5,1
33,39,1780254187.390438,1,1
33,39,1780254187.390438,2,1
33,39,1780254187.390438,3,1
33,39,1780254187.390438,4,1
33,39,1780254187.390438,5,1
34,40,1780254188.393684,1,1
34,40,1780254188.393684,2,1
34,40,1780254188.393684,3,1
34,40,1780254188.393684,4,1
34,40,1780254188.393684,5,1
35,41,1780254189.393904,1,1
35,41,1780254189.393904,2,1
35,41,1780254189.393904,3,1
35,41,1780254189.393904,4,1
35,41,1780254189.393904,5,1
36,42,1780254190.394712,1,1
36,42,1780254190.394712,2,1
36,42,1780254190.394712,3,1
36,42,1780254190.394712,4,1
36,42,1780254190.394712,5,1
37,43,1780254191.394856,1,1
37,43,1780254191.394856,2,1
37,43,1780254191.394856,3,1
37,43,1780254191.394856,4,1
37,43,1780254191.394856,5,1
38,44,1780254192.397089,1,1
38,44,1780254192.397089,2,1
38,44,1780254192.397089,3,1
38,44,1780254192.397089,4,1
38,44,1780254192.397089,5,1
39,45,1780254193.398221,1,1
39,45,1780254193.398221,2,1
39,45,1780254193.398221,3,1
39,45,1780254193.398221,4,1
39,45,1780254193.398221,5,1
40,46,1780254194.403898,1,1
40,46,1780254194.403898,2,1
40,46,1780254194.403898,3,1
40,46,1780254194.403898,4,1
40,46,1780254194.403898,5,1
41,47,1780254195.403921,1,1
41,47,1780254195.403921,2,1
41,47,1780254195.403921,3,1
41,47,1780254195.403921,4,1
41,47,1780254195.403921,5,1
42,48,1780254196.407882,1,1
42,48,1780254196.407882,2,1
42,48,1780254196.407882,3,1
42,48,1780254196.407882,4,1
42,48,1780254196.407882,5,1
43,49,1780254197.408626,1,1
43,49,1780254197.408626,2,1
43,49,1780254197.408626,3,1
43,49,1780254197.408626,4,1
43,49,1780254197.408626,5,1
44,50,1780254198.408829,1,1
44,50,1780254198.408829,2,1
44,50,1780254198.408829,3,1
44,50,1780254198.408829,4,1
44,50,1780254198.408829,5,1
45,51,1780254199.409517,1,1
45,51,1780254199.409517,2,1
45,51,1780254199.409517,3,1
45,51,1780254199.409517,4,1
45,51,1780254199.409517,5,1
46,52,1780254200.411489,1,1
46,52,1780254200.411489,2,1
46,52,1780254200.411489,3,1
46,52,1780254200.411489,4,1
46,52,1780254200.411489,5,1
47,53,1780254201.414170,1,1
47,53,1780254201.414170,2,1
47,53,1780254201.414170,3,1
47,53,1780254201.414170,4,1
47,53,1780254201.414170,5,1
48,54,1780254202.414884,1,1
48,54,1780254202.414884,2,1
48,54,1780254202.414884,3,1
48,54,1780254202.414884,4,1
48,54,1780254202.414884,5,1
49,55,1780254203.415633,1,1
49,55,1780254203.415633,2,1
49,55,1780254203.415633,3,1
49,55,1780254203.415633,4,1
49,55,1780254203.415633,5,1
50,56,1780254204.416023,1,1
50,56,1780254204.416023,2,1
50,56,1780254204.416023,3,1
50,56,1780254204.416023,4,1
50,56,1780254204.416023,5,1
51,57,1780254205.416677,1,1
51,57,1780254205.416677,2,1
51,57,1780254205.416677,3,1
