cmd_id,origin_cycle,ts_sent,bus,breaker_DT
1,7,1780254153.051336,1,1
1,7,1780254153.051336,2,1
1,7,1780254153.051336,3,1
1,7,1780254153.051336,4,1
1,7,1780254153.051336,5,1
2,8,1780254154.123127,1,1
2,8,1780254154.123127,2,1
2,8,1780254154.123127,3,1
2,8,1780254154.123127,4,1
2,8,1780254154.123127,5,1
3,9,1780254155.073532,1,1
3,9,1780254155.073532,2,1
3,9,1780254155.073532,3,1
3,9,1780254155.073532,4,1
3,9,1780254155.073532,5,1
4,10,1780254156.076302,1,1
4,10,1780254156.076302,2,1
4,10,1780254156.076302,3,1
4,10,1780254156.076302,4,1
4,10,1780254156.076302,5,1
5,11,1780254157.067549,1,1
5,11,1780254157.067549,2,1
5,11,1780254157.067549,3,1
5,11,1780254157.067549,4,1
5,11,1780254157.067549,5,1
6,12,1780254158.069941,1,1
6,12,1780254158.069941,2,1
6,12,1780254158.069941,3,1
6,12,1780254158.069941,4,1
6,12,1780254158.069941,5,1
7,13,1780254159.074190,1,1
7,13,1780254159.074190,2,1
7,13,1780254159.074190,3,1
7,13,1780254159.074190,4,1
7,13,1780254159.074190,5,1
8,14,1780254160.072459,1,1
8,14,1780254160.072459,2,1
8,14,1780254160.072459,3,1
8,14,1780254160.072459,4,1
8,14,1780254160.072459,5,1
9,15,1780254161.073847,1,1
9,15,1780254161.073847,2,1
9,15,1780254161.073847,3,1
9,15,1780254161.073847,4,1
9,15,1780254161.073847,5,1
10,16,1780254162.080564,1,1
10,16,1780254162.080564,2,1
10,16,1780254162.080564,3,1
10,16,1780254162.080564,4,1
10,16,1780254162.080564,5,1
11,17,1780254163.078013,1,1
11,17,1780254163.078013,2,1
11,17,1780254163.078013,3,1
11,17,1780254163.078013,4,1
11,17,1780254163.078013,5,1
12,18,1780254164.073126,1,1
12,18,1780254164.073126,2,1
12,18,1780254164.073126,3,1
12,18,1780254164.073126,4,1
12,18,1780254164.073126,5,1
13,19,1780254165.078827,1,1
13,19,1780254165.078827,2,1
13,19,1780254165.078827,3,1
13,19,1780254165.078827,4,1
13,19,1780254165.078827,5,1
14,20,1780254166.089985,1,1
14,20,1780254166.089985,2,1
14,20,1780254166.089985,3,1
14,20,1780254166.089985,4,1
14,20,1780254166.089985,5,1
15,21,1780254167.091043,1,1
15,21,1780254167.091043,2,1
15,21,1780254167.091043,3,1
15,21,1780254167.091043,4,1
15,21,1780254167.091043,5,1
16,22,1780254168.089422,1,1
16,22,1780254168.089422,2,1
16,22,1780254168.089422,3,1
16,22,1780254168.089422,4,1
16,22,1780254168.089422,5,1
17,23,1780254169.074368,1,1
17,23,1780254169.074368,2,1
17,23,1780254169.074368,3,1
17,23,1780254169.074368,4,1
17,23,1780254169.074368,5,1
18,24,1780254170.086816,1,1
18,24,1780254170.086816,2,1
18,24,1780254170.086816,3,1
18,24,1780254170.086816,4,1
18,24,1780254170.086816,5,1
19,25,1780254171.108052,1,1
19,25,1780254171.108052,2,1
19,25,1780254171.108052,3,1
19,25,1780254171.108052,4,1
19,25,1780254171.108052,5,1
20,26,1780254172.125708,1,1
20,26,1780254172.125708,2,1
20,26,1780254172.125708,3,1
20,26,1780254172.125708,4,1
20,26,1780254172.125708,5,1
21,27,1780254173.103991,1,1
21,27,1780254173.103991,2,1
21,27,1780254173.103991,3,1
21,27,1780254173.103991,4,1
21,27,1780254173.103991,5,1
22,28,1780254174.093296,1,1
22,28,1780254174.093296,2,1
22,28,1780254174.093296,3,1
22,28,1780254174.093296,4,1
22,28,1780254174.093296,5,1
23,29,1780254175.115740,1,1
23,29,1780254175.115740,2,1
23,29,1780254175.115740,3,1
23,29,1780254175.115740,4,1
23,29,1780254175.115740,5,1
24,30,1780254176.095799,1,1
24,30,1780254176.095799,2,1
24,30,1780254176.095799,3,1
24,30,1780254176.095799,4,1
24,30,1780254176.095799,5,1
25,31,1780254177.109963,1,1
25,31,1780254177.109963,2,1
25,31,1780254177.109963,3,1
25,31,1780254177.109963,4,1
25,31,1780254177.109963,5,1
26,32,1780254178.104992,1,1
26,32,1780254178.104992,2,1
26,32,1780254178.104992,3,1
26,32,1780254178.104992,4,1
26,32,1780254178.104992,5,1
27,33,1780254179.112406,1,1
27,33,1780254179.112406,2,1
27,33,1780254179.112406,3,1
27,33,1780254179.112406,4,1
27,33,1780254179.112406,5,1
28,34,1780254180.123945,1,1
28,34,1780254180.123945,2,1
28,34,1780254180.123945,3,1
28,34,1780254180.123945,4,1
28,34,1780254180.123945,5,1
29,35,1780254181.131846,1,1
29,35,1780254181.131846,2,1
29,35,1780254181.131846,3,1
29,35,1780254181.131846,4,1
29,35,1780254181.131846,5,1
30,36,1780254182.102808,1,1
30,36,1780254182.102808,2,1
30,36,1780254182.102808,3,1
30,36,1780254182.102808,4,1
30,36,1780254182.102808,5,1
31,37,1780254183.104987,1,1
31,37,1780254183.104987,2,1
31,37,1780254183.104987,3,1
31,37,1780254183.104987,4,1
31,37,1780254183.104987,5,1
32,38,1780254184.107339,1,1
32,38,1780254184.107339,2,1
32,38,1780254184.107339,3,1
32,38,1780254184.107339,4,1
32,38,1780254184.107339,5,1
33,39,1780254185.112488,1,1
33,39,1780254185.112488,2,1
33,39,1780254185.112488,3,1
33,39,1780254185.112488,4,1
33,39,1780254185.112488,5,1
34,40,1780254186.109285,1,1
34,40,1780254186.109285,2,1
34,40,1780254186.109285,3,1
34,40,1780254186.109285,4,1
34,40,1780254186.109285,5,1
35,41,1780254187.110657,1,1
35,41,1780254187.110657,2,1
35,41,1780254187.110657,3,1
35,41,1780254187.110657,4,1
35,41,1780254187.110657,5,1
36,42,1780254188.112406,1,1
36,42,1780254188.112406,2,1
36,42,1780254188.112406,3,1
36,42,1780254188.112406,4,1
36,42,1780254188.112406,5,1
37,43,1780254189.112046,1,1
37,43,1780254189.112046,2,1
37,43,1780254189.112046,3,1
37,43,1780254189.112046,4,1
37,43,1780254189.112046,5,1
38,44,1780254190.115598,1,1
38,44,1780254190.115598,2,1
38,44,1780254190.115598,3,1
38,44,1780254190.115598,4,1
38,44,1780254190.115598,5,1
39,45,1780254191.113634,1,1
39,45,1780254191.113634,2,1
39,45,1780254191.113634,3,1
39,45,1780254191.113634,4,1
39,45,1780254191.113634,5,1
40,46,1780254192.114976,1,1
40,46,1780254192.114976,2,1
40,46,1780254192.114976,3,1
40,46,1780254192.114976,4,1
40,46,1780254192.114976,5,1
41,47,1780254193.117934,1,1
41,47,1780254193.117934,2,1
