cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
0,1780254238.405991,1780254238.406090,1,0.000000,0.000000,0.000000,0.000000,0
0,1780254238.407573,1780254238.407669,2,0.000000,0.000000,0.000000,0.000000,0
0,1780254238.407843,1780254238.408746,3,0.000000,0.000000,0.000000,0.000000,0
0,1780254238.409372,1780254238.409466,4,0.000000,0.000000,0.000000,0.000000,0
0,1780254238.410173,1780254238.410650,5,0.000000,0.000000,0.000000,0.000000,0
0,1780254239.406415,1780254239.406517,1,0.000000,0.000000,0.000000,0.000000,0
0,1780254239.406831,1780254239.406917,2,0.000000,0.000000,0.000000,0.000000,0
0,1780254239.407084,1780254239.407163,3,0.000000,0.000000,0.000000,0.000000,0
0,1780254239.407317,1780254239.407398,4,0.000000,0.000000,0.000000,0.000000,0
0,1780254239.407570,1780254239.407669,5,0.000000,0.000000,0.000000,0.000000,0
4,1780254240.406995,1780254240.407088,1,1.019000,738.433333,138.618230,36.580019,1
4,1780254240.407396,1780254240.407484,2,1.010000,287.466667,50.665256,22.204786,1
4,1780254240.407653,1780254240.407734,3,1.006000,444.800000,79.201204,31.550872,1
4,1780254240.407925,1780254240.408011,4,1.013000,466.633333,80.352748,40.675361,1
4,1780254240.408188,1780254240.408271,5,1.010000,467.133333,87.517743,20.518569,1
5,1780254241.407431,1780254241.407527,1,1.021000,887.300000,168.581814,37.042294,1
5,1780254241.407829,1780254241.407918,2,1.005000,430.066667,74.154733,35.809696,1
5,1780254241.408090,1780254241.408171,3,1.009000,465.500000,84.369162,29.831578,1
5,1780254241.408332,1780254241.408432,4,1.004000,515.200000,79.117079,58.761126,1
5,1780254241.408601,1780254241.408680,5,1.004000,481.200000,88.015950,26.943644,1
6,1780254242.608371,1780254242.608465,1,1.020000,828.300000,156.284406,38.549605,1
6,1780254242.609354,1780254242.609447,2,1.011000,440.333333,78.617443,31.832761,1
6,1780254242.610712,1780254242.611279,3,1.009000,368.200000,62.904750,32.453186,1
6,1780254242.611995,1780254242.612091,4,1.008000,494.533333,80.253896,50.789443,1
6,1780254242.612728,1780254242.612823,5,1.008000,501.900000,93.893296,21.795433,1
7,1780254243.608917,1780254243.609159,1,1.018000,837.633333,159.896296,28.765790,1
7,1780254243.612157,1780254243.612254,2,1.009000,401.933333,74.053452,22.054432,1
7,1780254243.612448,1780254243.612537,3,1.010000,409.333333,76.216264,19.888073,1
7,1780254243.613537,1780254243.613632,4,1.008000,458.400000,79.584205,37.638087,1
7,1780254243.613819,1780254243.613903,5,1.005000,477.800000,88.935769,21.460117,1
8,1780254244.610516,1780254244.610607,1,1.017000,911.300000,173.946604,30.368264,1
8,1780254244.611494,1780254244.611594,2,1.011000,407.533333,74.535398,24.630596,1
8,1780254244.613136,1780254244.613257,3,1.008000,481.400000,86.165982,33.510272,1
8,1780254244.614123,1780254244.614217,4,1.003000,523.266667,79.365854,60.827761,1
8,1780254244.614555,1780254244.614648,5,1.006000,503.000000,91.762445,29.570622,1
9,1780254245.612001,1780254245.612092,1,1.021000,682.166667,126.290190,40.742685,1
9,1780254245.612628,1780254245.612726,2,1.006000,320.866667,56.776902,23.635714,1
9,1780254245.612915,1780254245.612998,3,1.011000,361.566667,62.750566,30.213533,1
9,1780254245.613694,1780254245.613791,4,1.014000,465.400000,80.408299,40.232732,1
9,1780254245.613960,1780254245.614075,5,1.007000,464.466667,85.645769,24.612856,1
10,1780254246.613472,1780254246.613561,1,1.021000,791.733333,149.038587,38.827434,1
10,1780254246.613856,1780254246.613940,2,1.008000,384.300000,68.579360,27.276553,1
10,1780254246.614103,1780254246.614185,3,1.006000,410.866667,70.788642,34.504745,1
10,1780254246.614351,1780254246.614428,4,1.013000,462.400000,79.713026,40.129566,1
10,1780254246.614580,1780254246.614657,5,1.003000,462.833333,87.340561,13.940792,1
11,1780254247.614313,1780254247.614455,1,1.024000,754.700000,143.029532,34.962140,1
11,1780254247.615885,1780254247.615995,2,1.005000,376.200000,68.338756,22.775575,1
11,1780254247.616594,1780254247.616713,3,1.010000,357.033333,64.966716,22.351655,1
11,1780254247.616916,1780254247.617019,4,1.006000,459.366667,79.928369,36.926883,1
11,1780254247.617316,1780254247.617408,5,1.010000,468.066667,86.936012,23.554582,1
12,1780254248.614421,1780254248.614531,1,1.020000,895.933333,171.483096,30.143034,1
12,1780254248.615554,1780254248.615659,2,1.014000,436.133333,80.146099,25.999881,1
12,1780254248.616104,1780254248.616213,3,1.010000,424.700000,76.952618,27.519672,1
12,1780254248.617022,1780254248.617144,4,1.005000,479.766667,79.922433,45.294130,1
12,1780254248.618222,1780254248.618356,5,1.009000,497.066667,93.740686,18.538652,1
13,1780254249.614791,1780254249.614900,1,1.014000,722.566667,133.522411,40.724311,1
13,1780254249.617051,1780254249.617232,2,1.013000,324.500000,56.529193,26.960670,1
13,1780254249.618165,1780254249.618286,3,1.008000,401.200000,69.661246,32.925240,1
13,1780254249.618464,1780254249.618549,4,1.006000,456.766667,80.106322,35.321533,1
13,1780254249.618742,1780254249.618827,5,1.009000,459.200000,87.190950,13.803027,1
14,1780254250.615089,1780254250.615190,1,1.020000,902.366667,171.855171,34.896681,1
14,1780254250.615680,1780254250.615786,2,1.010000,430.333333,76.615263,31.424502,1
14,1780254250.616002,1780254250.616094,3,1.006000,452.300000,79.374987,34.857924,1
14,1780254250.616280,1780254250.616400,4,1.013000,518.400000,80.242069,59.763736,1
14,1780254250.617297,1780254250.617414,5,1.004000,508.200000,94.140493,24.244984,1
15,1780254251.617735,1780254251.617835,1,1.024000,778.966667,147.309364,37.367778,1
15,1780254251.619012,1780254251.619136,2,1.006000,327.000000,57.642822,24.607840,1
15,1780254251.619930,1780254251.620057,3,1.008000,442.033333,76.708782,36.365975,1
15,1780254251.620279,1780254251.620398,4,1.014000,468.666667,80.049150,42.310585,1
15,1780254251.620583,1780254251.620672,5,1.010000,478.133333,90.710294,15.396144,1
16,1780254252.618331,1780254252.618436,1,1.017000,841.066667,158.910957,36.140895,1
16,1780254252.619705,1780254252.619920,2,1.013000,352.266667,62.379283,27.041387,1
16,1780254252.620367,1780254252.620481,3,1.009000,505.800000,90.030029,36.732397,1
16,1780254252.621624,1780254252.621769,4,1.010000,515.700000,80.133544,58.536444,1
16,1780254252.622043,1780254252.622180,5,1.006000,470.866667,85.909377,27.653529,1
17,1780254253.618484,1780254253.618636,1,1.021000,761.300000,144.005750,34.553092,1
17,1780254253.619530,1780254253.619676,2,1.013000,292.033333,53.556256,17.565052,1
17,1780254253.621216,1780254253.621313,3,1.015000,475.200000,84.360368,36.444082,1
17,1780254253.621746,1780254253.621840,4,1.008000,476.833333,79.744157,45.022063,1
17,1780254253.622006,1780254253.622119,5,1.006000,463.733333,85.798938,23.211263,1
18,1780254254.619379,1780254254.619501,1,1.018000,918.833333,175.467894,31.155497,1
18,1780254254.620904,1780254254.621014,2,1.015000,436.666667,79.571691,28.269326,1
18,1780254254.622446,1780254254.622583,3,1.004000,484.833333,88.801086,26.750065,1
18,1780254254.622778,1780254254.622864,4,1.011000,479.066667,80.134630,45.757606,1
18,1780254254.623096,1780254254.623181,5,1.005000,454.033333,85.094418,17.806395,1
19,1780254255.620386,1780254255.620480,1,1.020000,771.300000,145.574561,35.713993,1
19,1780254255.621402,1780254255.621516,2,1.018000,388.500000,71.056499,25.076443,1
19,1780254255.621724,1780254255.621814,3,1.007000,377.033333,67.830723,25.133318,1
19,1780254255.621976,1780254255.622056,4,1.009000,463.933333,79.902357,39.621703,1
19,1780254255.622385,1780254255.622477,5,0.998000,463.200000,85.203706,22.305273,1
20,1780254256.621048,1780254256.621148,1,1.023000,842.533333,161.440961,30.062957,1
20,1780254256.622942,1780254256.623061,2,1.010000,339.766667,63.832043,14.149988,1
20,1780254256.623479,1780254256.623589,3,1.011000,499.066667,86.873499,41.160006,1
20,1780254256.623764,1780254256.623845,4,1.004000,505.966667,79.441288,55.285222,1
20,1780254256.624004,1780254256.624084,5,1.005000,491.166667,90.013070,27.251061,1
21,1780254257.624368,1780254257.624464,1,1.023000,827.000000,158.448442,29.595131,1
21,1780254257.625170,1780254257.625267,2,1.014000,412.166667,77.207011,19.484530,1
21,1780254257.625437,1780254257.625531,3,1.011000,380.266667,68.669519,25.489047,1
21,1780254257.626337,1780254257.626430,4,1.010000,482.866667,80.290824,46.767725,1
21,1780254257.626613,1780254257.626699,5,1.006000,496.966667,91.071370,27.912989,1
22,1780254258.624946,1780254258.625039,1,1.022000,855.900000,162.991925,34.765759,1
22,1780254258.625818,1780254258.626265,2,1.009000,403.733333,73.205360,25.785289,1
22,1780254258.626489,1780254258.626590,3,1.011000,467.200000,83.486232,33.596665,1
22,1780254258.626820,1780254258.626913,4,1.018000,493.400000,80.357125,51.968538,1
22,1780254258.627762,1780254258.627886,5,1.009000,459.666667,85.096907,23.814886,1
23,1780254259.626283,1780254259.626375,1,1.020000,766.700000,146.419832,27.595007,1
23,1780254259.627148,1780254259.627246,2,1.011000,270.333333,50.733727,11.729438,1
23,1780254259.627445,1780254259.627530,3,1.004000,468.033333,85.482304,26.612409,1
23,1780254259.627692,1780254259.627774,4,1.011000,468.433333,79.826720,42.061817,1
23,1780254259.628181,1780254259.628294,5,1.003000,479.933333,87.339147,27.987727,1
24,1780254260.627337,1780254260.627442,1,1.023000,769.400000,146.362880,32.657296,1
24,1780254260.628471,1780254260.628594,2,1.015000,404.733333,76.374634,17.114630,1
24,1780254260.629041,1780254260.629157,3,1.009000,350.500000,62.239120,25.814484,1
24,1780254260.629362,1780254260.629459,4,1.012000,447.233333,80.583717,30.695379,1
24,1780254260.629626,1780254260.629735,5,1.004000,457.700000,85.836350,17.249338,1
25,1780254261.628161,1780254261.628256,1,1.022000,827.666667,156.438882,38.726098,1
25,1780254261.628561,1780254261.628649,2,1.004000,418.700000,72.907890,33.154081,1
25,1780254261.628907,1780254261.629006,3,1.008000,414.833333,74.052016,29.383562,1
25,1780254261.629180,1780254261.629263,4,1.011000,471.700000,80.183509,42.732349,1
25,1780254261.629469,1780254261.629560,5,1.011000,462.100000,87.666279,15.409843,1
26,1780254262.628698,1780254262.628789,1,1.023000,781.633333,147.928294,36.422884,1
26,1780254262.629188,1780254262.629294,2,1.015000,354.800000,62.910761,27.384399,1
26,1780254262.630015,1780254262.630115,3,1.006000,420.533333,76.226347,26.199293,1
26,1780254262.630300,1780254262.630385,4,1.010000,476.400000,80.031450,44.711289,1
26,1780254262.630562,1780254262.630641,5,1.011000,470.800000,87.285411,24.601489,1
27,1780254263.629952,1780254263.630088,1,1.013000,844.366667,159.346992,34.147704,1
27,1780254263.630434,1780254263.630536,2,1.004000,437.000000,79.580270,25.587567,1
27,1780254263.630729,1780254263.630831,3,1.009000,409.800000,72.997625,29.625128,1
27,1780254263.630992,1780254263.631096,4,1.009000,490.666667,80.120434,49.780465,1
27,1780254263.631264,1780254263.631342,5,1.007000,470.533333,86.574857,25.584818,1
28,1780254264.630094,1780254264.630183,1,1.019000,717.200000,133.922192,38.117712,1
28,1780254264.630949,1780254264.631058,2,1.015000,332.100000,60.825273,20.611528,1
28,1780254264.631270,1780254264.631519,3,1.006000,388.033333,66.921600,32.449509,1
28,1780254264.631737,1780254264.631824,4,1.004000,455.733333,79.243145,36.334692,1
28,1780254264.632003,1780254264.632086,5,1.001000,459.533333,85.466930,19.397055,1
29,1780254265.631346,1780254265.631469,1,1.016000,797.266667,150.718772,33.190818,1
29,1780254265.631768,1780254265.631853,2,1.010000,303.633333,56.815794,13.632521,1
29,1780254265.632525,1780254265.632621,3,1.006000,504.066667,85.638494,44.724483,1
29,1780254265.632788,1780254265.632888,4,1.015000,483.233333,80.403812,47.623588,1
29,1780254265.633056,1780254265.633151,5,1.008000,467.666667,87.731572,19.234266,1
30,1780254266.631918,1780254266.632010,1,1.019000,818.466667,155.056261,34.746228,1
30,1780254266.632478,1780254266.632570,2,1.008000,323.500000,56.573855,25.676852,1
30,1780254266.632987,1780254266.633102,3,1.004000,491.166667,87.508884,34.199053,1
30,1780254266.633658,1780254266.633766,4,1.013000,480.800000,80.435195,46.273061,1
30,1780254266.634091,1780254266.634185,5,1.007000,477.600000,89.927631,17.590965,1
31,1780254267.632552,1780254267.632647,1,1.020000,784.600000,147.230927,39.648666,1
31,1780254267.633812,1780254267.633927,2,1.005000,420.366667,73.665418,32.437893,1
31,1780254267.634191,1780254267.634287,3,1.011000,355.333333,62.887076,27.016761,1
31,1780254267.635053,1780254267.635149,4,1.007000,477.700000,79.571548,45.478634,1
31,1780254267.635344,1780254267.635429,5,1.002000,479.933333,88.754677,22.743845,1
32,1780254268.633500,1780254268.633593,1,1.016000,902.766667,171.431862,33.903269,1
32,1780254268.634472,1780254268.634600,2,1.002000,392.100000,71.403701,22.465677,1
32,1780254268.634811,1780254268.634907,3,1.006000,521.566667,88.861579,45.795482,1
32,1780254268.635713,1780254268.635812,4,1.012000,529.833333,80.092005,63.415789,1
32,1780254268.635988,1780254268.636073,5,1.000000,480.266667,88.172377,24.463183,1
33,1780254269.634461,1780254269.634554,1,1.020000,806.733333,151.901633,38.794978,1
33,1780254269.634843,1780254269.634950,2,1.012000,429.533333,76.185324,32.477774,1
33,1780254269.635273,1780254269.635387,3,1.010000,371.933333,65.874358,27.982865,1
33,1780254269.636196,1780254269.636291,4,1.014000,491.533333,80.479255,50.404741,1
33,1780254269.636484,1780254269.636568,5,1.008000,480.733333,88.733305,25.500151,1
34,1780254270.635119,1780254270.635209,1,1.022000,749.066667,143.070276,28.370869,1
34,1780254270.635524,1780254270.635611,2,1.011000,305.600000,57.328712,13.361052,1
34,1780254270.636580,1780254270.636677,3,1.015000,395.233333,73.183252,22.045415,1
34,1780254270.636875,1780254270.636962,4,1.011000,466.466667,80.704571,39.497532,1
34,1780254270.637460,1780254270.637553,5,1.004000,496.666667,90.445921,29.081216,1
35,1780254271.636805,1780254271.636894,1,1.025000,955.833333,185.151502,23.710222,1
35,1780254271.638213,1780254271.638314,2,1.011000,431.033333,80.278063,21.184609,1
35,1780254271.638522,1780254271.638610,3,1.006000,480.900000,88.799948,24.708763,1
35,1780254271.638777,1780254271.638860,4,1.010000,505.800000,80.191440,55.161199,1
35,1780254271.639711,1780254271.639812,5,1.006000,509.233333,93.377854,28.410193,1
36,1780254272.638895,1780254272.638990,1,1.016000,781.733333,145.921007,40.072244,1
36,1780254272.639308,1780254272.639398,2,1.012000,365.933333,64.707183,28.127779,1
36,1780254272.640145,1780254272.640239,3,1.005000,422.200000,71.569514,37.593222,1
