cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
4,1780260113.600238,1780260113.601070,1,1.019232,738.433814,0.966900,1
4,1780260113.647726,1780260113.648236,2,1.010322,287.494064,0.915900,1
4,1780260113.695682,1780260113.697592,3,1.006210,444.813380,0.929000,1
4,1780260113.743535,1780260113.744895,4,1.013336,466.636220,0.892200,1
4,1780260113.790000,1780260113.790686,5,1.010111,467.140021,0.973600,1
5,1780260114.458120,1780260114.459264,1,1.021184,887.311323,0.976700,1
5,1780260114.490623,1780260114.491508,2,1.005002,430.082876,0.900500,1
5,1780260114.529152,1780260114.531566,3,1.009519,465.514894,0.942800,1
5,1780260114.578614,1780260114.579102,4,1.004926,515.217501,0.802800,1
5,1780260114.624855,1780260114.625350,5,1.004331,481.231049,0.956200,1
6,1780260115.432193,1780260115.433725,1,1.020916,828.331132,0.970900,1
6,1780260115.466604,1780260115.467324,2,1.011563,440.336648,0.926900,1
6,1780260115.502741,1780260115.503294,3,1.009926,368.224565,0.888700,1
6,1780260115.545859,1780260115.546357,4,1.008017,494.542962,0.845000,1
6,1780260115.752263,1780260115.752662,5,1.008670,501.928841,0.974100,1
7,1780260117.107711,1780260117.111064,1,1.018139,837.657393,0.984200,1
7,1780260117.157512,1780260117.158938,2,1.009968,401.940368,0.958400,1
7,1780260117.254540,1780260117.255020,3,1.010896,409.339308,0.967600,1
7,1780260117.306492,1780260117.310600,4,1.008658,458.431298,0.904000,1
7,1780260117.340719,1780260117.350062,5,1.005438,477.831382,0.972100,1
8,1780260117.628876,1780260117.629475,1,1.017576,911.300471,0.985100,1
8,1780260117.656438,1780260117.656934,2,1.011280,407.565385,0.949500,1
8,1780260117.691162,1780260117.691675,3,1.008145,481.426032,0.932000,1
8,1780260117.734530,1780260117.735052,4,1.003957,523.284276,0.793700,1
8,1780260117.777524,1780260117.778185,5,1.006682,503.007443,0.951800,1
9,1780260118.654825,1780260118.655776,1,1.021492,682.173247,0.951700,1
9,1780260118.728059,1780260118.728966,2,1.006606,320.875102,0.923200,1
9,1780260118.792068,1780260118.794321,3,1.011008,361.585429,0.901000,1
9,1780260118.852909,1780260118.854906,4,1.014322,465.410032,0.894300,1
9,1780260118.922524,1780260118.924768,5,1.007358,464.484581,0.961100,1
10,1780260119.655662,1780260119.656707,1,1.021846,791.749028,0.967700,1
10,1780260119.740392,1780260119.741404,2,1.008642,384.302818,0.929200,1
10,1780260119.808526,1780260119.809169,3,1.006097,410.869985,0.898900,1
10,1780260119.876526,1780260119.879795,4,1.013867,462.418979,0.893200,1
10,1780260119.944601,1780260119.945114,5,1.003627,462.859027,0.987500,1
11,1780260120.662586,1780260120.663033,1,1.024330,754.701079,0.971400,1
11,1780260120.766369,1780260120.767056,2,1.005300,376.222648,0.948700,1
11,1780260120.872055,1780260120.872742,3,1.010072,357.062274,0.945600,1
11,1780260120.979784,1780260120.981042,4,1.006641,459.399390,0.907800,1
11,1780260121.037129,1780260121.038569,5,1.010305,468.069211,0.965200,1
12,1780260121.825212,1780260121.825796,1,1.020737,895.951544,0.984900,1
12,1780260121.983168,1780260121.985046,2,1.014782,436.161876,0.951200,1
12,1780260122.118471,1780260122.119239,3,1.010556,424.721606,0.941600,1
4,1780260209.862716,1780260209.865668,1,1.019232,738.433814,0.966900,1
4,1780260211.162760,1780260211.163446,2,1.009322,428.327397,0.900500,1
4,1780260212.949344,1780260212.952069,3,1.006210,408.646714,0.967600,1
4,1780260213.787807,1780260213.788318,4,1.013336,524.402887,0.793700,1
4,1780260214.520584,1780260214.521091,5,1.010111,504.606687,0.951800,1
9,1780260215.471217,1780260215.471802,1,1.021184,682.544657,0.951700,1
9,1780260215.730587,1780260215.731189,2,1.005002,387.482876,0.929200,1
9,1780260215.937369,1780260215.938758,3,1.010519,412.414894,0.898900,1
9,1780260216.132857,1780260216.133254,4,1.004926,462.850834,0.893200,1
9,1780260216.298956,1780260216.300401,5,1.005331,461.797716,0.987500,1
11,1780260216.729390,1780260216.734088,1,1.020916,753.764466,0.971400,1
11,1780260216.885211,1780260216.886988,2,1.012563,379.036648,0.948700,0
4,1780260305.931756,1780260305.932994,1,1.019232,887.800481,0.976700,1
4,1780260308.296327,1780260308.296864,2,1.010322,401.627397,0.958400,1
4,1780260309.076543,1780260309.077120,3,1.005210,479.146714,0.932000,1
4,1780260309.876343,1780260309.876775,4,1.013336,524.402887,0.793700,1
4,1780260310.640397,1780260310.641482,5,1.010111,466.806687,0.961100,1
