cmd_id,origin_cycle,ts_sent,bus,breaker_DT
8,12,1780260122.857780,1,1
8,12,1780260122.857780,2,1
8,12,1780260122.857780,3,1
8,12,1780260122.857780,4,1
8,12,1780260122.857780,5,1
9,13,1780260124.040694,1,1
9,13,1780260124.040694,2,1
9,13,1780260124.040694,3,1
9,13,1780260124.040694,4,1
9,13,1780260124.040694,5,1
10,14,1780260124.671816,1,1
10,14,1780260124.671816,2,1
10,14,1780260124.671816,3,1
10,14,1780260124.671816,4,1
10,14,1780260124.671816,5,1
11,15,1780260125.513631,1,1
11,15,1780260125.513631,2,1
11,15,1780260125.513631,3,1
11,15,1780260125.513631,4,1
11,15,1780260125.513631,5,1
12,16,1780260126.716083,1,1
12,16,1780260126.716083,2,1
12,16,1780260126.716083,3,1
12,16,1780260126.716083,4,1
12,16,1780260126.716083,5,1
13,17,1780260127.315334,1,1
13,17,1780260127.315334,2,1
13,17,1780260127.315334,3,1
13,17,1780260127.315334,4,1
13,17,1780260127.315334,5,1
14,18,1780260128.363069,1,1
14,18,1780260128.363069,2,1
14,18,1780260128.363069,3,1
14,18,1780260128.363069,4,1
14,18,1780260128.363069,5,1
15,19,1780260129.291217,1,1
15,19,1780260129.291217,2,1
15,19,1780260129.291217,3,1
15,19,1780260129.291217,4,1
15,19,1780260129.291217,5,1
16,20,1780260130.316656,1,1
16,20,1780260130.316656,2,1
16,20,1780260130.316656,3,1
16,20,1780260130.316656,4,1
16,20,1780260130.316656,5,1
17,21,1780260131.473281,1,1
17,21,1780260131.473281,2,1
17,21,1780260131.473281,3,1
17,21,1780260131.473281,4,1
17,21,1780260131.473281,5,1
18,22,1780260132.367404,1,1
18,22,1780260132.367404,2,1
18,22,1780260132.367404,3,1
18,22,1780260132.367404,4,1
18,22,1780260132.367404,5,1
19,23,1780260137.900881,1,1
19,23,1780260137.900881,2,1
19,23,1780260137.900881,3,1
19,23,1780260137.900881,4,1
19,23,1780260137.900881,5,1
20,25,1780260139.871234,1,1
20,25,1780260139.871234,2,1
20,25,1780260139.871234,3,1
20,25,1780260139.871234,4,1
20,25,1780260139.871234,5,1
21,27,1780260141.617618,1,1
21,27,1780260141.617618,2,1
21,27,1780260141.617618,3,1
21,27,1780260141.617618,4,1
21,27,1780260141.617618,5,1
22,28,1780260142.921948,1,1
22,28,1780260142.921948,2,1
22,28,1780260142.921948,3,1
22,28,1780260142.921948,4,1
22,28,1780260142.921948,5,1
23,31,1780260144.083912,1,1
23,31,1780260144.083912,2,1
23,31,1780260144.083912,3,1
23,31,1780260144.083912,4,1
23,31,1780260144.083912,5,1
24,32,1780260145.417359,1,1
24,32,1780260145.417359,2,1
24,32,1780260145.417359,3,1
24,32,1780260145.417359,4,1
24,32,1780260145.417359,5,1
25,34,1780260147.008781,1,1
25,34,1780260147.008781,2,1
25,34,1780260147.008781,3,1
25,34,1780260147.008781,4,1
25,34,1780260147.008781,5,1
26,35,1780260148.348919,1,1
26,35,1780260148.348919,2,1
26,35,1780260148.348919,3,1
26,35,1780260148.348919,4,1
26,35,1780260148.348919,5,1
27,37,1780260149.503263,1,1
27,37,1780260149.503263,2,1
27,37,1780260149.503263,3,1
27,37,1780260149.503263,4,1
27,37,1780260149.503263,5,1
28,38,1780260150.509007,1,1
28,38,1780260150.509007,2,1
28,38,1780260150.509007,3,1
28,38,1780260150.509007,4,1
28,38,1780260150.509007,5,1
29,39,1780260151.559807,1,1
29,39,1780260151.559807,2,1
29,39,1780260151.559807,3,1
29,39,1780260151.559807,4,1
29,39,1780260151.559807,5,1
30,40,1780260152.568579,1,1
30,40,1780260152.568579,2,1
30,40,1780260152.568579,3,1
30,40,1780260152.568579,4,1
30,40,1780260152.568579,5,1
31,41,1780260153.295841,1,1
31,41,1780260153.295841,2,1
31,41,1780260153.295841,3,1
31,41,1780260153.295841,4,1
31,41,1780260153.295841,5,1
32,42,1780260154.087342,1,1
32,42,1780260154.087342,2,1
32,42,1780260154.087342,3,1
32,42,1780260154.087342,4,1
32,42,1780260154.087342,5,1
33,43,1780260154.790905,1,1
33,43,1780260154.790905,2,1
33,43,1780260154.790905,3,1
33,43,1780260154.790905,4,1
33,43,1780260154.790905,5,1
34,44,1780260155.400409,1,1
34,44,1780260155.400409,2,1
34,44,1780260155.400409,3,1
34,44,1780260155.400409,4,1
34,44,1780260155.400409,5,1
35,45,1780260155.517359,1,1
35,45,1780260155.517359,2,1
35,45,1780260155.517359,3,1
35,45,1780260155.517359,4,1
35,45,1780260155.517359,5,1
36,46,1780260156.528395,1,1
36,46,1780260156.528395,2,1
36,46,1780260156.528395,3,1
36,46,1780260156.528395,4,1
36,46,1780260156.528395,5,1
37,47,1780260157.596213,1,1
37,47,1780260157.596213,2,1
37,47,1780260157.596213,3,1
37,47,1780260157.596213,4,1
37,47,1780260157.596213,5,1
38,48,1780260158.642014,1,1
38,48,1780260158.642014,2,1
38,48,1780260158.642014,3,1
38,48,1780260158.642014,4,1
38,48,1780260158.642014,5,1
39,49,1780260159.418382,1,1
39,49,1780260159.418382,2,1
39,49,1780260159.418382,3,1
39,49,1780260159.418382,4,1
39,49,1780260159.418382,5,1
40,50,1780260160.472147,1,1
40,50,1780260160.472147,2,1
40,50,1780260160.472147,3,1
40,50,1780260160.472147,4,1
40,50,1780260160.472147,5,1
41,51,1780260161.453404,1,1
41,51,1780260161.453404,2,1
41,51,1780260161.453404,3,1
41,51,1780260161.453404,4,1
41,51,1780260161.453404,5,1
42,52,1780260162.264966,1,1
42,52,1780260162.264966,2,1
42,52,1780260162.264966,3,1
42,52,1780260162.264966,4,1
42,52,1780260162.264966,5,1
43,53,1780260163.371582,1,1
43,53,1780260163.371582,2,1
43,53,1780260163.371582,3,1
43,53,1780260163.371582,4,1
43,53,1780260163.371582,5,1
44,54,1780260164.534078,1,1
44,54,1780260164.534078,2,1
