cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
7,1780260216.922096,1,1,1.020000,711.687710,1
7,1780260216.922096,2,2,1.005666,410.085729,1
7,1780260216.922096,3,3,1.002437,0.000000,0
7,1780260216.922096,4,4,0.000000,0.000000,0
7,1780260216.922096,5,,0.000000,0.000000,0
8,1780260217.348480,1,1,1.020000,802.998163,1
8,1780260217.348480,2,2,1.010137,394.358343,1
8,1780260217.348480,3,3,1.008849,97.507389,1
8,1780260217.348480,4,4,1.010000,0.000000,1
8,1780260217.348480,5,,1.010000,0.000000,0
9,1780260218.346247,1,1,1.020000,1264.561365,1
9,1780260218.346247,2,2,1.009900,900.210630,1
9,1780260218.346247,3,3,1.008682,570.405440,1
9,1780260218.346247,4,4,1.010000,506.301911,1
9,1780260218.346247,5,,1.006605,0.000000,1
10,1780260219.012779,1,1,1.020000,1187.164739,1
10,1780260219.012779,2,2,1.010068,838.074898,1
10,1780260219.012779,3,3,1.008461,552.497266,1
10,1780260219.012779,4,4,1.010000,460.602409,1
10,1780260219.012779,5,,1.007540,0.000000,1
11,1780260219.846958,1,1,1.020000,377.949368,1
11,1780260219.846958,2,2,1.014902,0.000000,0
11,1780260219.846958,3,3,0.000000,0.000000,0
11,1780260219.846958,4,4,0.000000,0.000000,0
11,1780260219.846958,5,,0.000000,0.000000,1
12,1780260220.429415,1,1,1.020000,377.949368,1
12,1780260220.429415,2,2,1.014902,0.000000,0
12,1780260220.429415,3,3,0.000000,0.000000,0
12,1780260220.429415,4,4,0.000000,0.000000,0
12,1780260220.429415,5,,0.000000,0.000000,0
13,1780260220.963393,1,1,1.020000,798.101176,1
13,1780260220.963393,2,2,1.010215,366.479945,1
13,1780260220.963393,3,3,1.008634,115.686680,1
13,1780260220.963393,4,4,1.010000,0.000000,0
13,1780260220.963393,5,,0.000000,0.000000,0
14,1780260221.514673,1,1,1.020000,0.000000,0
14,1780260221.514673,2,2,0.000000,0.000000,0
14,1780260221.514673,3,3,0.000000,0.000000,0
14,1780260221.514673,4,4,0.000000,0.000000,0
14,1780260221.514673,5,,0.000000,0.000000,0
15,1780260222.019014,1,1,1.020000,426.059628,1
15,1780260222.019014,2,2,1.013823,0.000000,0
15,1780260222.019014,3,3,0.000000,0.000000,0
15,1780260222.019014,4,4,0.000000,0.000000,1
15,1780260222.019014,5,,0.000000,0.000000,1
16,1780260222.615029,1,1,1.020000,939.568463,1
16,1780260222.615029,2,2,1.006319,510.332048,1
16,1780260222.615029,3,3,1.003308,0.000000,0
16,1780260222.615029,4,4,0.000000,0.000000,0
16,1780260222.615029,5,,0.000000,0.000000,1
17,1780260223.622439,1,1,1.020000,1200.714980,1
17,1780260223.622439,2,2,1.010061,890.043874,1
17,1780260223.622439,3,3,1.008306,548.954730,1
17,1780260223.622439,4,4,1.010000,460.356335,1
17,1780260223.622439,5,,1.007101,0.000000,0
18,1780260224.640117,1,1,1.020000,920.270943,1
18,1780260224.640117,2,2,1.007591,485.539965,1
18,1780260224.640117,3,3,1.005019,0.000000,0
18,1780260224.640117,4,4,0.000000,0.000000,1
18,1780260224.640117,5,,0.000000,0.000000,1
19,1780260225.658458,1,1,1.020000,0.000000,0
19,1780260225.658458,2,2,0.000000,0.000000,1
19,1780260225.658458,3,3,0.000000,0.000000,1
19,1780260225.658458,4,4,0.000000,0.000000,0
19,1780260225.658458,5,,0.000000,0.000000,0
20,1780260226.918205,1,1,1.020000,0.000000,0
20,1780260226.918205,2,2,0.000000,0.000000,0
20,1780260226.918205,3,3,0.000000,0.000000,0
20,1780260226.918205,4,4,0.000000,0.000000,1
20,1780260226.918205,5,,0.000000,0.000000,0
21,1780260227.779296,1,1,1.020000,1238.441907,1
21,1780260227.779296,2,2,1.010572,845.027191,1
21,1780260227.779296,3,3,1.009018,548.235033,1
21,1780260227.779296,4,4,1.010000,496.749594,1
21,1780260227.779296,5,,1.006729,0.000000,1
22,1780260228.653168,1,1,1.020000,828.889864,1
22,1780260228.653168,2,2,1.010172,435.477176,1
22,1780260228.653168,3,3,1.008458,130.571710,1
22,1780260228.653168,4,4,1.010000,0.000000,0
22,1780260228.653168,5,,0.000000,0.000000,0
23,1780260229.825226,1,1,1.020000,270.122479,1
23,1780260229.825226,2,2,1.016768,0.000000,0
23,1780260229.825226,3,3,0.000000,0.000000,0
23,1780260229.825226,4,4,0.000000,0.000000,1
23,1780260229.825226,5,,0.000000,0.000000,0
24,1780260230.756995,1,1,1.020000,0.000000,0
24,1780260230.756995,2,2,0.000000,0.000000,0
24,1780260230.756995,3,3,0.000000,0.000000,0
24,1780260230.756995,4,4,0.000000,0.000000,1
24,1780260230.756995,5,,0.000000,0.000000,0
25,1780260231.750208,1,1,1.020000,884.279182,1
25,1780260231.750208,2,2,1.006941,468.343092,1
25,1780260231.750208,3,3,1.004192,0.000000,0
25,1780260231.750208,4,4,0.000000,0.000000,1
25,1780260231.750208,5,,0.000000,0.000000,0
26,1780260232.628961,1,1,1.020000,356.614610,1
26,1780260232.628961,2,2,1.014724,0.000000,0
