cycle_id,ts_sent,bus,V_sent,I_sent,P_bus,Q_bus,power_factor,breaker_actual
12,1780260313.042153,1,1.020000,895.289729,-171.356396,-30.141360,0.984880,1
12,1780260313.042153,2,1.010245,435.239576,79.685701,25.850530,0.951200,1
12,1780260313.042153,3,1.008714,423.885351,76.708492,27.428441,0.941615,1
12,1780260313.042153,4,1.010000,477.854777,-80.000000,-45.338039,0.870000,1
12,1780260313.042153,5,1.007181,496.286075,93.428519,18.456892,0.981040,1
13,1780260313.999212,1,1.020000,723.536937,-134.492066,-41.022831,0.956494,1
13,1780260313.999212,2,1.010627,327.242695,56.871442,27.129086,0.902568,1
13,1780260313.999212,3,1.008884,399.712606,69.463591,32.832479,0.904097,1
13,1780260313.999212,4,1.010000,454.374220,-80.000000,-35.284370,0.914959,1
13,1780260313.999212,5,1.007553,459.424211,87.109828,13.780823,0.987716,1
14,1780260315.011016,1,1.020000,901.416562,-171.681665,-34.823273,0.980042,1
14,1780260315.011016,2,1.009775,428.619748,76.291029,31.297566,0.925174,1
14,1780260315.011016,3,1.008216,452.941001,79.663160,34.982853,0.915607,1
14,1780260315.011016,4,1.010000,518.378698,-80.000000,-59.585834,0.801989,1
14,1780260315.011016,5,1.006861,506.806900,94.145476,24.264748,0.968354,1
15,1780260316.013358,1,1.020000,779.658351,-146.858064,-37.279158,0.969259,1
15,1780260316.013358,2,1.010507,327.245446,57.946405,24.732171,0.919730,1
15,1780260316.013358,3,1.008649,442.487537,76.841044,36.418407,0.903647,1
15,1780260316.013358,4,1.010000,470.226870,-80.000000,-42.281722,0.884113,1
15,1780260316.013358,5,1.007392,480.081163,90.845860,15.411938,0.985913,1
16,1780260317.003214,1,1.020000,859.473725,-153.170753,-66.608281,0.917043,1
16,1780260317.003214,2,1.007392,351.954135,61.982015,26.860718,0.917546,1
16,1780260317.003214,3,1.004398,507.554626,89.926128,36.701843,0.925857,0
17,1780260318.025452,1,1.020000,766.921904,-138.070047,-56.122779,0.926392,1
17,1780260318.025452,2,1.009011,291.728605,53.289474,17.478372,0.950196,1
17,1780260318.025452,3,1.006145,475.986964,83.762381,36.187153,0.917994,0
18,1780260319.000060,1,1.020000,927.609675,-170.448525,-58.684487,0.945528,1
18,1780260319.000060,2,1.007489,441.633108,79.883641,28.372319,0.942329,1
18,1780260319.000060,3,1.004913,486.214857,89.132351,26.859906,0.957470,0
19,1780260319.986486,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
20,1780260320.991044,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
21,1780260322.010500,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
22,1780260323.010724,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
23,1780260324.047617,1,1.020000,436.804535,-57.441545,-62.500024,0.676683,1
23,1780260324.047617,2,1.011601,269.369356,50.584302,11.688292,0.974328,1
23,1780260324.047617,3,1.009446,470.272369,86.361656,26.870264,0.954850,1
23,1780260324.047617,4,1.010000,432.190192,-80.000000,22.731122,0.961923,0
24,1780260325.042568,1,1.020000,404.490867,-76.585707,-17.712082,0.974284,1
24,1780260325.042568,2,1.015198,404.490867,76.340288,17.123075,0.975756,0
25,1780260326.029561,1,1.020000,827.959348,-156.195684,-38.632729,0.970748,1
25,1780260326.029561,2,1.010008,416.605874,72.975033,33.190716,0.910271,1
25,1780260326.029561,3,1.008547,415.772375,74.258471,29.469602,0.929482,1
25,1780260326.029561,4,1.010000,471.095020,-80.000000,-42.638070,0.882484,1
25,1780260326.029561,5,1.007456,463.643599,87.650566,15.408479,0.984897,1
26,1780260327.025040,1,1.020000,779.447943,-147.079936,-36.223332,0.970986,1
26,1780260327.025040,2,1.010601,355.100391,62.694138,27.281910,0.916944,1
26,1780260327.025040,3,1.008965,419.039205,76.178883,26.184605,0.945694,1
26,1780260327.025040,4,1.010000,476.234666,-80.000000,-44.702349,0.872960,1
26,1780260327.025040,5,1.006989,471.207306,87.011511,24.535141,0.962469,0
27,1780260328.079783,1,1.020000,848.019280,-154.178011,-58.210235,0.935542,1
27,1780260328.079783,2,1.008173,436.695046,79.854481,25.678542,0.951990,1
27,1780260328.079783,3,1.005748,411.951755,73.143003,29.688245,0.926582,0
28,1780260329.009460,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
29,1780260330.024170,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
30,1780260331.056092,1,1.020000,816.104390,-145.637819,-62.794301,0.918280,1
