cmd_id,origin_cycle,ts_received,ts_sent,bus,breaker_DT
7,11,1780259932.725530,1780259932.739507,1,1
7,11,1780259932.725530,1780259932.739507,2,1
7,11,1780259932.725530,1780259932.739507,3,1
7,11,1780259932.725530,1780259932.739507,4,1
7,11,1780259932.725530,1780259932.739507,5,1
8,12,1780259933.728000,1780259933.741252,1,1
8,12,1780259933.728000,1780259933.741252,2,1
8,12,1780259933.728000,1780259933.741252,3,1
8,12,1780259933.728000,1780259933.741252,4,1
8,12,1780259933.728000,1780259933.741252,5,1
9,13,1780259934.729325,1780259934.743245,1,1
9,13,1780259934.729325,1780259934.743245,2,1
9,13,1780259934.729325,1780259934.743245,3,1
9,13,1780259934.729325,1780259934.743245,4,1
9,13,1780259934.729325,1780259934.743245,5,1
10,14,1780259935.729968,1780259935.747156,1,1
10,14,1780259935.729968,1780259935.747156,2,1
10,14,1780259935.729968,1780259935.747156,3,1
10,14,1780259935.729968,1780259935.747156,4,1
10,14,1780259935.729968,1780259935.747156,5,1
11,15,1780259936.731176,1780259936.741494,1,1
11,15,1780259936.731176,1780259936.741494,2,1
11,15,1780259936.731176,1780259936.741494,3,1
11,15,1780259936.731176,1780259936.741494,4,1
11,15,1780259936.731176,1780259936.741494,5,1
12,16,1780259937.732752,1780259937.742857,1,1
12,16,1780259937.732752,1780259937.742857,2,1
12,16,1780259937.732752,1780259937.742857,3,1
12,16,1780259937.732752,1780259937.742857,4,1
12,16,1780259937.732752,1780259937.742857,5,1
13,17,1780259938.733790,1780259938.744201,1,1
13,17,1780259938.733790,1780259938.744201,2,1
13,17,1780259938.733790,1780259938.744201,3,1
13,17,1780259938.733790,1780259938.744201,4,1
13,17,1780259938.733790,1780259938.744201,5,1
14,18,1780259939.734146,1780259939.746816,1,1
14,18,1780259939.734146,1780259939.746816,2,1
14,18,1780259939.734146,1780259939.746816,3,1
14,18,1780259939.734146,1780259939.746816,4,1
14,18,1780259939.734146,1780259939.746816,5,1
15,19,1780259940.735639,1780259940.746002,1,1
15,19,1780259940.735639,1780259940.746002,2,1
15,19,1780259940.735639,1780259940.746002,3,1
15,19,1780259940.735639,1780259940.746002,4,1
15,19,1780259940.735639,1780259940.746002,5,1
16,20,1780259941.736681,1780259941.742329,1,1
16,20,1780259941.736681,1780259941.742329,2,1
16,20,1780259941.736681,1780259941.742329,3,1
16,20,1780259941.736681,1780259941.742329,4,1
16,20,1780259941.736681,1780259941.742329,5,1
17,21,1780259942.737650,1780259942.748062,1,1
17,21,1780259942.737650,1780259942.748062,2,1
17,21,1780259942.737650,1780259942.748062,3,1
17,21,1780259942.737650,1780259942.748062,4,1
17,21,1780259942.737650,1780259942.748062,5,1
18,22,1780259943.738642,1780259943.750689,1,1
18,22,1780259943.738642,1780259943.750689,2,1
18,22,1780259943.738642,1780259943.750689,3,1
18,22,1780259943.738642,1780259943.750689,4,1
18,22,1780259943.738642,1780259943.750689,5,1
19,23,1780259944.739517,1780259944.750332,1,1
19,23,1780259944.739517,1780259944.750332,2,1
19,23,1780259944.739517,1780259944.750332,3,1
19,23,1780259944.739517,1780259944.750332,4,1
19,23,1780259944.739517,1780259944.750332,5,1
20,24,1780259945.739826,1780259945.748419,1,1
20,24,1780259945.739826,1780259945.748419,2,1
20,24,1780259945.739826,1780259945.748419,3,1
20,24,1780259945.739826,1780259945.748419,4,1
