cycle_id,ts_sent,bus,V_sent,I_sent,P_bus,Q_bus,power_factor,breaker_actual
13,1780260027.514512,1,1.020000,723.536937,-134.492066,-41.022831,0.956494,1
13,1780260027.514512,2,1.010627,327.242695,56.871442,27.129086,0.902568,1
13,1780260027.514512,3,1.008884,399.712606,69.463591,32.832479,0.904097,1
13,1780260027.514512,4,1.010000,454.374220,-80.000000,-35.284370,0.914959,1
13,1780260027.514512,5,1.007553,459.424211,87.109828,13.780823,0.987716,1
14,1780260028.482152,1,1.020000,884.487560,-157.251745,-69.406961,0.914851,1
14,1780260028.482152,2,1.006958,429.818520,76.291029,31.297566,0.925174,1
14,1780260028.482152,3,1.004204,454.750558,79.663160,34.982853,0.915607,0
15,1780260029.469182,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
16,1780260030.514080,1,1.020000,840.130617,-159.209195,-36.177018,0.975142,1
16,1780260030.514080,2,1.010130,351.000294,61.982015,26.860718,0.917546,1
16,1780260030.514080,3,1.008286,505.597149,89.926128,36.701843,0.925857,1
16,1780260030.514080,4,1.010000,514.857195,-80.000000,-58.444313,0.807474,1
16,1780260030.514080,5,1.006847,470.476664,85.909094,27.658186,0.951885,1
17,1780260031.500516,1,1.020000,761.287911,-143.856284,-34.544273,0.972359,1
17,1780260031.500516,2,1.010892,291.185949,53.289474,17.478372,0.950196,1
17,1780260031.500516,3,1.008819,474.725528,83.762381,36.187153,0.917994,1
17,1780260031.500516,4,1.010000,477.404985,-80.000000,-45.162234,0.870820,1
17,1780260031.500516,5,1.007088,462.365634,85.635277,23.179383,0.965265,1
18,1780260032.472131,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
19,1780260033.470399,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
20,1780260034.520920,1,1.020000,336.585518,-63.781646,-14.507362,0.975095,1
20,1780260034.520920,2,1.016021,336.585518,63.611711,14.099519,0.976305,0
21,1780260035.514740,1,1.020000,412.691724,-77.634307,-20.127067,0.967998,1
21,1780260035.514740,2,1.014920,412.691724,77.378835,19.513935,0.969641,0
22,1780260036.500398,1,1.020000,871.547255,-157.505660,-62.283324,0.929933,1
22,1780260036.500398,2,1.007645,402.474995,72.875324,25.681287,0.943150,1
22,1780260036.500398,3,1.004890,469.306993,83.358794,33.537123,0.927732,0
23,1780260037.603782,1,1.020000,740.097305,-137.900653,-40.863130,0.958791,1
23,1780260037.603782,2,1.010509,269.660474,50.584302,11.688292,0.974328,1
23,1780260037.603782,3,1.007986,470.953438,86.361656,26.870264,0.954850,0
24,1780260038.537927,1,1.020000,768.306151,-145.720335,-32.541466,0.975961,1
24,1780260038.537927,2,1.011014,406.164526,76.340288,17.123075,0.975756,1
