cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
12,1780260027.363670,1780260027.364324,1,1.014078,432.582813,0.949100,1
12,1780260027.370700,1780260027.371264,2,1.016527,430.816512,0.951200,1
12,1780260027.379396,1780260027.380028,3,1.008448,359.662625,0.945600,1
12,1780260027.391648,1780260027.392180,4,1.006066,434.181826,0.962900,1
12,1780260027.398433,1780260027.398893,5,1.008656,504.008125,0.951800,1
13,1780260028.359988,1780260028.362550,1,1.020975,724.508080,0.956500,1
13,1780260028.372994,1780260028.375618,2,1.011361,328.951824,0.902600,1
13,1780260028.383002,1780260028.385140,3,1.007015,399.077896,0.904100,0
13,1780260028.392107,1780260028.392565,4,1.013125,454.406865,0.915000,1
13,1780260028.406407,1780260028.407055,5,1.005359,460.853016,0.987700,1
14,1780260029.416250,1780260029.416928,1,1.024396,883.832761,0.914900,0
14,1780260029.494188,1780260029.494796,2,1.002860,429.631211,0.925200,0
14,1780260029.516041,1780260029.516756,3,1.003553,454.319667,0.915600,0
14,1780260029.537656,1780260029.539282,4,1.014214,452.826262,0.915000,1
14,1780260029.565540,1780260029.566207,5,1.011782,457.530850,0.987700,1
15,1780260030.376761,1780260030.378428,1,1.017639,0.947282,1.000000,1
15,1780260030.388827,1780260030.394765,2,1.010386,431.121837,0.925200,1
15,1780260030.404427,1780260030.406576,3,1.005036,454.980201,0.915600,1
15,1780260030.421044,1780260030.422134,4,1.010457,455.229587,0.915000,1
15,1780260030.471004,1780260030.472130,5,1.007471,459.849487,0.987700,1
16,1780260031.380796,1780260031.381620,1,1.021718,840.134593,0.975100,1
16,1780260031.396452,1780260031.397255,2,1.012292,351.848817,0.917500,1
16,1780260031.410651,1780260031.411739,3,1.014032,506.087414,0.925900,1
16,1780260031.422712,1780260031.423318,4,1.008717,514.307840,0.807500,1
16,1780260031.431424,1780260031.431970,5,1.006961,471.852344,0.951900,1
17,1780260032.406712,1780260032.407198,1,1.018990,761.878739,0.972400,0
17,1780260032.414387,1780260032.415066,2,1.016512,287.352981,0.950200,0
17,1780260032.419964,1780260032.420768,3,1.005628,475.099179,0.918000,0
17,1780260032.425628,1780260032.426172,4,1.011195,477.757860,0.870800,1
17,1780260032.431318,1780260032.431986,5,1.005707,463.349386,0.965300,1
18,1780260033.405729,1780260033.406612,1,1.020846,0.000000,1.000000,0
18,1780260033.413154,1780260033.413846,2,1.018290,291.732699,0.950200,0
18,1780260033.420592,1780260033.421209,3,1.007337,474.584161,0.918000,0
18,1780260033.434408,1780260033.436758,4,1.009323,477.305888,0.870800,1
18,1780260033.448718,1780260033.449542,5,0.998816,461.636318,0.965300,1
19,1780260034.408484,1780260034.409086,1,1.023026,0.000000,1.000000,1
19,1780260034.416906,1780260034.417608,2,1.010800,292.630258,0.950200,0
19,1780260034.426531,1780260034.427540,3,1.011569,476.969911,0.918000,0
19,1780260034.436218,1780260034.437039,4,1.004896,476.869936,0.870800,1
19,1780260034.446663,1780260034.447336,5,1.005977,463.301601,0.965300,1
20,1780260035.411444,1780260035.412339,1,1.023275,332.575756,0.975100,1
20,1780260035.421218,1780260035.422575,2,1.019266,334.428685,0.976300,0
20,1780260035.432745,1780260035.434124,3,1.011049,472.495126,0.918000,0
20,1780260035.500714,1780260035.508749,4,1.010528,479.191982,0.870800,1
20,1780260035.528768,1780260035.529457,5,1.006552,462.653321,0.965300,1
21,1780260036.412220,1780260036.413060,1,1.022391,412.912066,0.968000,1
21,1780260036.421070,1780260036.422089,2,1.014735,414.999884,0.969600,1
21,1780260036.430269,1780260036.431180,3,1.012145,474.292611,0.918000,0
21,1780260036.438553,1780260036.439218,4,1.018236,475.679741,0.870800,1
21,1780260036.446441,1780260036.447180,5,1.009744,461.968095,0.965300,1
22,1780260037.436604,1780260037.437790,1,1.020397,872.590842,0.929900,1
22,1780260037.452471,1780260037.454296,2,1.008667,403.424635,0.943200,1
22,1780260037.501176,1780260037.502542,3,1.000418,467.035733,0.927700,0
22,1780260037.515349,1780260037.516866,4,1.011845,475.955262,0.870800,1
