cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
12,1780260027.634900,1,1,1.020000,1234.633112,1
12,1780260027.634900,2,2,1.010367,836.454616,1
12,1780260027.634900,3,3,1.009002,554.651597,1
12,1780260027.634900,4,4,1.010000,504.693078,1
12,1780260027.634900,5,,1.006616,0.000000,1
13,1780260028.639572,1,1,1.020000,728.952895,1
13,1780260028.639572,2,2,1.008849,399.318230,1
13,1780260028.639572,3,3,1.006366,0.000000,0
13,1780260028.639572,4,4,0.000000,0.000000,1
13,1780260028.639572,5,,0.000000,0.000000,1
14,1780260029.447399,1,1,1.020000,728.952895,1
14,1780260029.447399,2,2,1.008849,399.318230,1
14,1780260029.447399,3,3,1.006366,0.000000,0
14,1780260029.447399,4,4,0.000000,0.000000,1
14,1780260029.447399,5,,0.000000,0.000000,1
15,1780260030.454552,1,1,1.020000,1271.021476,1
15,1780260030.454552,2,2,1.009558,885.719179,1
15,1780260030.454552,3,3,1.008062,570.938668,1
15,1780260030.454552,4,4,1.010000,459.064713,1
15,1780260030.454552,5,,1.007554,0.000000,1
16,1780260031.459825,1,1,1.020000,1246.394822,1
16,1780260031.459825,2,2,1.009892,933.318844,1
16,1780260031.459825,3,3,1.008109,563.407919,1
16,1780260031.459825,4,4,1.010000,471.439416,1
16,1780260031.459825,5,,1.006841,0.000000,1
17,1780260032.471629,1,1,1.020000,0.000000,0
17,1780260032.471629,2,2,0.000000,0.000000,0
17,1780260032.471629,3,3,0.000000,0.000000,0
17,1780260032.471629,4,4,0.000000,0.000000,1
17,1780260032.471629,5,,0.000000,0.000000,1
18,1780260033.474201,1,1,1.020000,0.000000,0
18,1780260033.474201,2,2,0.000000,0.000000,0
18,1780260033.474201,3,3,0.000000,0.000000,0
18,1780260033.474201,4,4,0.000000,0.000000,1
18,1780260033.474201,5,,0.000000,0.000000,1
19,1780260034.477378,1,1,1.020000,290.842948,1
19,1780260034.477378,2,2,1.016102,0.000000,0
19,1780260034.477378,3,3,0.000000,0.000000,0
19,1780260034.477378,4,4,0.000000,0.000000,1
19,1780260034.477378,5,,0.000000,0.000000,1
