cmd_id,origin_cycle,ts_sent,bus,breaker_DT
1,4,1780259823.228487,1,1
1,4,1780259823.228487,2,1
1,4,1780259823.228487,3,1
1,4,1780259823.228487,4,1
1,4,1780259823.228487,5,1
2,5,1780259823.441788,1,1
2,5,1780259823.441788,2,1
2,5,1780259823.441788,3,1
2,5,1780259823.441788,4,1
2,5,1780259823.441788,5,1
3,6,1780259823.639960,1,1
3,6,1780259823.639960,2,1
3,6,1780259823.639960,3,1
3,6,1780259823.639960,4,1
3,6,1780259823.639960,5,1
67,81,1780260396.224687,1,0
67,81,1780260396.224687,2,0
67,81,1780260396.224687,3,0
67,81,1780260396.224687,4,1
67,81,1780260396.224687,5,1
68,82,1780260396.307277,1,0
68,82,1780260396.307277,2,0
68,82,1780260396.307277,3,0
68,82,1780260396.307277,4,1
68,82,1780260396.307277,5,1
69,86,1780260396.535870,1,0
69,86,1780260396.535870,2,0
69,86,1780260396.535870,3,0
69,86,1780260396.535870,4,1
69,86,1780260396.535870,5,1
70,88,1780260396.719322,1,0
70,88,1780260396.719322,2,0
70,88,1780260396.719322,3,0
70,88,1780260396.719322,4,1
70,88,1780260396.719322,5,1
71,89,1780260396.954160,1,1
71,89,1780260396.954160,2,1
71,89,1780260396.954160,3,1
71,89,1780260396.954160,4,1
71,89,1780260396.954160,5,1
72,91,1780260397.188999,1,1
72,91,1780260397.188999,2,1
72,91,1780260397.188999,3,0
72,91,1780260397.188999,4,1
72,91,1780260397.188999,5,1
73,93,1780260397.368062,1,1
73,93,1780260397.368062,2,1
73,93,1780260397.368062,3,0
73,93,1780260397.368062,4,1
73,93,1780260397.368062,5,1
74,94,1780260397.521142,1,1
74,94,1780260397.521142,2,0
74,94,1780260397.521142,3,0
74,94,1780260397.521142,4,1
74,94,1780260397.521142,5,1
75,95,1780260397.959433,1,1
75,95,1780260397.959433,2,0
75,95,1780260397.959433,3,0
75,95,1780260397.959433,4,1
75,95,1780260397.959433,5,1
