Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840
Memulai Modbus Gateway di 0.0.0.0:5020


[2026-05-17 01:22:09] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-17 01:22:09] [iter 1] [Bus 2] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-17 01:22:09] [iter 1] [Bus 3] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-17 01:22:09] [iter 1] [Bus 4] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-17 01:22:09] [iter 1] [Bus 5] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar


[2026-05-17 01:22:13] [iter 2] [Bus 1] P/Q/CMD -> V_in=1.0190 pu, I_in=810.4667 A, PF=0.9603, V_out=1.0190 pu, I_out=810.4667 A, V_DT=1.0000 pu, P=151.1018 MW, Q=43.8954 MVar
[2026-05-17 01:22:13] [iter 2] [Bus 2] P/Q/CMD -> V_in=1.0090 pu, I_in=398.2000 A, PF=0.9020, V_out=1.0090 pu, I_out=398.2000 A, V_DT=1.0000 pu, P=69.0482 MW, Q=33.0494 MVar
[2026-05-17 01:22:13] [iter 2] [Bus 3] P/Q/CMD -> V_in=1.0040 pu, I_in=394.8667 A, PF=0.9001, V_out=1.0040 pu, I_out=394.8667 A, V_DT=1.0000 pu, P=67.9874 MW, Q=32.9085 MVar
[2026-05-17 01:22:13] [iter 2] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=479.1000 A, PF=0.8689, V_out=1.0130 pu, I_out=479.1000 A, V_DT=1.0000 pu, P=80.3450 MW, Q=45.7703 MVar
[2026-05-17 01:22:13] [iter 2] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=492.5000 A, PF=0.9771, V_out=1.0110 pu, I_out=492.5000 A, V_DT=1.0000 pu, P=92.6936 MW, Q=20.1857 MVar


[2026-05-17 01:22:17] [iter 3] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=851.0333 A, PF=0.9557, V_out=1.0210 pu, I_out=851.0333 A, V_DT=1.0200 pu, P=158.2148 MW, Q=48.7280 MVar
[2026-05-17 01:22:17] [iter 3] [Bus 2] P/Q/CMD -> V_in=1.0040 pu, I_in=441.5667 A, PF=0.9070, V_out=1.0040 pu, I_out=441.5667 A, V_DT=1.0097 pu, P=76.6109 MW, Q=35.5713 MVar
[2026-05-17 01:22:17] [iter 3] [Bus 3] P/Q/CMD -> V_in=1.0070 pu, I_in=430.1333 A, PF=0.8827, V_out=1.0070 pu, I_out=430.1333 A, V_DT=1.0071 pu, P=72.8449 MW, Q=38.7816 MVar
[2026-05-17 01:22:17] [iter 3] [Bus 4] P/Q/CMD -> V_in=1.0040 pu, I_in=490.0333 A, PF=0.8439, V_out=1.0040 pu, I_out=490.0333 A, V_DT=1.0100 pu, P=79.1049 MW, Q=50.2901 MVar
[2026-05-17 01:22:17] [iter 3] [Bus 5] P/Q/CMD -> V_in=1.0050 pu, I_in=467.1000 A, PF=0.9702, V_out=1.0050 pu, I_out=467.1000 A, V_DT=1.0082 pu, P=86.7742 MW, Q=21.6717 MVar


[2026-05-17 01:22:21] [iter 4] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=739.1000 A, PF=0.9651, V_out=1.0200 pu, I_out=739.1000 A, V_DT=1.0200 pu, P=138.6210 MW, Q=37.6151 MVar
[2026-05-17 01:22:21] [iter 4] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=287.0000 A, PF=0.9159, V_out=1.0120 pu, I_out=287.0000 A, V_DT=1.0090 pu, P=50.6832 MW, Q=22.2126 MVar
[2026-05-17 01:22:21] [iter 4] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=446.2667 A, PF=0.9290, V_out=1.0080 pu, I_out=446.2667 A, V_DT=1.0062 pu, P=79.6203 MW, Q=31.7178 MVar
[2026-05-17 01:22:21] [iter 4] [Bus 4] P/Q/CMD -> V_in=1.0080 pu, I_in=466.3333 A, PF=0.8964, V_out=1.0080 pu, I_out=466.3333 A, V_DT=1.0100 pu, P=80.2809 MW, Q=39.6968 MVar
[2026-05-17 01:22:21] [iter 4] [Bus 5] P/Q/CMD -> V_in=1.0090 pu, I_in=468.0333 A, PF=0.9736, V_out=1.0090 pu, I_out=468.0333 A, V_DT=1.0082 pu, P=87.5995 MW, Q=20.5377 MVar


[2026-05-17 01:22:25] [iter 5] [Bus 1] P/Q/CMD -> V_in=1.0180 pu, I_in=892.3667 A, PF=0.9700, V_out=1.0180 pu, I_out=892.3667 A, V_DT=1.0200 pu, P=167.8867 MW, Q=42.0764 MVar
[2026-05-17 01:22:25] [iter 5] [Bus 2] P/Q/CMD -> V_in=1.0070 pu, I_in=428.8333 A, PF=0.9005, V_out=1.0070 pu, I_out=428.8333 A, V_DT=1.0108 pu, P=74.0892 MW, Q=35.7781 MVar
[2026-05-17 01:22:25] [iter 5] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=465.9000 A, PF=0.9428, V_out=1.0080 pu, I_out=465.9000 A, V_DT=1.0077 pu, P=84.3580 MW, Q=29.8276 MVar
[2026-05-17 01:22:25] [iter 5] [Bus 4] P/Q/CMD -> V_in=1.0080 pu, I_in=500.9667 A, PF=0.8274, V_out=1.0080 pu, I_out=500.9667 A, V_DT=1.0100 pu, P=79.6046 MW, Q=54.0331 MVar
[2026-05-17 01:22:25] [iter 5] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=483.1667 A, PF=0.9562, V_out=1.0060 pu, I_out=483.1667 A, V_DT=1.0082 pu, P=88.5517 MW, Q=27.1077 MVar


[2026-05-17 01:22:29] [iter 6] [Bus 1] P/Q/CMD -> V_in=1.0170 pu, I_in=833.7333 A, PF=0.9653, V_out=1.0170 pu, I_out=833.7333 A, V_DT=1.0200 pu, P=155.9422 MW, Q=42.1872 MVar
[2026-05-17 01:22:29] [iter 6] [Bus 2] P/Q/CMD -> V_in=1.0110 pu, I_in=439.2000 A, PF=0.9269, V_out=1.0110 pu, I_out=439.2000 A, V_DT=1.0092 pu, P=78.4151 MW, Q=31.7508 MVar
[2026-05-17 01:22:29] [iter 6] [Bus 3] P/Q/CMD -> V_in=1.0070 pu, I_in=370.1000 A, PF=0.8887, V_out=1.0070 pu, I_out=370.1000 A, V_DT=1.0065 pu, P=63.1040 MW, Q=32.5560 MVar
[2026-05-17 01:22:29] [iter 6] [Bus 4] P/Q/CMD -> V_in=1.0030 pu, I_in=481.5000 A, PF=0.8625, V_out=1.0030 pu, I_out=481.5000 A, V_DT=1.0100 pu, P=79.3615 MW, Q=46.5640 MVar
[2026-05-17 01:22:29] [iter 6] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=498.3333 A, PF=0.9741, V_out=1.0070 pu, I_out=498.3333 A, V_DT=1.0080 pu, P=93.1336 MW, Q=21.6191 MVar


[2026-05-17 01:22:33] [iter 7] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=839.2667 A, PF=0.9836, V_out=1.0210 pu, I_out=839.2667 A, V_DT=1.0200 pu, P=160.5823 MW, Q=29.4461 MVar
[2026-05-17 01:22:33] [iter 7] [Bus 2] P/Q/CMD -> V_in=1.0060 pu, I_in=403.3667 A, PF=0.9584, V_out=1.0060 pu, I_out=403.3667 A, V_DT=1.0096 pu, P=74.0966 MW, Q=22.0673 MVar
[2026-05-17 01:22:33] [iter 7] [Bus 3] P/Q/CMD -> V_in=1.0100 pu, I_in=410.7667 A, PF=0.9676, V_out=1.0100 pu, I_out=410.7667 A, V_DT=1.0071 pu, P=76.4831 MW, Q=19.9577 MVar
[2026-05-17 01:22:33] [iter 7] [Bus 4] P/Q/CMD -> V_in=1.0140 pu, I_in=459.3333 A, PF=0.9061, V_out=1.0140 pu, I_out=459.3333 A, V_DT=1.0100 pu, P=80.4073 MW, Q=37.5426 MVar
[2026-05-17 01:22:33] [iter 7] [Bus 5] P/Q/CMD -> V_in=1.0080 pu, I_in=473.5333 A, PF=0.9721, V_out=1.0080 pu, I_out=473.5333 A, V_DT=1.0081 pu, P=88.4047 MW, Q=21.3320 MVar


[2026-05-17 01:22:37] [iter 8] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=914.2000 A, PF=0.9809, V_out=1.0210 pu, I_out=914.2000 A, V_DT=1.0200 pu, P=174.4396 MW, Q=34.5914 MVar
[2026-05-17 01:22:37] [iter 8] [Bus 2] P/Q/CMD -> V_in=1.0080 pu, I_in=408.0667 A, PF=0.9495, V_out=1.0080 pu, I_out=408.0667 A, V_DT=1.0107 pu, P=74.4115 MW, Q=24.5896 MVar
[2026-05-17 01:22:37] [iter 8] [Bus 3] P/Q/CMD -> V_in=1.0040 pu, I_in=479.5000 A, PF=0.9320, V_out=1.0040 pu, I_out=479.5000 A, V_DT=1.0082 pu, P=85.4853 MW, Q=33.2456 MVar
[2026-05-17 01:22:37] [iter 8] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=508.3667 A, PF=0.8129, V_out=1.0130 pu, I_out=508.3667 A, V_DT=1.0100 pu, P=79.7585 MW, Q=57.1431 MVar
[2026-05-17 01:22:37] [iter 8] [Bus 5] P/Q/CMD -> V_in=1.0030 pu, I_in=503.9333 A, PF=0.9518, V_out=1.0030 pu, I_out=503.9333 A, V_DT=1.0082 pu, P=91.6586 MW, Q=29.5371 MVar


[2026-05-17 01:22:41] [iter 9] [Bus 1] P/Q/CMD -> V_in=1.0240 pu, I_in=683.3667 A, PF=0.9514, V_out=1.0240 pu, I_out=683.3667 A, V_DT=1.0200 pu, P=126.8441 MW, Q=41.0581 MVar
