cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
4,1780252239.671366,1780252239.671907,1,1.019232,738.433814,0.966900,1
4,1780252239.678252,1780252239.679123,2,1.010322,287.494064,0.915900,1
4,1780252239.684752,1780252239.685182,3,1.006210,444.813380,0.929000,1
4,1780252239.690809,1780252239.691291,4,1.013336,466.636220,0.892200,1
4,1780252239.696800,1780252239.697316,5,1.010111,467.140021,0.973600,1
5,1780252240.696350,1780252240.696898,1,1.021184,887.311323,0.976700,1
5,1780252240.701996,1780252240.702580,2,1.005002,430.082876,0.900500,1
5,1780252240.707902,1780252240.708467,3,1.009519,465.514894,0.942800,1
5,1780252240.714262,1780252240.714843,4,1.004926,515.217501,0.802800,1
5,1780252240.720601,1780252240.721204,5,1.004331,481.231049,0.956200,1
6,1780252241.697131,1780252241.697841,1,1.020916,828.331132,0.970900,1
6,1780252241.702873,1780252241.703529,2,1.011563,440.336648,0.926900,1
6,1780252241.708581,1780252241.709268,3,1.009926,368.224565,0.888700,1
6,1780252241.716353,1780252241.717186,4,1.008017,494.542962,0.845000,1
6,1780252241.723354,1780252241.724044,5,1.008670,501.928841,0.974100,1
7,1780252242.699451,1780252242.700164,1,1.018139,837.657393,0.984200,1
7,1780252242.706948,1780252242.707651,2,1.009968,401.940368,0.958400,1
7,1780252242.713879,1780252242.714697,3,1.010896,409.339308,0.967600,1
7,1780252242.721611,1780252242.722494,4,1.008658,458.431298,0.904000,1
7,1780252242.728950,1780252242.729946,5,1.005438,477.831382,0.972100,1
8,1780252243.697921,1780252243.698480,1,1.017576,911.300471,0.985100,1
8,1780252243.702876,1780252243.703244,2,1.011280,407.565385,0.949500,1
8,1780252243.709258,1780252243.709951,3,1.008145,481.426032,0.932000,1
8,1780252243.715031,1780252243.715667,4,1.003957,523.284276,0.793700,1
8,1780252243.722475,1780252243.723193,5,1.006682,503.007443,0.951800,1
9,1780252244.706316,1780252244.706871,1,1.021492,682.173247,0.951700,1
9,1780252244.713588,1780252244.714137,2,1.006606,320.875102,0.923200,1
9,1780252244.725395,1780252244.726486,3,1.011008,361.585429,0.901000,1
9,1780252244.733246,1780252244.733837,4,1.014322,465.410032,0.894300,1
9,1780252244.743058,1780252244.743729,5,1.007358,464.484581,0.961100,1
10,1780252245.738953,1780252245.739499,1,1.021846,791.749028,0.967700,1
10,1780252245.744250,1780252245.744773,2,1.008642,384.302818,0.929200,1
10,1780252245.749680,1780252245.750293,3,1.006097,410.869985,0.898900,1
10,1780252245.755239,1780252245.755739,4,1.013867,462.418979,0.893200,1
10,1780252245.760105,1780252245.760618,5,1.003627,462.859027,0.987500,1
11,1780252246.744417,1780252246.745047,1,1.024330,754.701079,0.971400,1
11,1780252246.750147,1780252246.750587,2,1.005300,376.222648,0.948700,1
11,1780252246.755152,1780252246.755649,3,1.010072,357.062274,0.945600,1
11,1780252246.760430,1780252246.760894,4,1.006641,459.399390,0.907800,1
11,1780252246.765237,1780252246.765694,5,1.010305,468.069211,0.965200,1
12,1780252247.744462,1780252247.745102,1,1.020737,895.951544,0.984900,1
12,1780252247.755084,1780252247.755527,2,1.014782,436.161876,0.951200,1
12,1780252247.760100,1780252247.760571,3,1.010556,424.721606,0.941600,1
12,1780252247.764914,1780252247.765381,4,1.005295,479.789267,0.870000,1
12,1780252247.769749,1780252247.770227,5,1.009865,497.094436,0.981000,1
13,1780252248.745005,1780252248.745482,1,1.014078,722.582813,0.956500,1
13,1780252248.751196,1780252248.751715,2,1.013527,324.516512,0.902600,1
13,1780252248.757293,1780252248.758196,3,1.008448,401.229292,0.904100,1
13,1780252248.764755,1780252248.765318,4,1.006066,456.781826,0.915000,1
13,1780252248.772005,1780252248.772624,5,1.009656,459.208125,0.987700,1
14,1780252249.746456,1780252249.746962,1,1.020975,902.374746,0.980000,1
14,1780252249.751585,1780252249.752036,2,1.010361,430.351824,0.925200,1
14,1780252249.756758,1780252249.757312,3,1.006015,452.311229,0.915600,1
14,1780252249.762022,1780252249.762632,4,1.013125,518.406865,0.802000,1
14,1780252249.766957,1780252249.767538,5,1.004359,508.219683,0.968400,1
87,1780252524.511586,1780252524.514439,1,1.019023,790.767678,0.914000,1
