cycle_id,ts_sent,bus,V_sent,I_sent,P_bus,Q_bus,power_factor,breaker_actual
1,1780252252.825429,1,1.020000,741.291907,-141.111070,-28.998029,0.979531,1
1,1780252252.825429,2,1.011542,320.906592,60.000000,15.000000,0.970143,1
1,1780252252.825429,3,1.009743,378.419571,70.000000,20.000000,0.961524,1
1,1780252252.825429,4,1.010000,461.882952,-80.000000,-38.726580,0.900085,1
1,1780252252.825429,5,1.006642,494.644234,90.000000,30.000000,0.948683,1
2,1780252252.861949,1,1.020000,804.360270,-151.073882,-40.142854,0.966463,1
2,1780252252.861949,2,1.010061,398.556823,69.182804,33.113699,0.902001,1
2,1780252252.861949,3,1.008550,394.613696,68.250880,33.038210,0.900089,1
2,1780252252.861949,4,1.010000,488.221553,-80.000000,-49.258432,0.851527,1
2,1780252252.861949,5,1.007114,492.662348,92.364712,20.128586,0.977068,1
3,1780252253.862639,1,1.020000,841.937627,-157.965479,-42.638524,0.965448,1
3,1780252253.862639,2,1.009547,440.047820,76.765387,35.653007,0.906955,1
3,1780252253.862639,3,1.008058,428.586237,72.657655,38.685523,0.882682,1
3,1780252253.862639,4,1.010000,509.801014,-80.000000,-56.779331,0.815482,1
3,1780252253.862639,5,1.007131,468.318897,87.186380,21.769191,0.970214,1
4,1780252254.899349,1,1.020000,737.654575,-138.605651,-36.585947,0.966884,1
4,1780252254.899349,2,1.010899,287.950501,50.796079,22.261064,0.915907,1
4,1780252254.899349,3,1.008976,445.120125,79.496533,31.657385,0.929045,1
4,1780252254.899349,4,1.010000,465.985315,-80.000000,-40.505549,0.892161,1
4,1780252254.899349,5,1.007200,466.769034,87.204406,20.456943,0.973571,1
5,1780252255.855930,1,1.020000,887.031306,-168.374014,-36.956950,0.976748,1
5,1780252255.855930,2,1.009695,428.797316,74.282914,35.867403,0.900520,1
5,1780252255.855930,3,1.008253,464.754561,84.174578,29.753530,0.942833,1
5,1780252255.855930,4,1.010000,517.847389,-80.000000,-59.414516,0.802811,1
5,1780252255.855930,5,1.006829,481.945800,88.402505,27.055641,0.956219,1
6,1780252256.859831,1,1.020000,828.405488,-156.302664,-38.561184,0.970890,1
6,1780252256.859831,2,1.010011,441.306300,78.716392,31.866097,0.926928,1
6,1780252256.859831,3,1.008590,367.631390,62.782375,32.389276,0.888704,1
6,1780252256.859831,4,1.010000,491.969929,-80.000000,-50.620595,0.845039,1
6,1780252256.859831,5,1.007010,500.129602,93.474944,21.676946,0.974149,1
7,1780252257.888061,1,1.020000,838.769081,-160.430226,-28.847138,0.984216,1
7,1780252257.888061,2,1.010799,402.096055,74.213848,22.108274,0.958379,1
7,1780252257.888061,3,1.009240,408.954208,76.086843,19.860603,0.967580,1
7,1780252257.888061,4,1.010000,459.883204,-80.000000,-37.835054,0.903999,1
7,1780252257.888061,5,1.007117,475.998211,88.785344,21.431179,0.972082,1
8,1780252258.872713,1,1.020000,910.923821,-174.390578,-30.428815,0.985116,1
8,1780252258.872713,2,1.010099,409.802398,74.882140,24.750054,0.949482,1
8,1780252258.872713,3,1.008389,479.476223,85.851207,33.398299,0.931962,1
8,1780252258.872713,4,1.010000,523.765384,-80.000000,-61.305342,0.793740,1
8,1780252258.872713,5,1.006619,504.224864,92.045718,29.650982,0.951833,1
9,1780252259.861911,1,1.020000,680.524637,-120.003472,-55.582035,0.907395,1
9,1780252259.861911,2,1.009778,320.021176,56.836948,23.669206,0.923151,1
9,1780252259.861911,3,1.007520,360.772094,62.393759,30.050384,0.900951,0
10,1780252260.849435,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
11,1780252261.870651,1,1.020000,378.528869,-69.655988,-23.651329,0.946904,1
11,1780252261.870651,2,1.014895,378.528869,69.441062,23.135506,0.948730,0
12,1780252262.875963,1,1.020000,433.541068,-79.967637,-26.527178,0.949141,1
12,1780252262.875963,2,1.014203,433.541068,79.685701,25.850530,0.951200,0
13,1780252263.878063,1,1.020000,325.825093,-57.030685,-27.511269,0.900680,1
13,1780252263.878063,2,1.015024,325.825093,56.871442,27.129086,0.902568,0
14,1780252264.885309,1,1.020000,540.511238,-76.573735,-71.903008,0.728990,1
14,1780252264.885309,2,1.009917,428.559344,76.291029,31.297566,0.925174,1
14,1780252264.885309,3,1.008301,452.902630,79.663160,34.982853,0.915607,1
14,1780252264.885309,4,1.010000,416.284061,-80.000000,4.117546,0.998678,0
15,1780252265.893080,1,1.020000,771.599442,-135.798686,-63.589366,0.905629,1
15,1780252265.893080,2,1.008372,327.938232,57.946405,24.732171,0.919730,1
15,1780252265.893080,3,1.005609,443.825338,76.841044,36.418407,0.903647,0
