timestamp,run,fase,layer,source,destination,latency_ms
2026-06-01 01:31:44.035425,1,attack,field,h2,h3,4.55
2026-06-01 01:31:44.035457,1,attack,field,h2,h3,0.584
2026-06-01 01:31:44.035464,1,attack,field,h2,h3,0.306
2026-06-01 01:31:44.035470,1,attack,field,h2,h3,0.14
2026-06-01 01:31:44.035474,1,attack,field,h2,h3,0.178
2026-06-01 01:31:44.035478,1,attack,field,h2,h3,0.173
2026-06-01 01:31:44.035482,1,attack,field,h2,h3,0.135
2026-06-01 01:31:44.035486,1,attack,field,h2,h3,0.498
2026-06-01 01:31:44.035490,1,attack,field,h2,h3,0.166
2026-06-01 01:31:44.035648,1,attack,field,h2,h3,0.254
2026-06-01 01:31:44.035655,1,attack,field,h2,h3,0.157
2026-06-01 01:31:44.035660,1,attack,field,h2,h3,0.131
2026-06-01 01:31:44.035664,1,attack,field,h2,h3,0.19
2026-06-01 01:31:44.035669,1,attack,field,h2,h3,0.137
2026-06-01 01:31:44.035673,1,attack,field,h2,h3,0.149
2026-06-01 01:31:44.035677,1,attack,field,h2,h3,0.134
2026-06-01 01:31:44.035681,1,attack,field,h2,h3,0.145
2026-06-01 01:31:44.035685,1,attack,field,h2,h3,0.15
2026-06-01 01:31:44.035689,1,attack,field,h2,h3,0.154
2026-06-01 01:31:44.035693,1,attack,field,h2,h3,0.369
2026-06-01 01:32:04.675215,1,attack,system,h3,h4,5.01
2026-06-01 01:32:04.675236,1,attack,system,h3,h4,0.499
2026-06-01 01:32:04.675241,1,attack,system,h3,h4,0.155
2026-06-01 01:32:04.675244,1,attack,system,h3,h4,0.168
2026-06-01 01:32:04.675247,1,attack,system,h3,h4,0.079
2026-06-01 01:32:04.675250,1,attack,system,h3,h4,0.104
2026-06-01 01:32:04.675253,1,attack,system,h3,h4,0.083
2026-06-01 01:32:04.675257,1,attack,system,h3,h4,0.267
2026-06-01 01:32:04.675260,1,attack,system,h3,h4,0.089
2026-06-01 01:32:04.675263,1,attack,system,h3,h4,0.149
2026-06-01 01:32:04.675266,1,attack,system,h3,h4,0.108
2026-06-01 01:32:04.675269,1,attack,system,h3,h4,0.161
2026-06-01 01:32:04.675272,1,attack,system,h3,h4,0.15
2026-06-01 01:32:04.675275,1,attack,system,h3,h4,0.111
2026-06-01 01:32:04.675278,1,attack,system,h3,h4,1.3
2026-06-01 01:32:04.675281,1,attack,system,h3,h4,0.087
2026-06-01 01:32:04.675284,1,attack,system,h3,h4,0.06
2026-06-01 01:32:04.675288,1,attack,system,h3,h4,0.136
2026-06-01 01:32:04.675291,1,attack,system,h3,h4,0.152
2026-06-01 01:32:04.675294,1,attack,system,h3,h4,0.082
2026-06-01 01:33:15.777200,2,attack,field,h2,h3,4.08
2026-06-01 01:33:15.777268,2,attack,field,h2,h3,0.76
2026-06-01 01:33:15.777279,2,attack,field,h2,h3,0.113
2026-06-01 01:33:15.777286,2,attack,field,h2,h3,0.546
2026-06-01 01:33:15.777291,2,attack,field,h2,h3,0.313
2026-06-01 01:33:15.777297,2,attack,field,h2,h3,2.59
2026-06-01 01:33:15.777302,2,attack,field,h2,h3,0.275
2026-06-01 01:33:15.777307,2,attack,field,h2,h3,0.142
2026-06-01 01:33:15.777312,2,attack,field,h2,h3,0.17
2026-06-01 01:33:15.777317,2,attack,field,h2,h3,0.136
2026-06-01 01:33:15.777321,2,attack,field,h2,h3,0.119
2026-06-01 01:33:15.777327,2,attack,field,h2,h3,0.68
2026-06-01 01:33:15.777332,2,attack,field,h2,h3,0.211
2026-06-01 01:33:15.777337,2,attack,field,h2,h3,0.187
2026-06-01 01:33:15.777342,2,attack,field,h2,h3,0.251
2026-06-01 01:33:15.777347,2,attack,field,h2,h3,0.245
2026-06-01 01:33:15.777352,2,attack,field,h2,h3,0.213
2026-06-01 01:33:15.777356,2,attack,field,h2,h3,0.555
2026-06-01 01:33:15.777361,2,attack,field,h2,h3,0.192
2026-06-01 01:33:15.777367,2,attack,field,h2,h3,0.199
2026-06-01 01:33:36.260601,2,attack,system,h3,h4,20.0
2026-06-01 01:33:36.260633,2,attack,system,h3,h4,0.588
2026-06-01 01:33:36.260642,2,attack,system,h3,h4,0.127
2026-06-01 01:33:36.260648,2,attack,system,h3,h4,0.142
