cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
0,1780254720.198390,1780254720.198496,1,0.000000,0.000000,0.000000,0.000000,0
0,1780254720.198820,1780254720.198943,2,0.000000,0.000000,0.000000,0.000000,0
0,1780254720.199128,1780254720.199215,3,0.000000,0.000000,0.000000,0.000000,0
0,1780254720.199366,1780254720.199446,4,0.000000,0.000000,0.000000,0.000000,0
0,1780254720.199589,1780254720.199668,5,0.000000,0.000000,0.000000,0.000000,0
0,1780254721.201615,1780254721.201726,1,0.000000,0.000000,0.000000,0.000000,0
0,1780254721.202028,1780254721.202144,2,0.000000,0.000000,0.000000,0.000000,0
0,1780254721.202317,1780254721.202420,3,0.000000,0.000000,0.000000,0.000000,0
0,1780254721.202586,1780254721.202684,4,0.000000,0.000000,0.000000,0.000000,0
0,1780254721.202842,1780254721.202966,5,0.000000,0.000000,0.000000,0.000000,0
4,1780254722.451462,1780254722.451559,1,1.019000,738.433333,138.618230,36.580019,1
4,1780254722.452856,1780254722.452981,2,1.010000,287.466667,50.665256,22.204786,1
4,1780254722.453126,1780254722.453209,3,1.006000,444.800000,79.201204,31.550872,1
4,1780254722.453330,1780254722.453407,4,1.013000,466.633333,80.352748,40.675361,1
4,1780254722.453524,1780254722.453598,5,1.010000,467.133333,87.517743,20.518569,1
5,1780254723.454561,1780254723.454672,1,1.021000,887.300000,168.581814,37.042294,1
5,1780254723.455438,1780254723.455563,2,1.005000,430.066667,74.154733,35.809696,1
5,1780254723.456655,1780254723.456773,3,1.009000,465.500000,84.369162,29.831578,1
5,1780254723.458149,1780254723.458247,4,1.004000,515.200000,79.117079,58.761126,1
5,1780254723.458392,1780254723.458472,5,1.004000,481.200000,88.015950,26.943644,1
6,1780254724.456115,1780254724.456236,1,1.020000,828.300000,156.284406,38.549605,1
6,1780254724.458186,1780254724.458303,2,1.011000,440.333333,78.617443,31.832761,1
6,1780254724.460171,1780254724.460293,3,1.009000,368.200000,62.904750,32.453186,1
6,1780254724.461332,1780254724.461445,4,1.008000,494.533333,80.253896,50.789443,1
6,1780254724.461616,1780254724.461715,5,1.008000,501.900000,93.893296,21.795433,1
7,1780254725.456781,1780254725.456924,1,1.018000,837.633333,159.896296,28.765790,1
7,1780254725.458376,1780254725.458498,2,1.009000,401.933333,74.053452,22.054432,1
7,1780254725.459615,1780254725.459725,3,1.010000,409.333333,76.216264,19.888073,1
7,1780254725.460535,1780254725.460633,4,1.008000,458.400000,79.584205,37.638087,1
7,1780254725.461287,1780254725.461410,5,1.005000,477.800000,88.935769,21.460117,1
8,1780254726.595315,1780254726.596232,1,1.017000,911.300000,173.946604,30.368264,1
8,1780254726.597171,1780254726.597303,2,1.011000,407.533333,74.535398,24.630596,1
8,1780254726.597502,1780254726.597620,3,1.008000,481.400000,86.165982,33.510272,1
8,1780254726.598634,1780254726.598763,4,1.003000,523.266667,79.365854,60.827761,1
8,1780254726.602842,1780254726.603002,5,1.006000,503.000000,91.762445,29.570622,1
9,1780254727.620585,1780254727.620759,1,1.021000,682.166667,126.290190,40.742685,1
9,1780254727.621382,1780254727.621517,2,1.006000,320.866667,56.776902,23.635714,1
9,1780254727.622294,1780254727.622429,3,1.011000,361.566667,62.750566,30.213533,1
9,1780254727.622647,1780254727.622758,4,1.014000,465.400000,80.408299,40.232732,1
9,1780254727.622938,1780254727.623058,5,1.007000,464.466667,85.645769,24.612856,1
10,1780254728.622288,1780254728.622429,1,1.021000,791.733333,149.038587,38.827434,1
10,1780254728.622794,1780254728.622929,2,1.008000,384.300000,68.579360,27.276553,1
10,1780254728.623122,1780254728.623212,3,1.006000,410.866667,70.788642,34.504745,1
10,1780254728.623349,1780254728.623458,4,1.013000,462.400000,79.713026,40.129566,1
10,1780254728.623628,1780254728.623713,5,1.003000,462.833333,87.340561,13.940792,1
11,1780254729.630510,1780254729.630968,1,1.024000,754.700000,143.029532,34.962140,1
11,1780254729.631843,1780254729.631968,2,1.005000,376.200000,68.338756,22.775575,1
11,1780254729.632149,1780254729.632257,3,1.010000,357.033333,64.966716,22.351655,1
11,1780254729.632424,1780254729.632525,4,1.006000,459.366667,79.928369,36.926883,1
11,1780254729.632701,1780254729.632810,5,1.010000,468.066667,86.936012,23.554582,1
12,1780254730.631536,1780254730.631684,1,1.020000,895.933333,171.483096,30.143034,1
12,1780254730.632087,1780254730.632204,2,1.014000,436.133333,80.146099,25.999881,1
12,1780254730.632378,1780254730.632487,3,1.010000,424.700000,76.952618,27.519672,1
12,1780254730.632654,1780254730.632772,4,1.005000,479.766667,79.922433,45.294130,1
12,1780254730.632936,1780254730.633039,5,1.009000,497.066667,93.740686,18.538652,1
89,1780255008.290929,1780255008.291099,1,1.022000,561.500000,105.058734,30.274018,0
89,1780255008.292625,1780255008.292752,2,1.014000,371.733333,69.123149,19.482435,0
89,1780255008.292936,1780255008.293045,3,1.009000,340.766667,60.825193,24.325649,0
89,1780255008.293211,1780255008.293310,4,1.006000,469.166667,79.412401,42.191250,1
89,1780255008.293473,1780255008.293572,5,1.006000,766.266667,141.582071,39.052894,1
90,1780255009.313537,1780255009.313626,1,1.019000,0.000000,105.058734,30.274018,1
90,1780255009.313840,1780255009.313937,2,1.016000,372.266667,69.358854,19.548869,1
90,1780255009.314132,1780255009.314215,3,1.006000,507.933333,90.394065,36.151045,0
90,1780255009.314349,1780255009.314445,4,1.009000,704.600000,119.618128,63.552270,1
90,1780255009.314580,1780255009.314661,5,1.007000,772.300000,142.838688,39.399509,1
91,1780255010.319778,1780255010.319921,1,1.023000,1121.900000,206.705843,71.329643,1
91,1780255010.320204,1780255010.320333,2,1.007000,383.100000,70.664136,20.224215,0
91,1780255010.320524,1780255010.320975,3,1.000000,547.800000,97.554562,37.096996,0
91,1780255010.321363,1780255010.321481,4,1.007000,706.000000,119.618229,63.552323,1
91,1780255010.321653,1780255010.321754,5,1.008000,511.700000,94.734092,26.130713,1
92,1780255011.321675,1780255011.321837,1,1.021000,394.466667,74.877300,16.779095,1
92,1780255011.323071,1780255011.323196,2,1.009000,394.966667,74.197348,16.121210,1
92,1780255011.323383,1780255011.323519,3,1.011000,539.300000,97.097295,36.923112,1
92,1780255011.323700,1780255011.323800,4,1.012000,471.033333,80.203875,42.611754,1
92,1780255011.323965,1780255011.324087,5,1.008000,514.400000,95.233959,26.268592,1
93,1780255012.326887,1780255012.327029,1,1.023000,1369.933333,261.216396,55.322822,1
93,1780255012.327581,1780255012.327701,2,1.012000,658.133333,118.228943,46.092250,1
93,1780255012.327885,1780255012.328162,3,1.010000,477.066667,81.410317,42.426764,0
93,1780255012.328358,1780255012.328458,4,1.009000,789.066667,120.472538,92.175667,1
93,1780255012.328620,1780255012.328717,5,1.008000,736.433333,137.910216,31.364726,1
94,1780255013.329327,1780255013.329456,1,1.016000,762.133333,138.810221,49.965852,0
94,1780255013.330034,1780255013.330172,2,1.010000,288.200000,53.340052,15.181955,0
94,1780255013.330373,1780255013.330476,3,1.008000,478.033333,85.746994,32.799878,0
94,1780255013.330645,1780255013.330809,4,1.009000,525.466667,80.226812,61.382951,1
94,1780255013.330992,1780255013.331099,5,1.005000,490.400000,91.562785,20.823995,1
95,1780255014.330719,1780255014.330830,1,1.022000,0.066667,138.810221,49.965852,1
95,1780255014.331116,1780255014.331225,2,1.009000,285.933333,52.868141,15.047637,1
95,1780255014.331400,1780255014.331505,3,1.006000,478.200000,85.606697,32.746212,1
95,1780255014.331673,1780255014.331772,4,1.011000,521.633333,79.799411,61.055939,1
95,1780255014.331935,1780255014.332034,5,1.008000,491.500000,92.042101,20.933005,1
96,1780255015.333211,1780255015.333329,1,1.016000,793.566667,150.833461,29.094480,1
96,1780255015.333689,1780255015.333814,2,1.010000,405.200000,75.306302,20.217472,0
96,1780255015.334081,1780255015.334201,3,1.012000,341.733333,63.682928,16.911828,0
96,1780255015.334385,1780255015.334534,4,1.007000,440.866667,79.881466,27.811233,1
96,1780255015.334756,1780255015.334863,5,1.004000,487.633333,91.701852,17.076390,1
97,1780255016.335696,1780255016.335807,1,1.018000,395.933333,71.632762,27.675868,0
97,1780255016.336063,1780255016.336161,2,1.012000,395.366667,71.261110,27.075452,0
97,1780255016.336318,1780255016.336408,3,1.016000,335.933333,62.849522,16.690506,0
97,1780255016.336569,1780255016.336653,4,1.008000,440.966667,79.978929,27.845166,1
