cmd_id,origin_cycle,ts_sent,bus,breaker_DT
1,6,1780254739.752176,1,1
1,6,1780254739.752176,2,1
1,6,1780254739.752176,3,0
1,6,1780254739.752176,4,0
1,6,1780254739.752176,5,1
2,7,1780254740.747533,1,0
2,7,1780254740.747533,2,0
2,7,1780254740.747533,3,0
2,7,1780254740.747533,4,0
2,7,1780254740.747533,5,1
3,8,1780254741.784734,1,1
3,8,1780254741.784734,2,0
3,8,1780254741.784734,3,1
3,8,1780254741.784734,4,0
3,8,1780254741.784734,5,1
4,9,1780254742.786454,1,1
4,9,1780254742.786454,2,0
4,9,1780254742.786454,3,0
4,9,1780254742.786454,4,0
4,9,1780254742.786454,5,1
5,10,1780254743.789119,1,1
5,10,1780254743.789119,2,1
5,10,1780254743.789119,3,1
5,10,1780254743.789119,4,0
5,10,1780254743.789119,5,1
6,11,1780254744.823001,1,1
6,11,1780254744.823001,2,1
6,11,1780254744.823001,3,0
6,11,1780254744.823001,4,0
6,11,1780254744.823001,5,1
7,12,1780254745.890327,1,1
7,12,1780254745.890327,2,1
7,12,1780254745.890327,3,1
7,12,1780254745.890327,4,1
7,12,1780254745.890327,5,1
8,13,1780254746.895477,1,1
8,13,1780254746.895477,2,1
8,13,1780254746.895477,3,1
8,13,1780254746.895477,4,0
8,13,1780254746.895477,5,1
9,14,1780254747.898920,1,0
9,14,1780254747.898920,2,0
9,14,1780254747.898920,3,0
9,14,1780254747.898920,4,1
9,14,1780254747.898920,5,1
10,15,1780254748.933617,1,1
10,15,1780254748.933617,2,1
10,15,1780254748.933617,3,1
10,15,1780254748.933617,4,1
10,15,1780254748.933617,5,1
11,16,1780254749.917127,1,1
11,16,1780254749.917127,2,0
11,16,1780254749.917127,3,0
11,16,1780254749.917127,4,1
11,16,1780254749.917127,5,1
12,17,1780254750.939941,1,0
12,17,1780254750.939941,2,0
12,17,1780254750.939941,3,0
12,17,1780254750.939941,4,0
12,17,1780254750.939941,5,1
13,18,1780254751.972330,1,1
13,18,1780254751.972330,2,1
13,18,1780254751.972330,3,0
13,18,1780254751.972330,4,1
13,18,1780254751.972330,5,1
14,19,1780254752.958784,1,1
