cmd_id,origin_cycle,ts_received,ts_sent,bus,breaker_DT
0,0,1780254827.390523,1780254827.392844,1,1
0,0,1780254827.390523,1780254827.392844,2,1
0,0,1780254827.390523,1780254827.392844,3,1
0,0,1780254827.390523,1780254827.392844,4,1
0,0,1780254827.390523,1780254827.392844,5,1
0,0,1780254828.412143,1780254828.413593,1,1
0,0,1780254828.412143,1780254828.413593,2,1
0,0,1780254828.412143,1780254828.413593,3,1
0,0,1780254828.412143,1780254828.413593,4,1
0,0,1780254828.412143,1780254828.413593,5,1
0,0,1780254829.424741,1780254829.427391,1,1
0,0,1780254829.424741,1780254829.427391,2,1
0,0,1780254829.424741,1780254829.427391,3,1
0,0,1780254829.424741,1780254829.427391,4,1
0,0,1780254829.424741,1780254829.427391,5,1
0,0,1780254830.564182,1780254830.569149,1,1
0,0,1780254830.564182,1780254830.569149,2,1
0,0,1780254830.564182,1780254830.569149,3,1
0,0,1780254830.564182,1780254830.569149,4,1
0,0,1780254830.564182,1780254830.569149,5,1
0,0,1780254831.603005,1780254831.608602,1,1
0,0,1780254831.603005,1780254831.608602,2,1
0,0,1780254831.603005,1780254831.608602,3,1
0,0,1780254831.603005,1780254831.608602,4,1
0,0,1780254831.603005,1780254831.608602,5,1
1,6,1780254832.604337,1780254832.606383,1,0
1,6,1780254832.604337,1780254832.606383,2,0
1,6,1780254832.604337,1780254832.606383,3,0
1,6,1780254832.604337,1780254832.606383,4,0
1,6,1780254832.604337,1780254832.606383,5,1
2,7,1780254833.605646,1780254833.608262,1,1
2,7,1780254833.605646,1780254833.608262,2,1
2,7,1780254833.605646,1780254833.608262,3,1
2,7,1780254833.605646,1780254833.608262,4,1
2,7,1780254833.605646,1780254833.608262,5,1
3,8,1780254834.610642,1780254834.614918,1,1
3,8,1780254834.610642,1780254834.614918,2,0
3,8,1780254834.610642,1780254834.614918,3,0
3,8,1780254834.610642,1780254834.614918,4,0
3,8,1780254834.610642,1780254834.614918,5,1
4,9,1780254835.634417,1780254835.639180,1,0
4,9,1780254835.634417,1780254835.639180,2,0
4,9,1780254835.634417,1780254835.639180,3,0
4,9,1780254835.634417,1780254835.639180,4,1
4,9,1780254835.634417,1780254835.639180,5,1
5,10,1780254836.637508,1780254836.642311,1,1
5,10,1780254836.637508,1780254836.642311,2,1
5,10,1780254836.637508,1780254836.642311,3,0
5,10,1780254836.637508,1780254836.642311,4,0
5,10,1780254836.637508,1780254836.642311,5,1
6,11,1780254837.675039,1780254837.681184,1,1
6,11,1780254837.675039,1780254837.681184,2,0
6,11,1780254837.675039,1780254837.681184,3,0
6,11,1780254837.675039,1780254837.681184,4,1
6,11,1780254837.675039,1780254837.681184,5,1
7,12,1780254838.674576,1780254838.676804,1,0
7,12,1780254838.674576,1780254838.676804,2,1
7,12,1780254838.674576,1780254838.676804,3,1
7,12,1780254838.674576,1780254838.676804,4,0
7,12,1780254838.674576,1780254838.676804,5,1
8,13,1780254839.674886,1780254839.680352,1,1
8,13,1780254839.674886,1780254839.680352,2,1
8,13,1780254839.674886,1780254839.680352,3,0
8,13,1780254839.674886,1780254839.680352,4,1
8,13,1780254839.674886,1780254839.680352,5,1
9,14,1780254840.695053,1780254840.700470,1,1
9,14,1780254840.695053,1780254840.700470,2,1
9,14,1780254840.695053,1780254840.700470,3,1
9,14,1780254840.695053,1780254840.700470,4,0
9,14,1780254840.695053,1780254840.700470,5,1
10,15,1780254841.703933,1780254841.709957,1,1
10,15,1780254841.703933,1780254841.709957,2,1
10,15,1780254841.703933,1780254841.709957,3,1
10,15,1780254841.703933,1780254841.709957,4,1
10,15,1780254841.703933,1780254841.709957,5,1
11,16,1780254842.713834,1780254842.716607,1,1
11,16,1780254842.713834,1780254842.716607,2,0
11,16,1780254842.713834,1780254842.716607,3,0
11,16,1780254842.713834,1780254842.716607,4,1
11,16,1780254842.713834,1780254842.716607,5,1
12,17,1780254843.884164,1780254843.885844,1,0
12,17,1780254843.884164,1780254843.885844,2,0
12,17,1780254843.884164,1780254843.885844,3,0
12,17,1780254843.884164,1780254843.885844,4,1
12,17,1780254843.884164,1780254843.885844,5,1
13,18,1780254844.893306,1780254844.899623,1,1
13,18,1780254844.893306,1780254844.899623,2,1
13,18,1780254844.893306,1780254844.899623,3,0
13,18,1780254844.893306,1780254844.899623,4,1
13,18,1780254844.893306,1780254844.899623,5,1
14,19,1780254845.898848,1780254845.903641,1,1
14,19,1780254845.898848,1780254845.903641,2,0
14,19,1780254845.898848,1780254845.903641,3,0
14,19,1780254845.898848,1780254845.903641,4,1
14,19,1780254845.898848,1780254845.903641,5,1
15,20,1780254846.899508,1780254846.903496,1,1
15,20,1780254846.899508,1780254846.903496,2,1
15,20,1780254846.899508,1780254846.903496,3,1
15,20,1780254846.899508,1780254846.903496,4,1
15,20,1780254846.899508,1780254846.903496,5,1
16,21,1780254847.911021,1780254847.914165,1,1
16,21,1780254847.911021,1780254847.914165,2,1
16,21,1780254847.911021,1780254847.914165,3,0
16,21,1780254847.911021,1780254847.914165,4,1
16,21,1780254847.911021,1780254847.914165,5,1
17,22,1780254849.095013,1780254849.097401,1,0
17,22,1780254849.095013,1780254849.097401,2,0
17,22,1780254849.095013,1780254849.097401,3,0
17,22,1780254849.095013,1780254849.097401,4,0
17,22,1780254849.095013,1780254849.097401,5,1
18,23,1780254850.096763,1780254850.099854,1,1
18,23,1780254850.096763,1780254850.099854,2,1
18,23,1780254850.096763,1780254850.099854,3,1
18,23,1780254850.096763,1780254850.099854,4,1
18,23,1780254850.096763,1780254850.099854,5,1
19,24,1780254851.104190,1780254851.106600,1,1
19,24,1780254851.104190,1780254851.106600,2,0
19,24,1780254851.104190,1780254851.106600,3,0
19,24,1780254851.104190,1780254851.106600,4,0
19,24,1780254851.104190,1780254851.106600,5,1
20,25,1780254852.224307,1780254852.227231,1,0
20,25,1780254852.224307,1780254852.227231,2,0
20,25,1780254852.224307,1780254852.227231,3,0
20,25,1780254852.224307,1780254852.227231,4,0
20,25,1780254852.224307,1780254852.227231,5,1
21,26,1780254853.227694,1780254853.231228,1,1
21,26,1780254853.227694,1780254853.231228,2,1
21,26,1780254853.227694,1780254853.231228,3,0
21,26,1780254853.227694,1780254853.231228,4,0
21,26,1780254853.227694,1780254853.231228,5,1
22,27,1780254854.229297,1780254854.231860,1,1
22,27,1780254854.229297,1780254854.231860,2,0
22,27,1780254854.229297,1780254854.231860,3,0
22,27,1780254854.229297,1780254854.231860,4,0
22,27,1780254854.229297,1780254854.231860,5,1
23,28,1780254855.243039,1780254855.246663,1,1
23,28,1780254855.243039,1780254855.246663,2,1
23,28,1780254855.243039,1780254855.246663,3,1
23,28,1780254855.243039,1780254855.246663,4,0
23,28,1780254855.243039,1780254855.246663,5,1
24,29,1780254856.249532,1780254856.256078,1,1
24,29,1780254856.249532,1780254856.256078,2,1
24,29,1780254856.249532,1780254856.256078,3,0
24,29,1780254856.249532,1780254856.256078,4,0
24,29,1780254856.249532,1780254856.256078,5,1
25,30,1780254857.264800,1780254857.269373,1,1
25,30,1780254857.264800,1780254857.269373,2,1
25,30,1780254857.264800,1780254857.269373,3,1
25,30,1780254857.264800,1780254857.269373,4,1
25,30,1780254857.264800,1780254857.269373,5,1
26,31,1780254858.276057,1780254858.283728,1,1
26,31,1780254858.276057,1780254858.283728,2,1
26,31,1780254858.276057,1780254858.283728,3,1
26,31,1780254858.276057,1780254858.283728,4,0
26,31,1780254858.276057,1780254858.283728,5,1
27,32,1780254859.277882,1780254859.284279,1,0
27,32,1780254859.277882,1780254859.284279,2,0
27,32,1780254859.277882,1780254859.284279,3,0
27,32,1780254859.277882,1780254859.284279,4,1
27,32,1780254859.277882,1780254859.284279,5,1
28,33,1780254860.283620,1780254860.285966,1,1
28,33,1780254860.283620,1780254860.285966,2,1
28,33,1780254860.283620,1780254860.285966,3,0
28,33,1780254860.283620,1780254860.285966,4,1
28,33,1780254860.283620,1780254860.285966,5,1
29,34,1780254861.284163,1780254861.285505,1,1
29,34,1780254861.284163,1780254861.285505,2,0
29,34,1780254861.284163,1780254861.285505,3,0
29,34,1780254861.284163,1780254861.285505,4,1
29,34,1780254861.284163,1780254861.285505,5,1
30,35,1780254862.422642,1780254862.424482,1,1
30,35,1780254862.422642,1780254862.424482,2,1
30,35,1780254862.422642,1780254862.424482,3,1
30,35,1780254862.422642,1780254862.424482,4,1
30,35,1780254862.422642,1780254862.424482,5,1
31,36,1780254863.439824,1780254863.444828,1,1
31,36,1780254863.439824,1780254863.444828,2,1
31,36,1780254863.439824,1780254863.444828,3,0
31,36,1780254863.439824,1780254863.444828,4,1
31,36,1780254863.439824,1780254863.444828,5,1
32,37,1780254864.447103,1780254864.452941,1,1
32,37,1780254864.447103,1780254864.452941,2,0
32,37,1780254864.447103,1780254864.452941,3,0
32,37,1780254864.447103,1780254864.452941,4,1
32,37,1780254864.447103,1780254864.452941,5,1
33,38,1780254865.462572,1780254865.464494,1,1
33,38,1780254865.462572,1780254865.464494,2,1
33,38,1780254865.462572,1780254865.464494,3,1
33,38,1780254865.462572,1780254865.464494,4,1
33,38,1780254865.462572,1780254865.464494,5,1
34,39,1780254866.462346,1780254866.466285,1,1
34,39,1780254866.462346,1780254866.466285,2,1
34,39,1780254866.462346,1780254866.466285,3,0
34,39,1780254866.462346,1780254866.466285,4,1
34,39,1780254866.462346,1780254866.466285,5,1
35,40,1780254867.463185,1780254867.466084,1,1
35,40,1780254867.463185,1780254867.466084,2,1
35,40,1780254867.463185,1780254867.466084,3,1
35,40,1780254867.463185,1780254867.466084,4,1
35,40,1780254867.463185,1780254867.466084,5,1
36,41,1780254868.463593,1780254868.473159,1,0
36,41,1780254868.463593,1780254868.473159,2,0
36,41,1780254868.463593,1780254868.473159,3,1
36,41,1780254868.463593,1780254868.473159,4,1
36,41,1780254868.463593,1780254868.473159,5,1
37,42,1780254869.465301,1780254869.468546,1,0
37,42,1780254869.465301,1780254869.468546,2,0
37,42,1780254869.465301,1780254869.468546,3,0
37,42,1780254869.465301,1780254869.468546,4,1
37,42,1780254869.465301,1780254869.468546,5,1
38,43,1780254870.469950,1780254870.475640,1,1
38,43,1780254870.469950,1780254870.475640,2,0
38,43,1780254870.469950,1780254870.475640,3,1
38,43,1780254870.469950,1780254870.475640,4,1
38,43,1780254870.469950,1780254870.475640,5,1
39,44,1780254871.472953,1780254871.479832,1,1
39,44,1780254871.472953,1780254871.479832,2,0
39,44,1780254871.472953,1780254871.479832,3,0
39,44,1780254871.472953,1780254871.479832,4,1
39,44,1780254871.472953,1780254871.479832,5,1
40,45,1780254872.513216,1780254872.518722,1,1
40,45,1780254872.513216,1780254872.518722,2,1
40,45,1780254872.513216,1780254872.518722,3,1
40,45,1780254872.513216,1780254872.518722,4,1
40,45,1780254872.513216,1780254872.518722,5,1
41,46,1780254873.514637,1780254873.519212,1,1
41,46,1780254873.514637,1780254873.519212,2,1
41,46,1780254873.514637,1780254873.519212,3,0
41,46,1780254873.514637,1780254873.519212,4,1
41,46,1780254873.514637,1780254873.519212,5,1
42,47,1780254874.530675,1780254874.533363,1,0
42,47,1780254874.530675,1780254874.533363,2,0
42,47,1780254874.530675,1780254874.533363,3,0
42,47,1780254874.530675,1780254874.533363,4,1
42,47,1780254874.530675,1780254874.533363,5,1
43,48,1780254875.540000,1780254875.545599,1,1
43,48,1780254875.540000,1780254875.545599,2,1
43,48,1780254875.540000,1780254875.545599,3,1
43,48,1780254875.540000,1780254875.545599,4,1
43,48,1780254875.540000,1780254875.545599,5,1
44,49,1780254876.771884,1780254876.780417,1,1
44,49,1780254876.771884,1780254876.780417,2,1
44,49,1780254876.771884,1780254876.780417,3,1
44,49,1780254876.771884,1780254876.780417,4,1
44,49,1780254876.771884,1780254876.780417,5,1
45,50,1780254877.810669,1780254877.812186,1,1
45,50,1780254877.810669,1780254877.812186,2,0
45,50,1780254877.810669,1780254877.812186,3,0
45,50,1780254877.810669,1780254877.812186,4,1
45,50,1780254877.810669,1780254877.812186,5,1
46,51,1780254878.811069,1780254878.813311,1,0
46,51,1780254878.811069,1780254878.813311,2,0
46,51,1780254878.811069,1780254878.813311,3,0
46,51,1780254878.811069,1780254878.813311,4,0
46,51,1780254878.811069,1780254878.813311,5,1
47,52,1780254879.811321,1780254879.814203,1,1
47,52,1780254879.811321,1780254879.814203,2,1
47,52,1780254879.811321,1780254879.814203,3,0
47,52,1780254879.811321,1780254879.814203,4,1
47,52,1780254879.811321,1780254879.814203,5,1
48,53,1780254880.821771,1780254880.826279,1,1
48,53,1780254880.821771,1780254880.826279,2,0
48,53,1780254880.821771,1780254880.826279,3,0
48,53,1780254880.821771,1780254880.826279,4,0
48,53,1780254880.821771,1780254880.826279,5,1
49,54,1780254881.856746,1780254881.864291,1,0
49,54,1780254881.856746,1780254881.864291,2,0
49,54,1780254881.856746,1780254881.864291,3,1
49,54,1780254881.856746,1780254881.864291,4,1
49,54,1780254881.856746,1780254881.864291,5,1
50,55,1780254882.858404,1780254882.861763,1,1
50,55,1780254882.858404,1780254882.861763,2,1
50,55,1780254882.858404,1780254882.861763,3,0
50,55,1780254882.858404,1780254882.861763,4,0
50,55,1780254882.858404,1780254882.861763,5,1
51,56,1780254883.859373,1780254883.867885,1,1
51,56,1780254883.859373,1780254883.867885,2,0
51,56,1780254883.859373,1780254883.867885,3,1
51,56,1780254883.859373,1780254883.867885,4,1
51,56,1780254883.859373,1780254883.867885,5,1
52,57,1780254884.860640,1780254884.864595,1,1
52,57,1780254884.860640,1780254884.864595,2,1
52,57,1780254884.860640,1780254884.864595,3,1
52,57,1780254884.860640,1780254884.864595,4,0
52,57,1780254884.860640,1780254884.864595,5,1
53,58,1780254885.862228,1780254885.865623,1,1
53,58,1780254885.862228,1780254885.865623,2,1
53,58,1780254885.862228,1780254885.865623,3,1
53,58,1780254885.862228,1780254885.865623,4,1
53,58,1780254885.862228,1780254885.865623,5,1
54,59,1780254886.863057,1780254886.866495,1,1
54,59,1780254886.863057,1780254886.866495,2,1
54,59,1780254886.863057,1780254886.866495,3,1
