cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
3,1780260519.421351,1,1,1.020000,841.381391,1
3,1780260519.421351,2,2,1.009561,417.493686,1
3,1780260519.421351,3,3,1.008073,183.539801,1
3,1780260519.421351,4,4,1.010000,470.040170,1
3,1780260519.421351,5,,1.007120,0.000000,1
4,1780260519.628461,1,1,1.020000,736.702282,1
4,1780260519.628461,2,2,1.010895,455.279431,1
4,1780260519.628461,3,3,1.008970,107.950374,1
4,1780260519.628461,4,4,1.010000,464.546379,1
4,1780260519.628461,5,,1.007214,0.000000,1
5,1780260519.833605,1,1,1.020000,889.051187,1
5,1780260519.833605,2,2,1.009695,485.712445,1
5,1780260519.833605,3,3,1.008251,173.303982,1
5,1780260519.833605,4,4,1.010000,484.270196,1
5,1780260519.833605,5,,1.006813,0.000000,1
6,1780260520.034468,1,1,1.020000,828.857573,1
6,1780260520.034468,2,2,1.010014,399.981357,1
6,1780260520.034468,3,3,1.008588,164.788659,1
6,1780260520.034468,4,4,1.010000,500.934183,1
6,1780260520.034468,5,,1.007005,0.000000,1
7,1780260520.539923,1,1,1.020000,837.239327,1
7,1780260520.539923,2,2,1.010804,442.880569,1
7,1780260520.539923,3,3,1.009238,93.859206,1
7,1780260520.539923,4,4,1.010000,474.234914,1
7,1780260520.539923,5,,1.007128,0.000000,1
8,1780260521.142220,1,1,1.020000,910.521603,1
8,1780260521.142220,2,2,1.010096,511.132284,1
8,1780260521.142220,3,3,1.008380,173.449537,1
8,1780260521.142220,4,4,1.010000,502.450871,1
8,1780260521.142220,5,,1.006631,0.000000,1
9,1780260522.302051,1,1,1.020000,676.841680,1
9,1780260522.302051,2,2,1.011015,362.084898,1
9,1780260522.302051,3,3,1.009263,80.348246,1
9,1780260522.302051,4,4,1.010000,464.443320,1
9,1780260522.302051,5,,1.007012,0.000000,1
10,1780260523.266319,1,1,1.020000,788.202069,1
10,1780260523.266319,2,2,1.010315,414.900747,1
10,1780260523.266319,3,3,1.008637,139.110639,1
10,1780260523.266319,4,4,1.010000,464.331472,1
10,1780260523.266319,5,,1.007520,0.000000,1
11,1780260524.426992,1,1,1.020000,758.391630,1
11,1780260524.426992,2,2,1.010909,379.563761,1
11,1780260524.426992,3,3,1.009349,79.076697,1
11,1780260524.426992,4,4,1.010000,469.511202,1
11,1780260524.426992,5,,1.007042,0.000000,1
12,1780260525.310158,1,1,1.020000,894.669704,1
12,1780260525.310158,2,2,1.010254,471.379224,1
12,1780260525.310158,3,3,1.008715,154.451991,1
12,1780260525.310158,4,4,1.010000,496.471230,1
12,1780260525.310158,5,,1.007179,0.000000,1
5,1780260534.714126,1,1,1.020000,1080.720807,1
5,1780260534.714126,2,2,1.009700,687.740774,1
5,1780260534.714126,3,3,1.008252,370.966878,1
5,1780260534.714126,4,4,1.010000,703.644923,1
