Waktu;iterasi_ke;bus;i_before;i_after;v_field;v_dt_mitm;v_dt_baseline;breaker_mitm;breaker_baseline;;;
1;1;1;319.620690;319.620690;0.971000;1.049345;1.049345;1;1;;;
1;1;2;184.344828;184.344828;0.952000;1.049200;1.049200;1;1;;;
1;1;3;323.206897;323.206897;1.014000;1.040575;1.040575;1;1;;;
1;1;4;357.551724;357.551724;0.972000;1.039020;1.039020;1;1;;;
1;1;5;88.206897;88.206897;1.030000;1.040787;1.040787;1;1;;;
2;1;1;383.793103;1545.310345;1.030000;1.047385;1.047385;1;1;;;
2;1;2;159.068966;1554.068966;0.984000;1.048768;1.048768;1;1;;;
2;1;3;225.965517;1671.379310;1.045000;1.040825;1.040825;1;1;;;
2;1;4;136.172414;136.172414;0.959000;1.039282;1.039282;1;1;;;
2;1;5;342.034483;342.034483;1.034000;1.041204;1.041204;1;1;;;
3;1;1;383.793103;1545.310345;1.030000;1.036017;1.045479;1;1;;;
3;1;2;159.068966;1554.068966;0.984000;1.040092;1.048675;1;1;;;
3;1;3;225.965517;1671.379310;1.045000;1.037519;1.041288;1;1;;;
3;1;4;136.172414;136.172414;0.959000;1.043484;1.039787;1;1;;;
3;1;5;342.034483;342.034483;1.034000;1.044591;1.041377;1;1;;;
4;1;1;397.241379;1569.448276;1.030000;1.027578;1.044214;1;1;;;
4;1;2;514.724138;1590.724138;1.002000;1.031195;1.048568;1;1;;;
4;1;3;335.241379;1645.448276;0.987000;1.029616;1.041506;1;1;;;
4;1;4;348.965517;1585.275862;1.032000;1.039462;1.040006;1;1;;;
4;1;5;330.379310;1620.517241;1.036000;1.040204;1.041382;1;1;;;
5;1;1;106.068966;1612.344828;1.020000;1.020027;1.043142;1;1;;;
5;1;2;221.517241;1633.103448;0.972000;1.017483;1.046600;1;1;;;
5;1;3;198.931034;198.931034;0.957000;1.009469;1.041037;1;1;;;
5;1;4;219.241379;1659.068966;0.960000;1.009910;1.039704;1;1;;;
5;1;5;245.413793;1599.689655;1.012000;1.011503;1.041127;1;1;;;
6;1;1;182.689655;182.689655;0.987000;1.014885;1.044749;1;1;;;
6;1;2;512.482759;1576.551724;0.976000;1.011108;1.046836;1;1;;;
6;1;3;351.103448;1604.137931;1.014000;1.002247;1.040860;1;1;;;
6;1;4;423.068966;423.068966;0.967000;0.992594;1.039137;1;1;;;
6;1;5;264.068966;264.068966;0.966000;0.994832;1.040617;1;1;;;
7;1;1;182.689655;182.689655;0.987000;1.025708;1.045136;1;1;;;
7;1;2;512.482759;512.482759;0.976000;1.013734;1.045357;1;1;;;
7;1;3;351.103448;351.103448;1.014000;1.007594;1.040063;1;1;;;
7;1;4;423.068966;423.068966;0.967000;1.006391;1.038424;1;1;;;
7;1;5;264.068966;264.068966;0.966000;1.008437;1.040076;1;1;;;
8;1;1;352.655172;1527.379310;1.048000;1.033449;1.044135;1;1;;;
8;1;2;387.344828;1688.241379;1.004000;1.026523;1.045175;1;1;;;
8;1;3;415.551724;1518.655172;1.034000;1.023265;1.040288;1;1;;;
