iterasi_ke,waktu,n_bus,avg_i_before,avg_i_after,avg_v_field,avg_v_dt_mitm,avg_v_dt_baseline,avg_drift_mitm,avg_drift_baseline,avg_breaker_mitm,avg_breaker_baseline,share_injected
1,1,5,254.586207,254.586207,0.987800,1.043785,1.043785,0.055985,0.055985,1.000000,1.000000,0.000000
1,2,5,249.406897,1049.793104,1.010400,1.043493,1.043493,0.034763,0.033093,1.000000,1.000000,0.600000
1,3,5,249.406897,1049.793104,1.010400,1.040341,1.043321,0.032933,0.032921,1.000000,1.000000,0.600000
1,4,5,385.310345,1602.282759,1.017400,1.033611,1.043135,0.017180,0.025735,1.000000,1.000000,1.000000
1,5,5,198.234483,1340.627586,0.984200,1.013678,1.042322,0.029677,0.058122,1.000000,1.000000,0.800000
1,6,5,346.682759,810.103448,0.982000,1.003133,1.042440,0.025834,0.060440,1.000000,1.000000,0.400000
1,7,5,346.682759,346.682759,0.982000,1.012373,1.041811,0.032935,0.059811,1.000000,1.000000,0.000000
1,8,5,294.082759,1582.200000,1.007800,1.026258,1.042220,0.028572,0.034420,1.000000,1.000000,1.000000
1,9,5,294.986207,1600.372414,1.007800,1.008122,1.042472,0.030723,0.034672,1.000000,1.000000,1.000000
1,10,5,255.910345,255.910345,1.002200,0.990855,1.042324,0.022860,0.040124,0.800000,1.000000,0.000000
1,11,5,333.048276,1333.255172,1.008200,1.009445,1.042328,0.048273,0.034128,0.800000,1.000000,0.800000
1,12,5,333.048276,1336.724138,1.008200,1.001735,1.041697,0.050136,0.033497,0.800000,1.000000,0.800000
1,13,5,385.103448,1304.951724,0.980200,0.980353,1.041169,0.032781,0.060969,0.800000,1.000000,0.800000
1,14,5,269.372414,269.372414,1.013400,0.980353,1.040803,0.035896,0.027403,0.800000,1.000000,0.000000
1,15,5,366.627586,1630.331035,0.998200,1.007087,1.041098,0.030301,0.042898,0.800000,1.000000,1.000000
1,16,5,300.110345,1373.400000,0.991400,0.976661,1.040404,0.036875,0.049004,0.800000,1.000000,0.800000
1,17,5,300.110345,300.110345,0.991400,0.983043,1.040655,0.032251,0.049255,0.800000,1.000000,0.000000
1,18,5,327.503448,1314.268966,0.987400,1.008875,1.040739,0.025937,0.053339,0.800000,1.000000,0.800000
1,19,5,282.393103,1569.648276,0.992000,1.001913,1.040789,0.017887,0.048789,0.800000,1.000000,1.000000
1,20,5,308.296552,1307.620690,0.981600,0.974729,1.041155,0.042843,0.059555,0.800000,1.000000,0.800000
1,21,5,302.503448,302.503448,1.004200,0.984429,1.041303,0.021607,0.037103,0.800000,1.000000,0.000000
1,22,5,302.503448,1111.179310,1.004200,1.008123,1.041425,0.018277,0.037225,0.800000,1.000000,0.600000
1,23,5,245.317241,1289.468966,1.013000,1.010235,1.041845,0.022976,0.028845,0.800000,1.000000,0.800000
1,24,5,346.827586,346.827586,1.002600,0.992348,1.042020,0.038255,0.039420,0.600000,1.000000,0.000000
1,25,5,291.103448,1607.986207,1.011000,1.005558,1.041865,0.011344,0.030865,0.600000,1.000000,1.000000
1,26,5,370.310345,1376.234483,0.997000,0.977314,1.041916,0.037829,0.044916,0.600000,1.000000,0.800000
1,27,5,419.503448,897.579310,0.994000,0.971639,1.041402,0.032165,0.047402,0.600000,1.000000,0.400000
1,28,5,419.503448,419.503448,0.994000,0.978648,1.040402,0.023443,0.046402,0.800000,1.000000,0.000000
1,29,5,250.075862,1600.103448,0.997200,1.017739,1.041097,0.034432,0.043897,0.800000,1.000000,1.000000
1,30,5,349.613793,1122.744827,0.990400,0.989754,1.041502,0.025485,0.051102,0.800000,1.000000,0.600000
1,31,5,386.537931,386.537931,0.984000,0.996213,1.041516,0.035417,0.057516,0.800000,1.000000,0.000000
1,32,5,386.537931,1381.613793,0.984000,1.011411,1.041216,0.041396,0.057216,0.800000,1.000000,0.800000
1,33,5,321.931035,1607.386207,1.016200,1.002850,1.041005,0.026722,0.024805,0.800000,1.000000,1.000000
1,34,5,311.751724,1069.758621,0.989400,0.971471,1.041008,0.023665,0.051608,0.800000,1.000000,0.600000
2,1,5,313.000000,1393.579310,0.987000,0.999491,1.041740,0.024842,0.054740,0.600000,1.000000,0.800000
2,2,5,375.993103,1367.048276,0.991200,0.991497,1.041872,0.039716,0.050672,0.600000,1.000000,0.800000
2,3,5,349.110345,349.110345,1.009200,0.969265,1.040995,0.044974,0.031795,0.600000,1.000000,0.000000
2,4,5,331.000000,1313.420690,0.999200,1.003699,1.040605,0.017628,0.041405,0.800000,1.000000,0.800000
2,5,5,471.186207,1380.772414,1.006400,0.995612,1.040339,0.029173,0.033939,0.800000,1.000000,0.800000
2,6,5,292.896552,292.896552,1.012800,0.992817,1.039501,0.019983,0.026701,0.800000,1.000000,0.000000
2,7,5,260.696552,1064.372414,1.004600,1.010859,1.039944,0.038303,0.035344,0.800000,1.000000,0.600000
2,8,5,260.696552,736.841379,1.004600,1.013464,1.039944,0.035410,0.035344,0.800000,1.000000,0.400000
2,9,5,217.648276,1656.813793,1.028800,1.017146,1.040969,0.031111,0.012169,1.000000,1.000000,1.000000
2,10,5,361.806896,361.806896,0.989000,1.001879,1.040477,0.013103,0.051477,1.000000,1.000000,0.000000
2,11,5,319.634483,1363.655173,1.001800,1.020988,1.040144,0.020025,0.038344,1.000000,1.000000,0.800000
2,12,5,272.586207,1358.386207,0.999200,1.009516,1.040545,0.028555,0.041345,1.000000,1.000000,0.800000
2,13,5,272.586207,272.586207,0.999200,1.000626,1.040883,0.026318,0.041683,0.800000,1.000000,0.000000
2,14,5,308.248276,1571.117241,0.995200,1.011914,1.041002,0.030558,0.045802,0.800000,1.000000,1.000000
2,15,5,277.779310,1331.475862,0.998000,0.998759,1.041076,0.025465,0.043076,0.800000,1.000000,0.800000
2,16,5,222.565517,1624.475862,1.004800,0.983351,1.041314,0.028310,0.036514,0.800000,1.000000,1.000000
2,17,5,295.434483,295.434483,0.999600,0.974034,1.041834,0.043691,0.042234,0.600000,1.000000,0.000000
2,18,5,377.565517,1580.468965,0.985600,0.987927,1.042044,0.022041,0.056444,0.600000,1.000000,1.000000
2,19,5,368.006896,1145.303448,0.979200,0.976325,1.041170,0.027123,0.061970,0.600000,1.000000,0.600000
2,20,5,396.600000,396.600000,1.023200,0.960335,1.040568,0.062865,0.017368,0.600000,1.000000,0.000000
2,21,5,299.331034,1024.634483,1.009600,1.005788,1.040473,0.015908,0.030873,0.600000,1.000000,0.600000
2,22,5,224.903448,1124.786207,0.986200,0.989035,1.040921,0.031872,0.054721,0.600000,1.000000,0.600000
2,23,5,360.565517,360.565517,1.003200,1.001301,1.041381,0.021254,0.038181,0.600000,1.000000,0.000000
2,24,5,356.262069,1043.241379,1.000600,1.004774,1.040828,0.021976,0.040228,0.600000,1.000000,0.600000
2,25,5,356.262069,1132.772414,1.000600,1.004416,1.040451,0.021038,0.039851,0.800000,1.000000,0.600000
