waktu,n_iter_combined,n_bus,avg_i_before,avg_i_after,avg_v_field,avg_v_dt_mitm,avg_v_dt_baseline,avg_drift_mitm,avg_drift_baseline,avg_breaker_mitm,avg_breaker_baseline,share_injected
1,3,5.000000,318.701149,1003.800000,0.992533,1.014747,1.041839,0.031819,0.049306,0.800000,1.000000,0.533333
2,3,5.000000,291.441379,888.588506,1.002533,1.009823,1.041790,0.033724,0.039257,0.733333,1.000000,0.466667
3,3,5.000000,321.875862,989.924138,1.003933,1.002163,1.041737,0.038057,0.037804,0.733333,1.000000,0.533333
4,3,5.000000,361.558620,1499.096552,1.001000,1.011398,1.041504,0.020328,0.040504,0.800000,1.000000,0.933333
5,3,5.000000,304.390805,988.383908,1.001667,0.994811,1.041067,0.033353,0.039401,0.800000,1.000000,0.533333
6,3,5.000000,294.443678,811.972414,1.003067,1.003228,1.041080,0.019791,0.038013,0.866667,1.000000,0.400000
7,3,5.000000,289.744828,827.303448,0.989667,1.007524,1.041090,0.032367,0.051423,0.866667,1.000000,0.400000
8,3,5.000000,247.565517,1214.034483,1.001667,1.015271,1.041492,0.031546,0.039825,0.800000,1.000000,0.733333
9,3,5.000000,261.714943,1176.565517,1.021133,0.992375,1.041809,0.045592,0.020676,0.866667,1.000000,0.666667
10,3,5.000000,285.832184,651.032184,0.994133,1.001416,1.041524,0.024991,0.047391,0.800000,1.000000,0.266667
11,3,5.000000,297.487356,1338.944828,1.000400,1.001210,1.041418,0.033364,0.041018,0.800000,1.000000,0.800000
12,3,5.000000,279.744828,976.236782,1.009933,0.998204,1.041414,0.042520,0.031481,0.866667,1.000000,0.533333
13,3,5.000000,333.491954,1063.505747,0.996400,0.998430,1.041168,0.028020,0.044768,0.800000,1.000000,0.600000
14,3,5.000000,272.949425,1057.149425,0.997133,0.997086,1.041131,0.031654,0.043998,0.800000,1.000000,0.600000
15,3,5.000000,344.331034,1515.526437,1.003667,0.995268,1.041002,0.031384,0.037335,0.800000,1.000000,0.933333
16,3,5.000000,303.754023,1128.820690,1.003667,0.978163,1.040656,0.035170,0.036990,0.800000,1.000000,0.600000
17,3,5.000000,285.473563,733.101149,0.997933,0.985486,1.041162,0.033406,0.043229,0.733333,1.000000,0.333333
18,3,5.000000,331.427586,1412.301149,0.986800,0.994716,1.041423,0.025293,0.054623,0.733333,1.000000,0.866667
19,3,5.000000,351.059770,1039.243678,0.990867,0.982899,1.041060,0.033859,0.050193,0.733333,1.000000,0.533333
20,3,5.000000,319.547126,804.517241,1.003533,0.981890,1.041204,0.039935,0.037671,0.733333,1.000000,0.400000
21,3,5.000000,284.466667,961.294253,1.007267,1.001967,1.041183,0.016879,0.033916,0.733333,1.000000,0.533333
22,3,5.000000,303.898851,1120.082759,0.996933,0.998899,1.041266,0.024397,0.044333,0.733333,1.000000,0.600000
23,3,5.000000,317.071264,665.121839,1.004867,1.002057,1.041568,0.024870,0.036702,0.666667,1.000000,0.266667
24,3,5.000000,364.813793,984.404598,1.001667,1.000773,1.041176,0.023682,0.039509,0.600000,1.000000,0.533333
25,3,5.000000,300.425287,1348.779310,1.005467,0.996559,1.041065,0.022171,0.035599,0.666667,1.000000,0.800000
26,3,5.000000,290.349425,1085.354023,1.000067,0.981922,1.041140,0.037938,0.041074,0.666667,1.000000,0.600000
27,3,5.000000,333.802299,763.935632,0.994867,0.988448,1.041455,0.024278,0.046588,0.666667,1.000000,0.333333
28,3,5.000000,376.473563,1187.137931,0.997667,0.994497,1.040775,0.025482,0.043108,0.733333,1.000000,0.666667
29,3,5.000000,274.551724,1420.342529,1.003267,0.995112,1.041280,0.035126,0.038013,0.733333,1.000000,0.866667
30,3,5.000000,298.096552,555.806896,1.003000,0.973715,1.041684,0.042781,0.038684,0.733333,1.000000,0.200000
31,3,5.000000,347.298851,1040.687356,0.996800,1.004252,1.041615,0.028435,0.044815,0.733333,1.000000,0.533333
32,3,5.000000,338.195402,1233.064368,1.000867,0.996712,1.041345,0.037122,0.040478,0.733333,1.000000,0.733333
33,3,5.000000,334.873563,850.770115,1.010333,0.992337,1.041427,0.033567,0.031094,0.800000,1.000000,0.400000
34,3,5.000000,360.963219,771.452874,0.999000,0.999309,1.041064,0.023006,0.042064,0.800000,1.000000,0.333333
