waktu,iterasi_ke,i_before,i_after,v_field,v_dt_mitm,v_dt_baseline,drift_mitm,drift_baseline,breaker_mitm,breaker_baseline,i_path,line
1,1,319.620690,319.620690,0.971000,1.049345,1.049345,0.078345,0.078345,1,1,normal,1
1,1,88.206897,88.206897,1.030000,1.040787,1.040787,0.010787,0.010787,1,1,normal,2
1,1,357.551724,357.551724,0.972000,1.039020,1.039020,0.067020,0.067020,1,1,normal,3
1,1,184.344828,184.344828,0.952000,1.049200,1.049200,0.097200,0.097200,1,1,normal,4
2,1,383.793103,1545.310345,1.030000,1.047385,1.047385,0.017385,0.017385,1,1,injected,1
2,1,342.034483,342.034483,1.034000,1.041204,1.041204,0.007204,0.007204,1,1,normal,2
2,1,136.172414,136.172414,0.959000,1.039282,1.039282,0.080282,0.080282,1,1,normal,3
2,1,159.068966,1554.068966,0.984000,1.048768,1.048768,0.064768,0.064768,1,1,injected,4
3,1,383.793103,1545.310345,1.030000,1.036017,1.045479,0.006017,0.015479,1,1,injected,1
3,1,342.034483,342.034483,1.034000,1.044591,1.041377,0.010591,0.007377,1,1,normal,2
3,1,136.172414,136.172414,0.959000,1.043484,1.039787,0.084484,0.080787,1,1,normal,3
3,1,159.068966,1554.068966,0.984000,1.040092,1.048675,0.056092,0.064675,1,1,injected,4
4,1,397.241379,1569.448276,1.030000,1.027578,1.044214,0.002422,0.014214,1,1,injected,1
4,1,330.379310,1620.517241,1.036000,1.040204,1.041382,0.004204,0.005382,1,1,injected,2
4,1,348.965517,1585.275862,1.032000,1.039462,1.040006,0.007462,0.008006,1,1,injected,3
4,1,514.724138,1590.724138,1.002000,1.031195,1.048568,0.029195,0.046568,1,1,injected,4
5,1,106.068966,1612.344828,1.020000,1.020027,1.043142,0.000027,0.023142,1,1,injected,1
5,1,245.413793,1599.689655,1.012000,1.011503,1.041127,0.000497,0.029127,1,1,injected,2
5,1,219.241379,1659.068966,0.960000,1.009910,1.039704,0.049910,0.079704,1,1,injected,3
5,1,221.517241,1633.103448,0.972000,1.017483,1.046600,0.045483,0.074600,1,1,injected,4
6,1,182.689655,182.689655,0.987000,1.014885,1.044749,0.027885,0.057749,1,1,normal,1
6,1,264.068966,264.068966,0.966000,0.994832,1.040617,0.028832,0.074617,1,1,normal,2
6,1,423.068966,423.068966,0.967000,0.992594,1.039137,0.025594,0.072137,1,1,normal,3
6,1,512.482759,1576.551724,0.976000,1.011108,1.046836,0.035108,0.070836,1,1,injected,4
7,1,182.689655,182.689655,0.987000,1.025708,1.045136,0.038708,0.058136,1,1,normal,1
7,1,264.068966,264.068966,0.966000,1.008437,1.040076,0.042437,0.074076,1,1,normal,2
7,1,423.068966,423.068966,0.967000,1.006391,1.038424,0.039391,0.071424,1,1,normal,3
7,1,512.482759,512.482759,0.976000,1.013734,1.045357,0.037734,0.069357,1,1,normal,4
8,1,352.655172,1527.379310,1.048000,1.033449,1.044135,0.014551,-0.003865,1,1,injected,1
8,1,209.827586,1661.724138,0.981000,1.024945,1.041483,0.043945,0.060483,1,1,injected,2
8,1,105.034483,1515.000000,0.972000,1.023107,1.040019,0.051107,0.068019,1,1,injected,3
8,1,387.344828,1688.241379,1.004000,1.026523,1.045175,0.022523,0.041175,1,1,injected,4
9,1,518.241379,1582.689655,0.971000,1.024095,1.043478,0.053095,0.072478,1,1,injected,1
9,1,201.413793,1679.551724,0.976000,1.000517,1.042379,0.024517,0.066379,1,1,injected,2
9,1,278.586207,1575.620690,1.041000,0.998232,1.041036,0.042768,0.000036,1,1,injected,3
9,1,218.413793,1659.517241,1.037000,1.013440,1.045047,0.023560,0.008047,1,1,injected,4
10,1,202.517241,202.517241,1.006000,1.017721,1.042087,0.011721,0.036087,1,1,normal,1
10,1,113.448276,113.448276,0.959000,0.976065,1.042172,0.017065,0.083172,1,1,normal,2
10,1,297.655172,297.655172,1.049000,0.000000,1.040687,1.049000,-0.008313,0,1,normal,3
10,1,479.413793,479.413793,1.008000,1.001616,1.045813,0.006384,0.037813,1,1,normal,4
11,1,379.172414,1638.931034,0.960000,1.027665,1.043309,0.067665,0.083309,1,1,injected,1
11,1,446.137931,1653.034483,1.047000,0.000000,1.042024,1.047000,-0.004976,0,1,injected,2
11,1,305.896552,1571.000000,1.049000,0.990210,1.040334,0.058790,-0.008666,1,1,injected,3
11,1,266.206897,266.206897,1.029000,1.020222,1.045125,0.008778,0.016125,1,1,normal,4
12,1,379.172414,379.172414,0.960000,1.020727,1.042922,0.060727,0.082922,1,1,normal,1
12,1,446.137931,1686.103448,1.047000,0.981768,1.040564,0.065232,-0.006436,1,1,injected,2
12,1,305.896552,1507.862069,1.049000,0.000000,1.039025,1.049000,-0.009975,0,1,injected,3
12,1,266.206897,1546.724138,1.029000,1.020040,1.045428,0.008960,0.016428,1,1,injected,4
13,1,426.275862,1553.000000,0.951000,1.024728,1.042342,0.073728,0.091342,1,1,injected,1
13,1,510.482759,1585.448276,0.995000,0.000000,1.039750,0.995000,0.044750,0,1,injected,2
13,1,290.827586,1553.758621,0.961000,0.937244,1.038409,0.023756,0.077409,1,1,injected,3
13,1,318.758621,318.758621,1.018000,1.007122,1.045253,0.010878,0.027253,1,1,normal,4
14,1,196.655172,196.655172,1.037000,1.024728,1.041962,0.012272,0.004962,1,1,normal,1
14,1,153.689655,153.689655,1.010000,0.000000,1.039187,1.010000,0.029187,0,1,normal,2
14,1,377.034483,377.034483,0.979000,0.937244,1.037972,0.041756,0.058972,1,1,normal,3
14,1,166.724138,166.724138,1.000000,1.007122,1.045126,0.007122,0.045126,1,1,normal,4
15,1,317.275862,1621.551724,1.026000,1.022284,1.043292,0.003716,0.017292,1,1,injected,1
15,1,437.724138,1698.172414,1.037000,0.993021,1.039285,0.043979,0.002285,1,1,injected,2
15,1,522.275862,1661.965517,0.951000,0.000000,1.037735,0.951000,0.086735,0,1,injected,3
15,1,312.896552,1567.344828,1.027000,1.021159,1.045771,0.005841,0.018771,1,1,injected,4
16,1,115.793103,1608.896552,0.980000,1.013685,1.043133,0.033685,0.063133,1,1,injected,1
16,1,140.862069,1664.862069,1.026000,0.000000,1.037929,1.026000,0.011929,0,1,injected,2
16,1,442.068966,442.068966,0.956000,0.938408,1.036280,0.017592,0.080280,1,1,normal,3
16,1,486.689655,1514.758621,1.037000,1.003324,1.045460,0.033676,0.008460,1,1,injected,4
17,1,115.793103,115.793103,0.980000,1.011353,1.044589,0.031353,0.064589,1,1,normal,1
17,1,140.862069,140.862069,1.026000,0.960015,1.038494,0.065985,0.012494,1,1,normal,2
17,1,442.068966,442.068966,0.956000,0.000000,1.036609,0.956000,0.080609,0,1,normal,3
17,1,486.689655,486.689655,1.037000,1.001466,1.044504,0.035534,0.007504,1,1,normal,4
18,1,331.000000,331.000000,0.997000,1.025486,1.043971,0.028486,0.046971,1,1,normal,1
18,1,232.275862,1554.827586,0.970000,0.000000,1.038957,0.970000,0.068957,0,1,injected,2
18,1,407.896552,1638.034483,1.002000,0.990844,1.037015,0.011156,0.035015,1,1,injected,3
18,1,483.620690,1510.310345,0.976000,1.020892,1.044205,0.044892,0.068205,1,1,injected,4
19,1,356.586207,1503.241379,1.049000,1.029422,1.043567,0.019578,-0.005433,1,1,injected,1
19,1,190.172414,1568.103448,0.973000,0.982738,1.039254,0.009738,0.066254,1,1,injected,2
19,1,352.862069,1587.379310,0.983000,0.000000,1.037275,0.983000,0.054275,0,1,injected,3
19,1,317.965517,1623.965517,0.993000,1.014122,1.044006,0.021122,0.051006,1,1,injected,4
20,1,382.413793,1548.172414,0.957000,1.019600,1.043059,0.062600,0.086059,1,1,injected,1
20,1,150.620690,150.620690,0.971000,0.000000,1.039803,0.971000,0.068803,0,1,normal,2
20,1,392.965517,1634.034483,0.973000,0.933731,1.037821,0.039269,0.064821,1,1,injected,3
20,1,500.344828,1672.068966,0.972000,0.999329,1.044728,0.027329,0.072728,1,1,injected,4
21,1,325.379310,325.379310,1.043000,1.016513,1.042732,0.026487,-0.000268,1,1,normal,1
21,1,296.000000,296.000000,0.992000,0.963561,1.040327,0.028439,0.048327,1,1,normal,2
