timestamp,bus,V(pu),I(pu),breaker_status
2026-03-11 13:26:11,1,1.031,1.793,1
2026-03-11 13:26:11,2,1.007,1.12,1
2026-03-11 13:26:11,3,0.978,0.858,1
2026-03-11 13:26:11,4,1.033,1.097,1
2026-03-11 13:26:11,5,1.045,1.595,1
2026-03-11 13:26:15,1,0.95,1.966,0
2026-03-11 13:26:15,2,0.972,1.954,0
2026-03-11 13:26:15,3,1.026,0.114,0
2026-03-11 13:26:15,4,1.013,1.318,1
2026-03-11 13:26:15,5,1.024,1.981,1
2026-03-11 13:26:19,1,1.012,1.319,1
2026-03-11 13:26:19,2,0.996,1.956,0
2026-03-11 13:26:19,3,0.976,0.23,1
2026-03-11 13:26:19,4,1.013,1.119,1
2026-03-11 13:26:19,5,0.969,1.44,1
2026-03-11 13:26:23,1,1.012,1.319,0
2026-03-11 13:26:23,2,0.996,1.956,0
2026-03-11 13:26:23,3,0.976,0.23,0
2026-03-11 13:26:23,4,1.013,1.119,1
2026-03-11 13:26:23,5,0.969,1.44,1
2026-03-11 13:26:27,1,0.994,1.679,1
2026-03-11 13:26:27,2,1.037,1.629,0
2026-03-11 13:26:27,3,1.029,0.702,1
2026-03-11 13:26:27,4,0.973,1.283,1
2026-03-11 13:26:27,5,0.977,1.302,1
2026-03-11 13:26:31,1,1.02,1.165,0
2026-03-11 13:26:31,2,0.97,0.263,0
2026-03-11 13:26:31,3,0.998,0.178,0
2026-03-11 13:26:31,4,1.0,0.556,1
2026-03-11 13:26:31,5,1.011,1.67,1
2026-03-11 13:26:35,1,0.99,0.557,1
2026-03-11 13:26:35,2,1.016,1.327,0
2026-03-11 13:26:35,3,0.987,1.619,1
2026-03-11 13:26:35,4,1.009,1.32,1
2026-03-11 13:26:35,5,1.02,1.798,1
2026-03-11 13:26:39,1,0.991,1.722,0
2026-03-11 13:26:39,2,0.999,0.184,0
2026-03-11 13:26:39,3,0.992,0.567,0
2026-03-11 13:26:39,4,1.045,0.908,1
2026-03-11 13:26:39,5,1.046,0.527,1
2026-03-11 13:26:43,1,0.991,1.722,1
2026-03-11 13:26:43,2,0.999,0.184,0
2026-03-11 13:26:43,3,0.992,0.567,1
2026-03-11 13:26:43,4,1.045,0.908,1
2026-03-11 13:26:43,5,1.046,0.527,1
2026-03-11 13:26:48,1,1.027,1.048,0
2026-03-11 13:26:48,2,0.992,0.705,0
2026-03-11 13:26:48,3,1.035,0.329,0
2026-03-11 13:26:48,4,0.974,0.177,1
2026-03-11 13:26:48,5,1.043,1.209,1
2026-03-11 13:26:52,1,0.985,0.4,1
2026-03-11 13:26:52,2,0.969,1.268,0
2026-03-11 13:26:52,3,0.981,1.049,1
2026-03-11 13:26:52,4,1.009,0.645,1
2026-03-11 13:26:52,5,1.001,0.311,1
2026-03-11 13:26:56,1,1.005,1.592,0
2026-03-11 13:26:56,2,1.04,1.31,0
2026-03-11 13:26:56,3,1.029,1.127,0
2026-03-11 13:26:56,4,1.012,1.7,1
2026-03-11 13:26:56,5,1.019,1.113,1
2026-03-11 13:27:00,1,1.041,0.672,1
2026-03-11 13:27:00,2,1.023,1.244,0
2026-03-11 13:27:00,3,0.957,0.902,1
2026-03-11 13:27:00,4,0.968,1.264,1
2026-03-11 13:27:00,5,1.038,0.647,1
2026-03-11 13:27:04,1,1.041,0.672,0
2026-03-11 13:27:04,2,1.023,1.244,0
2026-03-11 13:27:04,3,0.957,0.902,0
2026-03-11 13:27:04,4,0.968,1.264,1
2026-03-11 13:27:04,5,1.038,0.647,1
2026-03-11 13:27:08,1,0.984,1.711,1
2026-03-11 13:27:08,2,1.02,0.733,0
2026-03-11 13:27:08,3,1.017,0.511,1
2026-03-11 13:27:08,4,1.015,1.925,1
2026-03-11 13:27:08,5,0.986,0.464,1
